formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
21/05/2025,3.1340976494031407e+07,14796,987,233131,318767.9032028293
20/05/2025,1.9793626843123266e+08,44384,7400,1.541793e+06,1.9907903915150745e+06
19/05/2025,1.69814225332445e+08,43143,7670,1.42509e+06,1.7083950504871954e+06
18/05/2025,1.6673046539598992e+08,39238,6154,1.415953e+06,1.6797065316933542e+06
17/05/2025,1.760626136649216e+08,41673,8072,1.477348e+06,1.7664899195674516e+06
16/05/2025,2.084037759638886e+08,42017,6197,1.411727e+06,2.1142878359639556e+06
15/05/2025,2.8718365713071954e+08,44671,6996,1.497624e+06,2.911487601698581e+06
14/05/2025,3.94981568773298e+08,47399,7944,1.856828e+06,3.9999677918406054e+06
13/05/2025,3.5996469087379813e+08,45514,7272,1.837894e+06,3.714829586685341e+06
12/05/2025,1.9508291201917857e+08,41443,5812,1.427445e+06,1.9661001564324158e+06
11/05/2025,1.3406634899879333e+08,36954,5279,1.228495e+06,1.3456252291572015e+06
10/05/2025,1.3355042988753277e+08,35749,4546,1.243886e+06,1.3420481348168442e+06
09/05/2025,1.6976775083388063e+08,40274,5895,1.568767e+06,1.7053502486486826e+06
08/05/2025,2.0479189927051088e+08,42734,6596,1.785348e+06,2.0611285388756685e+06
07/05/2025,1.7421440125464776e+08,40047,5963,1.675088e+06,1.7519627608131065e+06
06/05/2025,1.7178799867537814e+08,39567,5561,1.574057e+06,1.726022609031507e+06
05/05/2025,1.4404599245973065e+08,37517,5482,1.461888e+06,1.4454366231539997e+06
04/05/2025,1.4615161616337198e+08,34346,3794,1.3526e+06,1.472133623390918e+06
03/05/2025,1.6165714317590317e+08,34860,4400,1.443155e+06,1.6277123876675882e+06
02/05/2025,1.837772583892483e+08,36870,5052,1.682569e+06,1.85385006491823e+06
01/05/2025,2.2943907259020576e+08,37633,5421,1.724973e+06,2.3126565573871513e+06
30/04/2025,1.6753160294848153e+08,35292,4925,1.56837e+06,1.695438829578514e+06
29/04/2025,1.868427011660076e+08,35221,4950,1.556955e+06,1.9003084311725718e+06
28/04/2025,1.5037578019033954e+08,33162,4234,1.360445e+06,1.5215742627564839e+06
27/04/2025,1.222507545207689e+08,30413,3407,1.218288e+06,1.2295408144683533e+06
26/04/2025,1.3502686402218348e+08,30584,3778,1.328491e+06,1.3635178071076479e+06
25/04/2025,1.6158777922952336e+08,33081,4175,1.421083e+06,1.6257523748583454e+06
24/04/2025,1.3363261366332196e+08,31712,3938,1.279947e+06,1.3465488746438643e+06
23/04/2025,1.4719496141764897e+08,32339,3975,1.384084e+06,1.4812580180862576e+06
22/04/2025,1.3823879599056125e+08,30849,3745,1.404025e+06,1.393419344099901e+06
21/04/2025,1.358584360802165e+08,30372,3501,1.437608e+06,1.3671148242792273e+06
20/04/2025,9.248643636124435e+07,27164,3766,1.098774e+06,925890.9215252456
19/04/2025,1.042795339034965e+08,27520,3550,1.215628e+06,1.0478858357985255e+06
18/04/2025,1.2030522608677477e+08,29110,4205,1.359258e+06,1.2091062434860582e+06
17/04/2025,1.3469152243450183e+08,29678,4527,1.465434e+06,1.354771434629968e+06
16/04/2025,1.421165740089742e+08,29209,3984,1.523876e+06,1.4304810375204291e+06
15/04/2025,1.2927909706386632e+08,29764,4978,1.472075e+06,1.2989683147027586e+06
14/04/2025,1.1158896626154596e+08,27409,4000,1.315352e+06,1.1216981167107585e+06
13/04/2025,8.802888071721983e+07,25376,3840,1.136114e+06,883221.036292977
12/04/2025,9.973086642492498e+07,24706,3850,1.23523e+06,1.0027360802073152e+06
11/04/2025,7.773155879853457e+07,22960,3711,1.068515e+06,782084.2906918987
10/04/2025,7.612255295343392e+07,22591,3126,1.136016e+06,766960.4047968053
09/04/2025,8.347870012349944e+07,23359,3423,1.165411e+06,840681.4475168494
08/04/2025,7.025515305321003e+07,21825,3223,1.128563e+06,706798.5018273554
07/04/2025,5.629569154623256e+07,19222,1925,944504,567694.0184177299
06/04/2025,4.5256954597603455e+07,17586,1589,774500,456129.7928606649
