formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades
11/06/2025,216160.55492178386,214,12,915
10/06/2025,1.8689647553443413e+06,692,74,6859
09/06/2025,2.086307332618485e+06,699,56,6315
08/06/2025,836828.5005498995,512,34,4447
07/06/2025,1.1103139289930982e+06,651,72,6183
06/06/2025,1.950500524301415e+06,684,55,8226
05/06/2025,2.2140943348741755e+06,704,48,8519
04/06/2025,1.2655812834445813e+06,635,20,6239
03/06/2025,1.5072049281914386e+06,789,68,7099
02/06/2025,1.082192180643978e+06,650,47,5682
01/06/2025,1.0643181045600898e+06,635,52,5555
31/05/2025,809519.2322109105,593,42,5552
30/05/2025,1.2862424349726965e+06,664,69,6538
29/05/2025,1.473459926085298e+06,825,172,6909
28/05/2025,1.3140808601004912e+06,677,51,6523
27/05/2025,1.8666379009942173e+06,700,57,7445
26/05/2025,2.268889685951464e+06,702,42,7381
25/05/2025,1.6274290416956423e+06,678,52,6492
24/05/2025,2.1064817323833527e+06,709,41,6430
23/05/2025,2.470895360499402e+06,813,53,8770
22/05/2025,3.111082240431258e+06,912,79,8971
21/05/2025,3.4801075625055875e+06,907,104,9235
20/05/2025,3.0161508976888754e+06,869,100,10060
19/05/2025,2.194730164002218e+06,775,65,9586
18/05/2025,2.3697535559667475e+06,699,23,8333
17/05/2025,2.918364877084376e+06,805,62,8638
16/05/2025,3.9385650009657852e+06,943,92,11992
15/05/2025,6.518672128057662e+06,1191,173,12533
14/05/2025,7.064041111566105e+06,1240,184,15906
13/05/2025,6.571030584538123e+06,1132,158,15036
12/05/2025,2.8737562911555558e+06,1030,120,9917
11/05/2025,1.9536211655837249e+06,891,122,9217
10/05/2025,2.287430334375687e+06,916,154,10627
09/05/2025,2.5190433714864035e+06,1025,123,12970
08/05/2025,3.4830819812476626e+06,1127,145,12655
07/05/2025,2.217227200055355e+06,1063,172,13799
06/05/2025,2.570694144407228e+06,1056,146,13136
05/05/2025,1.2173172030955064e+06,706,69,6376
04/05/2025,834266.5684520832,667,54,3478
03/05/2025,3.6229150567445066e+06,870,136,5874
02/05/2025,1.3818644026640318e+06,809,93,6887
01/05/2025,4.816580494074557e+06,1079,137,10170
30/04/2025,1.5465395720805123e+06,836,108,7632
29/04/2025,2.138036225417984e+06,864,93,8225
28/04/2025,1.7544694322358079e+06,817,95,6702
27/04/2025,1.232794032641888e+06,644,60,5597
26/04/2025,1.6137044478635215e+06,723,35,6198
25/04/2025,2.0371568300547437e+06,811,91,7675
24/04/2025,1.1750955259726131e+06,814,77,6617
23/04/2025,3.3350494651663965e+06,2667,125,17715
22/04/2025,2.6697075575067983e+06,2457,226,15772
21/04/2025,1.879863696565194e+06,1712,130,11928
20/04/2025,1.5226732767403002e+06,1500,89,8718
19/04/2025,1.2609760081879494e+06,888,69,8133
18/04/2025,2.273665602074251e+06,2346,133,12131
17/04/2025,1.865483912549589e+06,1008,156,8830
16/04/2025,2.598647956124953e+06,2234,185,13882
15/04/2025,2.3980350462954636e+06,1511,267,13619
14/04/2025,2.056059969203189e+06,980,167,10960
13/04/2025,1.5442533283731325e+06,1728,94,10205
12/04/2025,2.1329092946967892e+06,1807,101,11791
11/04/2025,2.1513566715105562e+06,1579,104,12446
10/04/2025,1.7111484106262727e+06,1970,332,12440
09/04/2025,531606.4229993069,569,77,4477
08/04/2025,447073.4677113475,543,81,4292
07/04/2025,413596.8200536367,520,29,3825
06/04/2025,377007.4898245241,410,40,2701
05/04/2025,331672.6315344073,395,29,2651
04/04/2025,373103.2744460042,437,28,2877
03/04/2025,569273.6339862044,544,81,3733
02/04/2025,558124.2297645024,541,28,3759
01/04/2025,495595.8109384352,523,88,3260
31/03/2025,325177.37383248325,472,66,2784
30/03/2025,223361.12382013426,378,26,2454
29/03/2025,370393.8238947649,365,32,2249
28/03/2025,451684.41968411993,425,26,2772
27/03/2025,558080.2142215929,512,53,2965
26/03/2025,1.05534002203115e+06,576,69,3623
25/03/2025,701695.3310246489,530,36,3252
24/03/2025,597895.673205407,569,44,3896
23/03/2025,4.380611450042262e+06,413,22,2684
22/03/2025,351922.6522266612,366,23,2377
21/03/2025,358348.1151537997,388,14,2731
20/03/2025,1.1953369264186902e+06,1382,156,7104
19/03/2025,951285.3545843496,873,88,7387
18/03/2025,985554.4810075129,1237,152,7514
