formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
18/06/2025,316273.80760393804,412,24,1985,2941.8627827792197
17/06/2025,6.043764596186926e+06,2334,270,43615,53803.25819115092
16/06/2025,8.711900498035856e+06,2862,477,54101,77751.91159386127
15/06/2025,4.736719447711719e+06,2132,249,31887,42018.833756928136
14/06/2025,4.761125571529931e+06,2493,604,33300,41516.694168308604
13/06/2025,5.089073490220804e+06,2349,247,37281,45621.70438635
12/06/2025,7.08845241716507e+06,2610,323,43779,64040.80623503823
11/06/2025,6.826085680601244e+06,2687,370,43467,61725.08571352047
10/06/2025,7.326536916441222e+06,2642,271,44769,66634.32967050775
09/06/2025,9.033883084947351e+06,2877,403,46454,81926.59383995972
08/06/2025,4.765657626631191e+06,2150,151,34669,43086.5267557484
07/06/2025,5.195500688246391e+06,2397,244,36537,46862.358401872945
06/06/2025,7.239271450126674e+06,2643,229,44566,65496.99969080192
05/06/2025,9.282927654459266e+06,3111,323,59625,85186.39191594598
04/06/2025,6.589917199699264e+06,2909,383,50031,59235.08229096275
03/06/2025,8.360333952783114e+06,3132,424,55944,75628.94787014255
02/06/2025,7.36664245084384e+06,2996,500,55726,66138.99635809906
01/06/2025,5.748240985588856e+06,2687,441,48363,51693.84462401532
31/05/2025,4.889327488095022e+06,2439,215,38251,43842.687093332446
30/05/2025,6.207748420453951e+06,2744,319,43909,55690.2342748103
29/05/2025,7.939297781527954e+06,3147,455,51740,71354.82758301438
28/05/2025,9.176902169126889e+06,3253,484,53701,82586.32815348242
27/05/2025,1.0588816203579184e+07,3185,363,61406,95393.01372263554
26/05/2025,1.0184442569535324e+07,3252,378,61799,91922.03952550092
25/05/2025,7.394928917942808e+06,2738,277,50132,66516.46422544526
24/05/2025,7.58766850804906e+06,2953,467,45853,68542.87202846105
23/05/2025,1.20592786410044e+07,3373,419,64885,110486.10440052098
22/05/2025,1.4258794347953675e+07,3778,559,74381,129204.76799005728
21/05/2025,1.37949041086176e+07,3886,735,70076,124866.42291044597
20/05/2025,1.4480420820613315e+07,3927,700,79233,131312.2393885575
19/05/2025,1.1901688565200126e+07,3581,498,69112,106856.71097133293
18/05/2025,1.2302686718620302e+07,3548,601,60634,111463.32726224713
17/05/2025,1.3019839809942141e+07,3494,508,68863,117417.82501217788
16/05/2025,1.480845244395857e+07,3917,687,75231,133324.18185390247
15/05/2025,2.2159339913603052e+07,4314,669,86846,200292.45152905703
14/05/2025,2.8844408731285967e+07,4537,699,104327,260817.5227077097
13/05/2025,2.9475232146636784e+07,4450,612,109983,265021.83357521007
12/05/2025,1.7892068747851714e+07,3922,500,95763,160314.2342017524
11/05/2025,9.89359916020451e+06,3285,402,60454,88786.3579788912
10/05/2025,9.451661606659312e+06,3251,400,55632,86426.33214066237
09/05/2025,1.1012603292423205e+07,3615,536,70339,100332.6912826753
08/05/2025,1.7557337974984936e+07,4015,568,88218,159504.03088725675
07/05/2025,1.0942305940047765e+07,3690,510,73291,99304.14614501708
06/05/2025,1.3293155260197893e+07,3657,407,77610,120353.82313945246
05/05/2025,1.1177469693397157e+07,3428,358,71406,101432.61642124054
04/05/2025,1.0016771296368115e+07,3314,330,63534,90991.24337066282
03/05/2025,1.2101101305048281e+07,3865,725,69010,109398.40642957354
02/05/2025,1.341258232238693e+07,3648,413,86696,122081.52237599812
01/05/2025,2.218733262433237e+07,4447,680,94902,202355.87556653697
30/04/2025,1.401501231761383e+07,3914,542,85997,127686.74953095727
29/04/2025,1.6164057524445556e+07,3964,536,94534,147067.4300585367
28/04/2025,1.4888753795373231e+07,3804,503,96115,135334.54725048333
27/04/2025,1.2461531726835323e+07,3205,349,77049,112587.78983768386
26/04/2025,1.290317266165481e+07,3317,370,74882,117419.1440048968
25/04/2025,1.6333471520800462e+07,3804,605,89526,149517.95265070003
