formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades
05/06/2025,1.367588047558386e+06,1485,21,10845
04/06/2025,6.21366542737071e+06,3966,154,52061
03/06/2025,7.9711822104885485e+06,4385,157,60197
02/06/2025,6.8971556207585e+06,4076,128,57335
01/06/2025,7.1144663005872965e+06,3875,105,58368
31/05/2025,6.696712480389919e+06,3790,112,54151
30/05/2025,6.72842627694214e+06,3996,126,52285
29/05/2025,7.299152595488265e+06,4142,131,49997
28/05/2025,7.450669055869382e+06,4222,146,50452
27/05/2025,9.200855514532173e+06,4305,142,53751
26/05/2025,8.502486748714225e+06,4493,131,59154
25/05/2025,8.2195660425869925e+06,4094,124,55047
24/05/2025,7.43388561841986e+06,4167,121,52821
23/05/2025,1.0228584193112047e+07,4842,174,63168
22/05/2025,1.1128894902098233e+07,4962,150,62334
21/05/2025,9.733513324649222e+06,4616,142,61291
20/05/2025,9.719936684553027e+06,4675,149,60825
19/05/2025,8.91352341753276e+06,4555,136,59961
18/05/2025,9.707412861361543e+06,4502,120,61745
17/05/2025,1.102644711674376e+07,4742,145,67832
16/05/2025,1.0978675616165733e+07,5160,166,68122
15/05/2025,1.5451718346967015e+07,5629,193,75661
14/05/2025,1.971001462223979e+07,5953,198,82408
13/05/2025,2.158762980308754e+07,6160,224,90299
12/05/2025,1.4037043375688901e+07,5805,231,81990
11/05/2025,8.793229042094547e+06,4786,152,64582
10/05/2025,8.943910114689633e+06,4832,177,72078
09/05/2025,8.799405663105752e+06,4922,150,76789
08/05/2025,1.0761477379977267e+07,5039,155,86864
07/05/2025,8.660706387005972e+06,4464,190,69064
06/05/2025,9.391993400186615e+06,4759,188,69750
05/05/2025,8.505586384670582e+06,4493,147,66662
04/05/2025,8.51848077601646e+06,4451,136,64153
03/05/2025,9.338267846035914e+06,4640,151,64940
02/05/2025,1.079829294486442e+07,4955,175,80626
01/05/2025,1.4432649944934303e+07,5473,217,84186
30/04/2025,1.1794194789542336e+07,4866,178,80319
29/04/2025,1.0808374363211874e+07,4830,158,72433
28/04/2025,1.1434623146548808e+07,4968,159,74788
27/04/2025,9.07183752499404e+06,4440,139,64471
26/04/2025,1.0160783364418877e+07,4588,133,70814
25/04/2025,1.2158075145017324e+07,5007,168,75499
24/04/2025,9.784335804411687e+06,4660,145,67275
23/04/2025,1.035615349115712e+07,4878,132,69658
22/04/2025,7.492777188613025e+06,4354,143,59411
21/04/2025,7.650617940651598e+06,4396,147,65498
20/04/2025,6.217707663790183e+06,3680,96,48346
19/04/2025,6.8926550155419875e+06,3799,119,56725
18/04/2025,6.771046666827978e+06,3910,131,58021
17/04/2025,7.497391940909879e+06,4048,134,62240
16/04/2025,8.136954640985028e+06,4263,144,66473
15/04/2025,7.878773056568346e+06,4331,157,68649
14/04/2025,7.893250943041753e+06,4259,181,67919
13/04/2025,7.022656321100635e+06,3966,117,59561
12/04/2025,8.014112533288834e+06,4124,138,66276
11/04/2025,7.495990143986841e+06,4176,133,66051
10/04/2025,7.397343571554704e+06,4119,141,67188
09/04/2025,7.510507182123403e+06,4148,117,68074
08/04/2025,6.327826991807587e+06,3824,109,62968
07/04/2025,5.731427880687131e+06,3725,114,56738
06/04/2025,5.212903759704213e+06,3578,82,49036
05/04/2025,5.355696537374737e+06,3534,86,52181
04/04/2025,5.188250605049463e+06,3792,104,48091
03/04/2025,5.69038884212264e+06,3742,100,50941
02/04/2025,7.403109186712565e+06,4132,138,59145
01/04/2025,6.463201760446336e+06,3954,134,53565
31/03/2025,6.385894500615131e+06,3728,116,52308
30/03/2025,4.93834671148945e+06,3352,105,47522
29/03/2025,6.2767796592261745e+06,3636,112,51643
28/03/2025,8.137191328058897e+06,4146,120,63593
27/03/2025,8.001937621088184e+06,4159,128,55343
26/03/2025,7.627002992834904e+06,4183,126,53880
25/03/2025,7.209692889414147e+06,4057,133,54093
24/03/2025,8.1128334323882125e+06,4503,164,62136
23/03/2025,6.188236275299552e+06,3792,118,49028
22/03/2025,4.248938357297972e+06,3314,120,40742
21/03/2025,3.7706035679692207e+06,3286,98,35207
20/03/2025,4.508535302975538e+06,3763,174,41428
19/03/2025,4.24089083341455e+06,3653,104,40572
18/03/2025,4.498174969246473e+06,3754,119,43120
17/03/2025,6.089100090019798e+06,4131,148,51368
16/03/2025,4.505593990505296e+06,3743,105,46250
15/03/2025,6.2948528257724615e+06,4095,145,50007
14/03/2025,5.251860722960535e+06,4013,164,49712
13/03/2025,5.6464874868315365e+06,3924,135,52114
12/03/2025,5.695028083939393e+06,3901,119,50404
11/03/2025,4.8935228971057935e+06,3861,133,46434
10/03/2025,4.8042293180487e+06,3844,98,46814
09/03/2025,5.305564537710497e+06,3994,150,42679
08/03/2025,7.400717450811915e+06,4324,149,49391
07/03/2025,1.0768982053415796e+07,5062,176,63372
06/03/2025,6.676214629152753e+06,4746,178,52220
05/03/2025,7.5888101532082725e+06,4964,150,56680
04/03/2025,6.696646655567849e+06,4472,141,48841
03/03/2025,6.463212990264954e+06,4985,234,46458
02/03/2025,6.739915004145703e+06,5283,155,51859
01/03/2025,4.376361640044138e+06,4038,141,39789
28/02/2025,5.060359576069506e+06,4631,159,46884
27/02/2025,6.037032333977447e+06,4731,152,53163
26/02/2025,6.126860989396935e+06,4886,157,52840
25/02/2025,6.701999070597611e+06,5306,159,51319
24/02/2025,7.696314827381027e+06,5645,206,57065
23/02/2025,7.865835604221013e+06,5615,209,59100
22/02/2025,7.18646366953201e+06,5481,168,56777
21/02/2025,9.935310454973344e+06,6171,198,67485
20/02/2025,1.036607776284122e+07,6348,204,66938
19/02/2025,9.394624463582968e+06,6274,194,62921
18/02/2025,9.509261837434974e+06,6606,257,64484
17/02/2025,1.0276719738609092e+07,6741,244,67255
16/02/2025,1.1321232103664273e+07,6964,230,72003
15/02/2025,1.3610407513062095e+07,7466,221,78536
14/02/2025,2.4895673811935976e+07,9144,398,99105
13/02/2025,1.6726403725055087e+07,9130,420,98573
12/02/2025,1.9232550520965867e+07,9209,462,111483
11/02/2025,2.7142451116178147e+07,10067,448,133344
10/02/2025,3.667448712224594e+07,10648,435,144959
09/02/2025,3.8576896771507405e+07,9715,395,125201
08/02/2025,1.5139872519539554e+07,7683,300,87153
07/02/2025,1.822149803534977e+07,8705,381,103685
06/02/2025,1.5856172059652247e+07,8453,360,93747
05/02/2025,2.3089741644892264e+07,9666,364,110806
04/02/2025,2.274296046925946e+07,9748,420,112300
03/02/2025,2.1128004013624806e+07,9555,404,105353
02/02/2025,1.812564285263455e+07,9471,418,105632
01/02/2025,2.868541413255014e+07,11310,525,140025
31/01/2025,4.590342982877725e+07,13796,891,188628
30/01/2025,6.781918031892712e+07,14380,787,216939
29/01/2025,3.735664204470804e+07,13054,670,163966
28/01/2025,4.072950383895265e+07,13691,725,174579
27/01/2025,6.112634433634714e+07,14756,769,208063
26/01/2025,5.997879157283247e+07,15132,875,208702
25/01/2025,6.057073335919433e+07,15294,862,215285
24/01/2025,8.78552091483662e+07,17715,1019,272421
23/01/2025,1.0376972025501731e+08,18332,1104,295265
22/01/2025,5.448049483989683e+07,15490,774,185380
21/01/2025,7.476957814062054e+07,15935,881,196900
20/01/2025,1.3558757116351068e+08,22301,1537,253581
19/01/2025,1.4014669258463696e+08,24824,2013,264552
18/01/2025,1.1707754217673567e+08,17924,1081,194521
17/01/2025,2.9784064227996312e+07,10506,454,123276
16/01/2025,2.7796786853489526e+07,10615,452,121605
15/01/2025,2.733342996929902e+07,10836,471,133794
14/01/2025,2.8012276319167648e+07,10912,495,146773
13/01/2025,2.669565078553467e+07,10345,435,125842
12/01/2025,2.9551605659705788e+07,10718,471,143411
11/01/2025,3.0215631333299447e+07,10898,485,138522
10/01/2025,3.12296653979709e+07,11537,480,144824
09/01/2025,3.61401645371895e+07,11858,567,156488
08/01/2025,3.996977658644873e+07,12530,581,161887
07/01/2025,3.894131452001489e+07,12888,657,155061
06/01/2025,4.0552350299140416e+07,13150,498,162508
05/01/2025,3.646136257714976e+07,12695,554,159627
04/01/2025,3.223412378551991e+07,11972,480,149173
03/01/2025,4.209683711404746e+07,12970,570,172948
02/01/2025,4.133610606917021e+07,12979,602,176527
01/01/2025,2.9356302719710927e+07,11073,520,148929
31/12/2024,3.046104522974264e+07,11009,462,139234
30/12/2024,2.6435221839639775e+07,10225,392,133872
29/12/2024,2.7923502876451865e+07,10422,429,135630
28/12/2024,2.319224506296935e+07,9870,371,131389
27/12/2024,2.440788395795085e+07,10115,431,142221
26/12/2024,2.800906131644514e+07,10811,522,143349
25/12/2024,2.1379793319322284e+07,9476,367,112072
24/12/2024,1.9857733464338955e+07,10124,393,119650
23/12/2024,2.3647710273295183e+07,10546,463,132920
22/12/2024,2.5634684685744554e+07,10225,408,139732
21/12/2024,2.8697836869249195e+07,10654,391,133327
20/12/2024,3.617503303367566e+07,11580,433,149855
19/12/2024,3.786806724214011e+07,12395,486,155196
18/12/2024,3.711293240124496e+07,12999,512,154352
17/12/2024,3.366705153224292e+07,13979,674,142612
16/12/2024,3.0268163537527688e+07,12236,550,145664
15/12/2024,2.754307506209421e+07,11392,509,135193
14/12/2024,3.589195174949982e+07,12111,473,147731
13/12/2024,4.407630144796668e+07,13040,504,167113
12/12/2024,4.3031488809161514e+07,13634,681,175199
11/12/2024,4.124788054462906e+07,13698,638,174443
10/12/2024,3.979873957917875e+07,13610,569,167675
09/12/2024,3.209015929491215e+07,13571,584,150229
08/12/2024,2.578135245603786e+07,12556,531,133454
07/12/2024,2.705622196438407e+07,12739,526,130554
06/12/2024,2.9930457842963018e+07,13636,647,139231
05/12/2024,2.941991689552389e+07,14028,633,142341
04/12/2024,2.7505105379977584e+07,14159,724,135001
03/12/2024,3.0553727325841177e+07,14966,724,153595
02/12/2024,3.796773085958644e+07,15435,684,166643
01/12/2024,3.416505927294076e+07,15031,702,169476
30/11/2024,3.2448332259573437e+07,15639,808,174619
29/11/2024,3.98086388451323e+07,16894,807,193418
28/11/2024,4.844537031735142e+07,18137,1022,234595
27/11/2024,5.0819593480756834e+07,18881,984,234221
26/11/2024,4.509326271316709e+07,17962,946,214843
25/11/2024,4.5923873993599065e+07,19018,1094,205594
24/11/2024,4.4170526956701964e+07,19231,1099,213790
23/11/2024,5.056352821758642e+07,20558,1265,226173
22/11/2024,6.724341955377014e+07,22925,1355,282842
21/11/2024,7.606271865936561e+07,24148,1495,274735
20/11/2024,1.0401423703974761e+08,26171,1737,382546
19/11/2024,8.465135943060876e+07,24233,1571,300623
18/11/2024,7.951847156372038e+07,25574,1807,329334
17/11/2024,8.583608018641208e+07,24190,1693,325475
16/11/2024,5.96027515348337e+07,21649,1295,253605
15/11/2024,8.04552114072819e+07,22909,1537,315318
14/11/2024,8.707809482587282e+07,23168,1757,323505
13/11/2024,6.990446171447633e+07,19270,1086,252356
12/11/2024,4.569632682274765e+07,16250,876,197827
