formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
26/05/2025,132837.06926846,807,9,2051,1400.293868533479
25/05/2025,1.2944235062768484e+07,12942,3618,125261,99929.43982608663
24/05/2025,1.293153143429688e+07,14674,5323,135047,102413.2466714768
23/05/2025,1.6074135898323737e+07,16280,4794,156782,134797.30444793607
22/05/2025,1.931936049395583e+07,18232,5545,171516,162512.67288709755
21/05/2025,1.9200933599239007e+07,19762,4421,175465,151170.18395413447
20/05/2025,1.803757730039871e+07,13994,4177,172781,153117.94558498767
19/05/2025,1.8624187257816155e+07,17057,4103,187904,152740.21515757308
18/05/2025,1.549541557686977e+07,13587,3616,139757,131328.99370441795
17/05/2025,1.8583706452893484e+07,16855,4434,170211,159125.8902024867
16/05/2025,2.161759098372895e+07,17237,4085,201567,175159.42143243723
15/05/2025,2.8335690558946595e+07,19517,6628,197499,243073.92760733308
14/05/2025,3.747381782563227e+07,19206,4878,229179,307068.70866096445
13/05/2025,3.3157936854843408e+07,16617,5931,199585,292805.74919562845
12/05/2025,2.9716393814280953e+07,18179,4485,239154,223921.90875495735
11/05/2025,2.6358333983043507e+07,17961,5735,202479,147786.44683542312
10/05/2025,2.3779870349447243e+07,19997,5151,188834,154784.16805383578
09/05/2025,3.298561514125492e+07,18035,5930,236246,188727.66319492093
08/05/2025,3.3076314360015493e+07,24321,5883,258541,231405.1772948537
07/05/2025,2.76231044673544e+07,21260,5534,268293,174427.53549977308
06/05/2025,2.6965235854024414e+07,18684,7975,262366,195378.3708477289
05/05/2025,2.7194007245048616e+07,18657,5016,250854,157474.0202267016
04/05/2025,2.902225429042363e+07,23769,7306,288439,167508.3650054093
03/05/2025,3.526613695893066e+07,21103,6406,324258,190637.81456096872
02/05/2025,2.602531880834893e+07,19176,4479,244474,201642.35914340438
01/05/2025,3.2548506180667568e+07,21579,4377,243664,274986.1981215724
30/04/2025,3.495822751796369e+07,20831,5529,274314,252564.10658959555
29/04/2025,3.0432722119484607e+07,20758,8535,249508,242318.1283357723
28/04/2025,2.622715017569252e+07,16928,4421,223225,229060.02005057773
27/04/2025,2.128573862036434e+07,16493,4825,189423,188736.624697661
26/04/2025,2.4710080037685134e+07,17892,4217,213127,212434.0869324877
25/04/2025,3.053190971963453e+07,20626,5178,240154,254474.08582217823
24/04/2025,2.3342942050833236e+07,21802,7495,217453,214988.6068647251
23/04/2025,3.080674032149384e+07,26194,7026,263379,232812.57245751057
22/04/2025,2.796758936915685e+07,25708,7992,253651,207124.57523779274
21/04/2025,2.4920190702438623e+07,21870,7652,243671,201502.7754021908
