formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
10/06/2025,1.4164140243456517e+06,2564,106,17663,14336.251819848585
09/06/2025,1.24848162764422e+07,9131,965,167277,124999.08491797168
08/06/2025,9.592440427534731e+06,8209,766,153524,95631.69979702274
07/06/2025,9.37721838554499e+06,8436,809,149281,93412.64243419933
06/06/2025,1.2550700903802102e+07,9703,1047,179803,124921.55110301929
05/06/2025,1.6923757568943013e+07,10971,1301,217148,169126.19101805097
04/06/2025,1.0358913217904622e+07,9799,1361,166556,103547.1969607616
03/06/2025,1.3747220711184304e+07,10500,1145,198277,137098.56165928
02/06/2025,1.2479249031116217e+07,10493,1517,189752,124685.63635772732
01/06/2025,1.154578559942834e+07,9380,1262,170106,115107.84529688662
31/05/2025,1.1241069923968963e+07,8496,767,157720,112229.50164028555
30/05/2025,1.2364674202930598e+07,9531,1031,158370,125066.79100092647
29/05/2025,1.1683507774547726e+07,9941,1070,159878,114995.29389670595
28/05/2025,1.218941094202146e+07,10307,1150,164612,117952.2909418451
27/05/2025,1.3705475098595506e+07,10502,983,187015,134061.53996863152
26/05/2025,1.3420362526401957e+07,10652,1055,177406,129059.9734502221
25/05/2025,1.1966169446927395e+07,9896,1146,151863,118359.15095681876
24/05/2025,1.174871201169652e+07,9424,894,150622,114922.59927023364
23/05/2025,1.8809625082599465e+07,10814,951,184883,187931.18539153974
22/05/2025,1.6968461340044733e+07,11454,1050,194416,166370.8369904511
21/05/2025,1.5449363863254098e+07,11524,1156,188955,151076.2717104806
20/05/2025,1.6211097277810637e+07,11683,1159,211640,158127.47376359956
19/05/2025,1.4893593980677422e+07,11174,1004,198312,145701.78042105408
18/05/2025,1.5927777403514199e+07,10897,1034,190423,156962.38694864046
17/05/2025,1.6926898048524324e+07,11326,1067,207720,166534.07557107758
16/05/2025,1.951488307048532e+07,12866,1337,211067,193030.82681628858
15/05/2025,2.588849211547187e+07,14546,1673,240369,256599.34389736052
14/05/2025,3.935225090639051e+07,16215,1848,319298,391182.42727972637
13/05/2025,3.783110558457072e+07,15496,1611,296844,377221.5801952878
12/05/2025,2.1995641995853562e+07,13508,1393,241334,218092.72091397853
11/05/2025,1.3544848623512307e+07,11118,1026,185899,132454.885451812
10/05/2025,1.3796158956616329e+07,11079,1069,176998,134978.68259787533
09/05/2025,1.5727846423824929e+07,11951,1167,217743,155071.23167073875
08/05/2025,1.894338553720008e+07,13092,1507,248226,186883.97565308437
07/05/2025,1.581804333335559e+07,11754,1151,225009,155068.59488984337
06/05/2025,2.1135923460982256e+07,12516,1194,231455,209416.19446177222
05/05/2025,1.44846950259286e+07,11966,1095,217175,141863.76482207247
04/05/2025,1.6347170849719835e+07,12921,1219,210623,156985.98089002763
03/05/2025,2.1649241737161074e+07,14199,3147,223096,201150.50250871727
02/05/2025,1.941239662800896e+07,11977,1146,242643,182661.01560526254
01/05/2025,2.9207510446254164e+07,14304,1652,273776,280437.7196631658
30/04/2025,1.9353109843702786e+07,12783,1321,257603,179380.54025098254
29/04/2025,2.0822751846814796e+07,13225,1410,248861,197810.48319363975
28/04/2025,1.9233283863987077e+07,12846,1417,240068,180776.5383099519
27/04/2025,1.6549442547151364e+07,11585,951,222555,155392.01502986523
26/04/2025,1.9790412784644056e+07,12146,1062,243567,187278.4927275889
25/04/2025,2.1798908799885157e+07,13289,1166,244261,204291.1224839845
24/04/2025,1.9184891372797545e+07,12916,1449,212456,178416.24000692286
23/04/2025,1.7127713666078944e+07,12713,1161,210103,160075.59309728135
22/04/2025,1.3631410643283056e+07,11974,1115,206259,125345.77639727815
21/04/2025,1.576606366446074e+07,12628,1215,231618,145290.74368989095
20/04/2025,1.2484525600552864e+07,11927,1581,190524,113169.82742863015
19/04/2025,1.3093083625096882e+07,11340,1268,205095,119415.54160603306
18/04/2025,1.4171548460918766e+07,12577,1426,223348,130074.20326287861
17/04/2025,1.715297494243502e+07,13820,1651,255735,159208.37538922887
16/04/2025,1.934707828606335e+07,14016,1550,266283,188234.55490605257
15/04/2025,1.9093925034370534e+07,14843,2006,269913,185329.2195287507
14/04/2025,1.6813359418550145e+07,13378,1637,233717,162935.5473499617
13/04/2025,1.3938342707535464e+07,12788,1619,208282,133424.41427881716
12/04/2025,1.8293073051573258e+07,12689,1210,256975,179001.4657500674
11/04/2025,1.4556737745934216e+07,11894,1104,220503,143107.27251960646
10/04/2025,1.6342359345430966e+07,13652,1539,253877,159165.61506854312
09/04/2025,1.7149103887562696e+07,14898,1857,259644,166494.35093885363
08/04/2025,1.4238345198906241e+07,13555,1847,250831,136782.6567042978
07/04/2025,1.2306094078414934e+07,11024,1076,203300,120345.18361219957
06/04/2025,8.866201311136235e+06,10097,1031,164360,86184.27433046105
05/04/2025,9.379747172692306e+06,10178,977,180512,91241.46591339288
04/04/2025,8.608718105020313e+06,10154,1073,165599,83643.52021932286
03/04/2025,1.0636261414307019e+07,11408,1221,189948,103536.93002008613
02/04/2025,1.192471820888914e+07,12087,1261,207712,116016.9871378742
01/04/2025,1.5017699437004682e+07,13119,1422,244131,146737.93865950743
