formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades
12/06/2025,92843.44674488547,182,3,609
11/06/2025,3.335408166871697e+06,2172,430,19484
10/06/2025,4.267812930680871e+06,2066,245,20594
09/06/2025,4.444241322993002e+06,2040,345,20596
08/06/2025,2.581646078285836e+06,1637,154,16076
07/06/2025,2.3496395758507256e+06,1623,142,16481
06/06/2025,3.6376688008087873e+06,1975,214,20628
05/06/2025,4.2380242638103105e+06,2264,246,27046
04/06/2025,2.7655538720164862e+06,2035,291,19030
03/06/2025,3.5490909598987917e+06,2352,377,22966
02/06/2025,3.229904676319587e+06,2098,388,24190
01/06/2025,3.186290470485351e+06,2056,431,21807
31/05/2025,2.4990401879416266e+06,1863,231,18349
30/05/2025,2.762961245819473e+06,1950,275,18343
29/05/2025,3.486303505906122e+06,2164,301,21131
28/05/2025,3.7302710527406703e+06,2155,331,21145
27/05/2025,5.724807240927828e+06,2278,343,22778
26/05/2025,4.275290561991731e+06,2363,390,23608
25/05/2025,4.0812923063881174e+06,2031,291,21150
24/05/2025,3.52351127452843e+06,2150,414,21635
23/05/2025,4.552390594220356e+06,2395,367,26868
22/05/2025,6.186456365606027e+06,2695,512,29077
21/05/2025,5.818009608339422e+06,2622,537,26805
20/05/2025,5.580161667943898e+06,2676,528,28363
19/05/2025,5.17712787501128e+06,2442,399,25369
18/05/2025,4.989854190199537e+06,2348,491,25249
17/05/2025,5.520515847749375e+06,2368,364,27945
16/05/2025,6.2764251412285855e+06,2593,508,28844
15/05/2025,8.398262890559118e+06,2738,418,30964
14/05/2025,1.0840000933330838e+07,2640,262,35892
13/05/2025,1.1769645702868283e+07,2809,334,37873
12/05/2025,6.204360629029454e+06,2579,341,33503
11/05/2025,3.7490592813302036e+06,2006,134,22063
10/05/2025,4.0401344802273135e+06,2107,213,23144
09/05/2025,4.317641560433674e+06,2280,221,25712
08/05/2025,5.4723056776241185e+06,2660,355,33075
07/05/2025,4.864808111059815e+06,2261,192,28628
06/05/2025,6.01710301378629e+06,2347,221,29268
05/05/2025,4.321628278179418e+06,2251,219,26948
04/05/2025,5.001821640137758e+06,2201,140,27109
03/05/2025,8.250165396953271e+06,2569,160,27067
02/05/2025,5.991275192028773e+06,2657,249,32808
01/05/2025,9.086099559007268e+06,2742,276,38468
30/04/2025,6.269753051912268e+06,2477,174,34688
29/04/2025,5.990644489195717e+06,2548,238,30838
28/04/2025,7.182072332530721e+06,2598,268,34446
27/04/2025,4.7061255990512865e+06,2215,190,27738
26/04/2025,6.721794402571101e+06,2285,190,31063
25/04/2025,8.171295551512128e+06,2628,306,34715
24/04/2025,5.995700622107145e+06,2686,279,29429
23/04/2025,6.462090236612059e+06,4055,242,36167
22/04/2025,5.373121762480988e+06,3720,263,31438
21/04/2025,4.962401597894748e+06,3049,264,31361
20/04/2025,3.270893587751258e+06,2577,137,21046
19/04/2025,3.6883747201237967e+06,2187,173,23409
18/04/2025,5.164929760534035e+06,3666,258,30365
17/04/2025,4.95085887132812e+06,2360,252,31235
16/04/2025,6.099487662384908e+06,3705,264,35362
15/04/2025,5.765696060358281e+06,2859,239,33259
14/04/2025,4.702593436310599e+06,2370,218,29766
13/04/2025,4.0018915219052113e+06,3110,189,26754
12/04/2025,4.350898773275714e+06,3165,217,29788
11/04/2025,3.8224543344129804e+06,2933,180,28930
10/04/2025,3.9089656415899233e+06,3300,196,30925
09/04/2025,4.885513745856096e+06,3696,266,35934
08/04/2025,4.2954892531701205e+06,2251,204,32473
07/04/2025,4.521518593734192e+06,2038,170,27743
06/04/2025,3.3181217306026425e+06,1882,155,22361
05/04/2025,3.3442703357516266e+06,1968,157,24482
04/04/2025,2.947949074422284e+06,1967,173,22627
03/04/2025,3.3357016016935995e+06,2025,172,23719
02/04/2025,4.0214773512462643e+06,2053,159,25666
01/04/2025,4.493534468728177e+06,2111,156,29934
31/03/2025,4.749420701599642e+06,3382,153,29160
30/03/2025,3.2180635969035546e+06,2180,154,22865
29/03/2025,4.365920149413764e+06,3131,203,28240
28/03/2025,5.098364438881921e+06,2724,215,33658
27/03/2025,4.462839568346098e+06,2136,184,26226
26/03/2025,4.876602470252274e+06,3474,212,28347
25/03/2025,4.612758083523032e+06,2239,186,25182
24/03/2025,5.345569356868204e+06,3592,312,32005
23/03/2025,2.887596777369798e+06,2536,223,20164
22/03/2025,1.7911372191831253e+06,2623,264,15730
21/03/2025,1.454538500758907e+06,1557,132,12812
20/03/2025,2.6426988256722945e+06,2647,273,18741
19/03/2025,2.370584992746612e+06,2168,182,19422
18/03/2025,2.3817440088941213e+06,2465,240,19562
17/03/2025,3.1079369495180245e+06,2176,187,24262
16/03/2025,2.6479623595960527e+06,1810,130,19169
15/03/2025,4.265929146879543e+06,2435,217,24458
14/03/2025,3.1384961433456526e+06,2586,379,24385
13/03/2025,3.813292941485622e+06,2270,217,25277
12/03/2025,3.811457083468967e+06,2610,435,25513
11/03/2025,2.8134998881858173e+06,1922,134,21090
10/03/2025,3.1328977137204604e+06,1980,148,23007
09/03/2025,3.1495325180009822e+06,2464,379,20838
08/03/2025,4.085676009523368e+06,2879,770,23900
07/03/2025,7.378600202879846e+06,2732,273,33121
06/03/2025,3.710380527781298e+06,2479,289,26502
05/03/2025,4.337075089686947e+06,2545,314,28406
04/03/2025,3.2426098180839154e+06,2143,219,21244
03/03/2025,3.5413002650479046e+06,2397,249,22860
02/03/2025,3.5641562352751684e+06,2357,265,22214
01/03/2025,2.0045640387967722e+06,1866,147,17168
28/02/2025,2.580409787693717e+06,2070,164,19635
27/02/2025,3.2479272534451704e+06,2357,269,23094
26/02/2025,3.2018832750910274e+06,2177,144,20799
25/02/2025,4.03268246379593e+06,2329,205,21273
24/02/2025,4.4503477157294545e+06,2336,156,21938
23/02/2025,4.527076746564891e+06,2354,215,21978
22/02/2025,3.8740632410467686e+06,2309,214,21804
21/02/2025,5.131771141401866e+06,2558,230,26056
20/02/2025,5.756373103270538e+06,2711,233,27288
19/02/2025,4.779265823964805e+06,2604,222,27336
18/02/2025,4.538726612867938e+06,2601,209,26193
17/02/2025,5.342916743997714e+06,2621,197,27965
16/02/2025,5.409715377826612e+06,2528,200,26843
15/02/2025,8.616952173794325e+06,2759,228,29492
14/02/2025,1.096541459567502e+07,3171,295,34276
13/02/2025,7.517124941880604e+06,3228,275,33264
12/02/2025,1.0034865004629634e+07,3502,299,46962
11/02/2025,1.603183672691522e+07,3839,331,56937
10/02/2025,2.027383570470249e+07,3883,375,58554
09/02/2025,1.640655026367296e+07,3340,231,47209
08/02/2025,8.227617430506761e+06,3010,272,34916
07/02/2025,1.1757012633463722e+07,3518,421,46956
06/02/2025,9.616486170948781e+06,3388,346,41917
05/02/2025,1.3788743015514731e+07,3575,351,47905
04/02/2025,1.1007566048512014e+07,3438,304,42336
03/02/2025,1.17959544006437e+07,3306,282,42534
02/02/2025,9.154989802963821e+06,2980,223,39129
01/02/2025,1.4875162266176695e+07,3543,294,49138
31/01/2025,2.5850798769693e+07,4178,382,68938
30/01/2025,3.854195056796534e+07,4441,437,84890
29/01/2025,2.002562062039642e+07,4151,362,63007
28/01/2025,2.2897495097130142e+07,4507,538,69217
27/01/2025,2.9237166423707683e+07,4521,442,79197
26/01/2025,2.6488068084772762e+07,4225,309,71528
25/01/2025,2.573761988646778e+07,4326,349,71146
24/01/2025,4.235315822905525e+07,4940,480,93795
23/01/2025,5.1021727914498694e+07,5265,526,104008
22/01/2025,2.4758654880987544e+07,4529,478,68739
21/01/2025,4.739886200747162e+07,4728,506,77586
20/01/2025,6.4233481655348256e+07,6005,847,95039
19/01/2025,5.561124559326664e+07,6108,923,87495
18/01/2025,4.3169641855287544e+07,5240,661,66678
