formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
27/05/2025,362359.5556383452,744,17,2026,9058.98889095863
26/05/2025,1.312967434399446e+06,2663,94,8543,32824.18585998615
25/05/2025,1.0517895997497314e+06,2475,79,7907,26294.739993743282
24/05/2025,1.3874432108795382e+06,2611,75,9155,34686.08027198845
23/05/2025,2.2012074870024403e+06,3498,136,11077,55030.18717506101
22/05/2025,1.9704280302130722e+06,4079,155,11924,49260.700755326805
21/05/2025,1.4904022346743443e+06,3511,98,10855,37260.05586685861
20/05/2025,1.5267191887305304e+06,4026,92,12292,38167.97971826326
19/05/2025,1.419241056180914e+06,4683,80,14500,35481.02640452285
18/05/2025,1.4821167834561514e+06,3499,103,12337,37052.91958640378
17/05/2025,1.5693838274629544e+06,4517,86,13586,39234.59568657386
16/05/2025,1.7996943315263502e+06,3763,101,13729,44992.35828815876
15/05/2025,2.5065386440249505e+06,4809,161,18018,62663.466100623766
14/05/2025,2.98446143101459e+06,6136,201,22587,74611.53577536475
13/05/2025,4.219997731812419e+06,8738,273,33187,105499.94329531048
12/05/2025,2.825639393621953e+06,6657,183,21076,70640.98484054883
11/05/2025,1.6888448338396254e+06,3961,121,13623,42221.120845990634
10/05/2025,1.983926988241653e+06,4641,131,16002,49598.174706041325
09/05/2025,2.1135858577378425e+06,5283,172,16474,52839.646443446065
08/05/2025,1.8134568157390899e+06,5103,171,15844,45336.420393477245
07/05/2025,1.7105606136489902e+06,3415,109,18387,42764.01534122475
06/05/2025,1.577190923181521e+06,2606,77,17471,39429.77307953803
05/05/2025,1.9604601923978277e+06,4627,154,16413,49011.50480994569
04/05/2025,1.920997923218049e+06,4049,148,14922,48024.94808045123
03/05/2025,2.6867296340971976e+06,7302,172,22614,67168.24085242994
02/05/2025,1.998336861434185e+06,4470,124,16107,49958.42153585462
01/05/2025,2.891746053962404e+06,7712,203,24888,72293.65134906009
30/04/2025,2.0372606831541387e+06,4193,149,14941,50931.51707885347
29/04/2025,1.962864086733113e+06,4002,254,13998,49071.60216832782
28/04/2025,2.1701377501066444e+06,4672,112,16584,54253.443752666106
27/04/2025,2.044234366651609e+06,3881,111,15352,51105.859166290225
26/04/2025,2.9558409697545217e+06,5730,237,21127,73896.02424386304
25/04/2025,3.7704537803246877e+06,7906,346,30566,94261.3445081172
24/04/2025,1.8523820091690905e+06,4808,177,14848,46309.550229227265
23/04/2025,2.6049728268105867e+06,6370,216,19399,65124.320670264664
22/04/2025,2.462197148189353e+06,6426,208,19545,61554.92870473382
21/04/2025,1.4345943724659635e+06,3194,142,11166,35864.85931164909
20/04/2025,1.234759001825033e+06,3123,119,10580,30868.975045625826
19/04/2025,1.3912601329733387e+06,3259,199,11268,34781.50332433347
18/04/2025,1.2092915916279294e+06,3169,263,9909,30232.289790698236
17/04/2025,1.7498029992052228e+06,4596,148,14434,43745.07498013057
16/04/2025,1.9821173533822112e+06,5854,180,18737,49552.93383455528
15/04/2025,2.6903341384151056e+06,5222,154,20362,67258.35346037764
14/04/2025,2.1668543078170237e+06,3628,128,13089,54171.35769542559
13/04/2025,1.9601557033679716e+06,3267,106,12608,49003.89258419929
12/04/2025,1.8186268145372984e+06,3701,126,13417,45465.67036343246
11/04/2025,2.3052740148736304e+06,4809,179,16492,57631.85037184076
10/04/2025,1.747528566284506e+06,4203,153,13470,43688.214157112656
09/04/2025,2.596185282419423e+06,7921,223,23627,64904.63206048558
08/04/2025,1.597213382628551e+06,3317,125,10999,39930.334565713776
07/04/2025,1.3327958723979143e+06,3573,133,10654,33319.89680994786
06/04/2025,1.2989479973066803e+06,3263,101,10224,32473.699932667005
05/04/2025,1.3353388960082342e+06,3503,105,10809,33383.47240020586
04/04/2025,1.5430608416093711e+06,3573,137,11632,38576.52104023428
03/04/2025,1.5954025415583106e+06,3929,147,11919,39885.063538957766
02/04/2025,2.1049362465906744e+06,4630,134,15778,52623.40616476686
01/04/2025,1.649770093238725e+06,4229,115,13506,41244.25233096813
31/03/2025,2.266952680704539e+06,4991,125,18575,56673.81701761348
30/03/2025,1.0833304946185285e+06,2468,77,8649,27083.26236546321
29/03/2025,2.122052981709612e+06,3806,106,14295,53051.3245427403
28/03/2025,2.0959579684233996e+06,5010,166,15606,52398.94921058499
27/03/2025,3.606619475845849e+06,10149,386,33189,90165.48689614623
26/03/2025,1.8969338515061112e+06,3664,125,12552,47423.34628765278
25/03/2025,1.4349613886837158e+06,3269,101,10919,35874.034717092894
24/03/2025,2.4641754783635847e+06,4890,159,16721,61604.38695908962
23/03/2025,2.617592206528458e+06,6764,242,21442,65439.805163211444
22/03/2025,1.6944933103478516e+06,5054,177,14650,42362.33275869629
21/03/2025,934108.6573738164,2250,77,6722,23352.71643434541
20/03/2025,1.0031561064569805e+06,2509,94,7609,25078.902661424512
19/03/2025,1.0513205515210258e+06,2843,98,8820,26283.013788025648
18/03/2025,1.1178746842085107e+06,2864,104,8480,27946.867105212765
17/03/2025,1.526973728414923e+06,3425,118,11230,38174.343210373074
16/03/2025,1.1408359078139516e+06,2855,113,9825,28520.89769534879
15/03/2025,1.8551765064717736e+06,3836,122,13641,46379.41266179434
14/03/2025,2.337593382565388e+06,7090,250,21278,58439.8345641347
13/03/2025,1.753831098789263e+06,4062,134,14394,43845.777469731576
12/03/2025,2.7668652430501524e+06,7346,214,26231,69171.6310762538
11/03/2025,2.0451831467106985e+06,5033,219,16346,51129.57866776746
10/03/2025,1.406601193523197e+06,3339,115,11743,35165.02983807992
09/03/2025,2.366181887777088e+06,5230,249,18819,59154.5471944272
08/03/2025,2.4209641436179318e+06,4849,195,19009,60524.10359044829
07/03/2025,1.6427719095983228e+06,3593,124,13865,41069.29773995807
06/03/2025,2.676023609309886e+06,6367,211,22585,66900.59023274716
05/03/2025,3.8190530819691415e+06,10634,637,33984,95476.32704922854
04/03/2025,2.5826304388216515e+06,7456,345,22317,64565.76097054129
03/03/2025,1.8681781927122609e+06,4785,196,14404,46704.45481780652
02/03/2025,3.403844283867732e+06,8105,301,23068,85096.1070966933
01/03/2025,1.5595335046581752e+06,3583,133,12693,38988.33761645438
28/02/2025,2.09931802191924e+06,4752,229,15505,52482.950547980996
27/02/2025,2.074287608719842e+06,4795,227,16210,51857.19021799605
26/02/2025,1.6909726329682316e+06,4319,179,13993,42274.31582420579
25/02/2025,2.1240669402156365e+06,5626,274,17226,53101.673505390914
24/02/2025,2.147684505080814e+06,5085,209,16479,53692.112627020346
23/02/2025,3.0485136303233206e+06,5337,296,18603,76212.84075808301
22/02/2025,2.231722266599953e+06,5592,172,20688,55793.05666499883
21/02/2025,2.9683803977643517e+06,8747,241,28503,74209.5099441088
20/02/2025,2.946937023714164e+06,7082,255,26170,73673.4255928541
19/02/2025,3.6001498883460886e+06,7794,261,29419,90003.74720865222
18/02/2025,4.13317318261937e+06,8712,287,31483,103329.32956548425
17/02/2025,4.898681236317944e+06,10672,320,43281,122467.0309079486
16/02/2025,4.588987020030179e+06,8365,383,38396,114724.67550075449
15/02/2025,6.123445355728116e+06,12303,552,49351,153086.1338932029
14/02/2025,1.2759046838082425e+07,22150,1272,92954,318976.1709520606
13/02/2025,1.2660172077291936e+07,21227,1658,98373,316504.3019322984
12/02/2025,1.1062131224208178e+07,16602,1175,76293,276553.28060520446
11/02/2025,9.656745343466105e+06,16155,1275,66980,241418.63358665264
10/02/2025,1.3571577123236857e+07,23330,1780,91547,339289.4280809214
09/02/2025,4.914911749445375e+07,46426,13574,205379,1.2287279373613438e+06
08/02/2025,4.2702161700794315e+06,10910,998,39916,106755.40425198579
07/02/2025,4.323189956682089e+06,10595,902,38077,108079.74891705222
06/02/2025,4.517457471032833e+06,10867,790,37033,112936.43677582082
05/02/2025,7.944905598995183e+06,17699,1243,64124,198622.63997487957
04/02/2025,7.624229637455812e+06,15775,1225,53514,190605.7409363953
03/02/2025,7.770954370473721e+06,18153,1220,56459,194273.85926184303
02/02/2025,6.4338410039828075e+06,14483,1014,48444,160846.0250995702
01/02/2025,9.134629989287429e+06,18711,1402,64544,228365.7497321857
31/01/2025,1.0642995644079538e+07,20374,1450,78038,266074.89110198844
30/01/2025,1.8522184248851545e+07,35052,3057,143552,463054.6062212886
29/01/2025,9.330182977753732e+06,20756,1468,75919,233254.5744438433
28/01/2025,1.1744899332476499e+07,26515,2336,94237,293622.48331191245
27/01/2025,1.6984844883399367e+07,32440,2515,123002,424621.12208498415
26/01/2025,3.489809036674401e+07,46774,4431,195603,872452.2591686003
25/01/2025,3.729017786902257e+07,55873,5692,225139,932254.4467255642
24/01/2025,2.7419284292873524e+07,40356,3525,194526,685482.1073218381
23/01/2025,3.1492948972924575e+07,41897,4676,182708,787323.7243231144
22/01/2025,4.067886362408732e+07,51201,7616,227255,1.0169715906021829e+06
