formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,_col5
17/06/2025,121.21033941737998,2,0,2,1.2196398688199999
16/06/2025,1428.5471950303304,30,10,51,7.91997733778
15/06/2025,546.1002929024501,19,6,35,5.4888046825400005
14/06/2025,18010.234869439813,134,122,145,8.553213113189999
13/06/2025,1147.43620305782,14,1,37,11.554962713079998
12/06/2025,4198.873414024641,27,14,89,34.748718302149996
11/06/2025,6470.903441581878,32,11,84,65.15595883075
10/06/2025,325.78692419398993,8,1,42,3.274668001740001
09/06/2025,1550.3415767086303,14,5,54,15.654267520150004
08/06/2025,4697.321440112019,12,6,68,47.13730547096
07/06/2025,1123.4837461482698,2,0,3,11.234837309909999
06/06/2025,4794.5447813227875,23,5,168,48.192601937699976
05/06/2025,4826.668114886299,26,3,80,48.40054586443999
04/06/2025,6761.834292627058,28,4,103,67.97691717228
03/06/2025,15908.360474334342,31,7,70,159.80272752694
02/06/2025,7708.3552720101225,21,2,47,77.41227385613
01/06/2025,4740.234965727583,30,6,86,47.697157080690005
31/05/2025,3480.27073745251,29,6,76,35.09204045997999
30/05/2025,6121.594274965953,27,5,64,61.48101098383998
29/05/2025,5760.83380101422,39,9,177,57.849190124349995
28/05/2025,9694.286167171686,42,7,126,97.22303860415002
27/05/2025,6497.029308989042,38,5,102,65.17699507953002
26/05/2025,10057.644105811636,34,5,178,101.02001460603996
25/05/2025,13152.925291902748,52,16,159,132.12539745541
24/05/2025,3569.214830739528,23,4,145,35.806949643550034
23/05/2025,13020.175140751227,40,6,160,130.70806068920004
22/05/2025,17452.635296570566,69,11,150,175.06482785276
21/05/2025,165451.3341498317,128,26,1125,1651.6073352726398
20/05/2025,121358.79991041642,127,25,961,1214.1450451089308
19/05/2025,94418.80109759857,128,28,1039,936.97101784087
18/05/2025,184918.84190370055,95,33,1243,1848.7928997229005
17/05/2025,154233.19528765176,87,35,746,1542.3491719609399
16/05/2025,50709.67024301518,74,20,202,510.08678479232003
15/05/2025,18005.070992252797,67,10,150,180.81421326296
14/05/2025,30152.93425714259,86,15,178,303.0396754043399
13/05/2025,53537.558517180056,120,8,279,538.9620461338801
12/05/2025,199611.53237429183,421,34,2519,2005.2881941602586
