formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades
27/05/2025,190616.1219622338,60,2,908
26/05/2025,1.4464376261758937e+06,275,56,6802
25/05/2025,1.0425283124823658e+06,233,49,5574
24/05/2025,966685.0693450107,222,55,5966
23/05/2025,1.2808612015415793e+06,228,17,5901
22/05/2025,1.7184207352891932e+06,219,26,7080
21/05/2025,1.5473006259371568e+06,220,13,6022
20/05/2025,1.6519727188083592e+06,208,15,7033
19/05/2025,1.025116871236864e+06,190,15,5278
18/05/2025,1.2118965948635128e+06,181,11,5547
17/05/2025,977589.0454278447,192,11,4314
16/05/2025,1.1696783270028846e+06,231,22,5158
15/05/2025,1.0451544461583087e+06,229,29,4443
14/05/2025,1.8667717534624515e+06,283,22,6391
13/05/2025,1.718610649517438e+06,264,21,6393
12/05/2025,1.2819746513394406e+06,289,43,5601
11/05/2025,1.2430962742390367e+06,221,19,4576
10/05/2025,1.0753039734064967e+06,215,17,4544
09/05/2025,1.3722742986675173e+06,281,41,6483
08/05/2025,1.4177891930739244e+06,237,21,6614
07/05/2025,1.0169023296482719e+06,224,30,6218
06/05/2025,1.0602928363568068e+06,203,19,4655
05/05/2025,783945.815889406,206,25,3482
04/05/2025,639225.4975575791,198,11,3445
03/05/2025,978737.7534046283,208,18,3717
02/05/2025,1.3181307172868792e+06,242,50,5517
01/05/2025,1.4225332165131387e+06,246,41,5421
30/04/2025,1.2168581258591232e+06,231,37,5840
29/04/2025,1.2083416824100418e+06,237,46,5182
28/04/2025,1.3430776183798376e+06,181,13,5637
27/04/2025,1.1196231255000567e+06,168,18,4529
26/04/2025,1.245018601853145e+06,185,22,5154
25/04/2025,1.4425955569983802e+06,250,36,5530
24/04/2025,1.1310239406548613e+06,228,51,4345
23/04/2025,1.6490717744286926e+06,234,38,7124
22/04/2025,1.4635511494324072e+06,206,35,6995
21/04/2025,1.050725544761465e+06,184,21,5811
20/04/2025,744031.8818352114,158,12,3859
19/04/2025,632978.2805252839,157,29,4054
18/04/2025,894283.5662049729,166,41,5199
17/04/2025,749597.904633922,137,24,4074
16/04/2025,949880.2933873254,139,15,4487
15/04/2025,885939.9461674178,186,21,3788
14/04/2025,646973.893960676,176,27,3882
13/04/2025,476852.6942668528,139,25,3716
12/04/2025,905836.2340691446,166,24,5819
11/04/2025,605092.7834658321,164,21,4417
10/04/2025,518347.95555986796,180,29,4690
09/04/2025,488555.6360869487,176,22,4197
08/04/2025,493815.9936834584,162,34,4074
07/04/2025,324727.6748286484,129,22,2586
06/04/2025,223972.65282515183,119,17,2040
05/04/2025,258160.48627718567,121,31,2557
04/04/2025,144996.6937023147,108,11,1699
03/04/2025,172637.89742436243,127,26,1725
02/04/2025,176408.1078720137,112,15,1522
01/04/2025,219362.30847643217,91,7,1904
31/03/2025,264922.96347702097,101,10,1934
30/03/2025,130601.90423128006,116,22,1251
29/03/2025,209235.1675014185,125,50,1785
28/03/2025,304903.0466773272,115,21,2276
27/03/2025,191199.25168658097,85,8,1697
26/03/2025,406218.1732436883,90,10,1746
25/03/2025,155358.35527151788,97,20,1594
24/03/2025,126913.99321954194,84,11,1512
23/03/2025,38129.0268771433,53,5,1089
22/03/2025,63636.51411253735,49,4,1388
21/03/2025,36742.5353907149,53,9,1265
20/03/2025,87611.83099848672,66,8,752
19/03/2025,55272.811952470765,66,7,888
18/03/2025,85430.97275744387,84,10,1343
17/03/2025,95498.61631707427,78,5,1228
16/03/2025,43114.2879094648,63,4,1104
15/03/2025,44801.60496932555,59,6,949
14/03/2025,91536.22491501822,73,6,1214
13/03/2025,133783.76369585737,68,6,1172
12/03/2025,153475.10048921625,78,8,1409
11/03/2025,91373.73322315273,74,11,894
10/03/2025,60388.540288969474,72,11,1010
09/03/2025,55973.28660009714,77,6,862
08/03/2025,72055.56814642846,66,5,795
07/03/2025,276405.6225737926,98,8,1324
06/03/2025,62836.74292102759,83,9,839
05/03/2025,84255.65030712186,73,4,889
04/03/2025,72309.1408392963,77,3,630
03/03/2025,76432.51043341783,85,5,925
02/03/2025,151376.83892400612,74,3,926
01/03/2025,87336.86654197251,76,2,845
28/02/2025,109048.7562524088,83,7,1272
27/02/2025,112044.33148253268,84,13,1207
26/02/2025,121712.79434270736,77,5,1111
25/02/2025,187556.97200971883,95,8,1296
24/02/2025,118958.85429740082,84,4,1035
23/02/2025,99902.03543555306,85,6,1247
22/02/2025,126840.63500316875,77,7,1324
21/02/2025,188407.31436253744,106,9,1335
20/02/2025,262838.47122178733,116,11,1382
19/02/2025,266451.9228145975,122,11,1515
18/02/2025,333667.3768061119,118,3,1385
17/02/2025,129489.08618896,109,4,1225
16/02/2025,260430.04280875964,120,11,1067
15/02/2025,318851.0024843235,121,8,1711
14/02/2025,381260.0160144747,133,5,1555
13/02/2025,453691.7152104128,154,11,2062
12/02/2025,533121.3165634872,160,12,2188
11/02/2025,751352.5759679899,192,8,3394
10/02/2025,1.0594279111604618e+06,193,7,2843
09/02/2025,1.348245967517591e+06,190,12,3402
08/02/2025,200707.24152478063,130,12,1212
07/02/2025,239891.74886001358,173,11,1813
06/02/2025,296976.1633731438,193,15,2223
05/02/2025,520073.3467556543,201,13,2568
04/02/2025,438320.9470761515,207,8,2671
03/02/2025,463675.70958759764,202,12,2295
02/02/2025,643906.7662274197,196,18,2116
01/02/2025,758141.3123957778,234,15,3503
31/01/2025,1.0746082842380158e+06,280,34,4522
30/01/2025,2.8479043569449894e+06,273,19,6473
29/01/2025,1.2135787462820394e+06,242,31,3432
28/01/2025,1.0557861603193127e+06,275,30,3864
27/01/2025,2.225122741160387e+06,320,27,6147
26/01/2025,1.5171768543953844e+06,293,22,5048
25/01/2025,2.2209587714186865e+06,274,23,4891
24/01/2025,3.0928282341502463e+06,312,22,7029
23/01/2025,5.51233646648485e+06,370,26,8245
22/01/2025,2.6240732605622443e+06,340,28,5174
21/01/2025,5.338344050467141e+06,361,42,6097
20/01/2025,6.459811572616565e+06,409,42,9138
19/01/2025,5.425586045368464e+06,436,59,6248
18/01/2025,2.4702241255744505e+06,362,44,3187
17/01/2025,815787.7279613448,297,27,3311
16/01/2025,623158.8664717885,290,29,2704
15/01/2025,469360.56232357054,276,27,2837
14/01/2025,440164.17710357206,220,12,2193
13/01/2025,735701.2150132176,259,24,2393
12/01/2025,667755.4782710051,290,27,2297
11/01/2025,512684.04308868625,258,14,1836
10/01/2025,696434.2507726686,348,60,3168
09/01/2025,954886.5809970293,316,17,3449
08/01/2025,1.1143208151778192e+06,347,27,3885
07/01/2025,992046.0841722949,352,28,3593
06/01/2025,1.0031285718707356e+06,385,51,4005
05/01/2025,1.050715051017028e+06,362,51,3593
04/01/2025,1.0351232889176859e+06,331,32,4050
03/01/2025,1.0895591038538404e+06,339,45,3621
02/01/2025,749125.775570281,261,14,2990
01/01/2025,317763.83139749174,190,4,1568
31/12/2024,399684.6158930899,223,9,1935
30/12/2024,568181.1172073998,222,16,2414
29/12/2024,542588.6158793687,212,13,2394
28/12/2024,352484.64798437024,197,24,2221
27/12/2024,619025.7249681893,256,28,3659
26/12/2024,589892.0977932547,252,19,3337
25/12/2024,397153.30779836915,227,34,1718
24/12/2024,458971.4918124235,281,57,2785
23/12/2024,491017.3456271168,301,86,4209
22/12/2024,255554.12360782266,278,119,2796
21/12/2024,235764.15469085722,171,81,1282
20/12/2024,336558.21020777494,104,20,1049
19/12/2024,142876.4181909482,138,9,730
18/12/2024,114387.72343386066,134,8,669
17/12/2024,115611.35131085629,157,16,680
16/12/2024,106932.08414630433,145,16,787
15/12/2024,106268.82360619807,108,7,600
14/12/2024,116478.16307956302,111,8,577
13/12/2024,149382.83811160072,131,8,635
12/12/2024,122674.5390384646,113,14,643
11/12/2024,89705.84707055418,112,6,523
10/12/2024,156206.09001681663,122,5,717
09/12/2024,163585.05838870635,132,8,931
08/12/2024,109460.0194988007,95,11,552
07/12/2024,124584.74998379851,112,12,490
06/12/2024,283919.94016372383,116,9,444
05/12/2024,84294.73264875753,113,12,447
04/12/2024,138535.73790578055,106,8,716
03/12/2024,189445.39027116538,140,15,911
02/12/2024,240249.15353598038,146,9,969
01/12/2024,339431.1967712022,137,22,991
30/11/2024,262019.6013589772,151,23,1075
29/11/2024,180673.78146287394,131,8,1112
28/11/2024,176851.20490906542,141,17,1016
27/11/2024,202815.094346613,155,19,1099
26/11/2024,228078.04358441228,145,18,961
25/11/2024,217189.8300093865,151,21,870
24/11/2024,328448.8694329685,141,16,981
23/11/2024,234886.2523406173,140,14,1059
22/11/2024,225434.14555799935,160,22,1169
21/11/2024,176708.83325898275,174,21,1068
20/11/2024,211912.89439762078,166,18,1463
19/11/2024,327850.5358745521,167,15,1508
18/11/2024,352743.46251635026,165,24,1632
17/11/2024,280669.5980451318,167,34,1887
16/11/2024,115863.72321044111,124,25,873
15/11/2024,156309.60347826246,122,15,1251
14/11/2024,130795.94524346624,109,14,1094
13/11/2024,98751.59779689067,89,8,622
12/11/2024,58216.96132177648,84,7,486
11/11/2024,49884.83544095601,84,9,430
10/11/2024,42071.46840194722,77,21,449
09/11/2024,38015.32179350536,57,5,356
08/11/2024,17585.89056334893,53,7,257
07/11/2024,18980.029343656053,43,1,302
06/11/2024,20237.473615301828,43,4,231
05/11/2024,20083.85504891959,35,5,234
04/11/2024,15843.900321701203,29,1,154
03/11/2024,19329.679773486303,41,3,214
02/11/2024,29957.06295588132,36,2,192
01/11/2024,25607.775403836546,41,3,200
31/10/2024,46624.607557273834,41,4,272
30/10/2024,32762.89743248413,46,5,234
29/10/2024,24272.49159705759,48,8,283
28/10/2024,44456.13809862814,49,9,245
27/10/2024,61896.47420651916,50,6,406
26/10/2024,25845.835459930593,39,4,219
25/10/2024,41239.104174528395,45,11,245
24/10/2024,49919.109268815315,46,8,394
23/10/2024,31429.934587240405,45,8,238
22/10/2024,28153.662437090756,38,5,245
21/10/2024,21149.247983513236,37,9,306
20/10/2024,17466.26340837604,22,2,127
19/10/2024,25974.71252242296,29,5,215
18/10/2024,22195.155193518473,26,9,259
17/10/2024,22988.238521091065,24,9,276
16/10/2024,15733.203624427319,19,3,79
15/10/2024,10149.930362323867,15,6,58
14/10/2024,36285.89806176089,17,5,70
13/10/2024,29337.387873560347,13,4,77
12/10/2024,3907.2063898167007,10,4,38
11/10/2024,38509.394210627106,14,10,63
10/10/2024,981.1934816479502,5,5,15
