formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
21/04/2025,2.7202936035500537e+06,3737,831,19940,24942.33803458817
20/04/2025,3.2582780912238292e+07,19472,5963,202706,221119.74150985866
19/04/2025,3.6526012546766885e+07,19164,6736,220223,247360.97924852697
18/04/2025,3.628012749791182e+07,19870,5365,225023,305248.7913842466
17/04/2025,4.36512870245885e+07,23839,8885,275688,374311.4178814953
16/04/2025,4.994227833664473e+07,21368,6016,285947,433653.66646070895
15/04/2025,5.0806767587898776e+07,23024,8273,312084,425703.62551188533
14/04/2025,4.2788233290489465e+07,24498,9090,273494,407138.3138409519
13/04/2025,3.1122192555378314e+07,19372,9693,239852,288712.00267953245
12/04/2025,4.085272596067732e+07,21825,12431,263828,373511.739030118
11/04/2025,4.013343926954944e+07,25355,7920,281031,331489.1967907035
10/04/2025,3.995322323548098e+07,27200,9149,297442,310234.6169032983
09/04/2025,5.0939352191299446e+07,27752,7397,344808,402829.8612302528
08/04/2025,4.548638179108514e+07,27462,9533,328967,319086.63534516754
07/04/2025,3.677212549812052e+07,21991,7559,262535,251046.1973334053
06/04/2025,2.985139749140572e+07,19943,6740,227879,176114.44130423764
05/04/2025,2.6800756137807004e+07,18355,5233,220511,221525.7203525583
04/04/2025,3.406740625473946e+07,22374,6859,244013,235724.32002240577
03/04/2025,3.124196196193806e+07,21248,6292,231984,261683.5095775393
02/04/2025,4.396079917613237e+07,26602,9496,293101,354309.2304201269
01/04/2025,4.9312361322078824e+07,29729,12147,302257,424739.5428190448
31/03/2025,4.116763185146474e+07,27433,11106,266440,332990.2508674236
30/03/2025,2.9820334341299105e+07,23049,9920,235075,238271.01823834336
29/03/2025,3.3964860484241515e+07,25529,12030,255189,299369.1598629663
28/03/2025,5.028641109703251e+07,25123,8093,301730,445021.761643108
27/03/2025,4.4977503816731654e+07,25160,9068,290140,381765.85265852074
26/03/2025,4.655733995931384e+07,24516,10006,286666,426165.3308365321
25/03/2025,6.439614960402561e+07,30759,15755,366185,474879.8288805721
24/03/2025,6.684509329966764e+07,27883,9501,372895,521778.6545852901
23/03/2025,2.994941557812787e+07,23146,7494,250566,228046.96643269353
22/03/2025,1.4883016190090854e+07,14882,5957,150200,135045.6860606116
21/03/2025,1.2043091185703311e+07,14468,7000,132457,113303.06778322629
20/03/2025,4.747997210836091e+07,26283,8042,267263,255115.28346183995
19/03/2025,4.804011955669063e+07,27251,7770,247045,257464.82861361935
18/03/2025,5.031978715645622e+07,27853,8809,288406,230371.187233608
17/03/2025,3.928246232169797e+07,28824,11153,270176,272540.2791540207
16/03/2025,2.7183359742207453e+07,18136,6006,213555,205738.8680863456
15/03/2025,3.761255085993767e+07,21602,9395,241273,288182.9038517842
14/03/2025,3.782512699685542e+07,20370,5606,240905,242666.03339353696
13/03/2025,4.353127893115579e+07,20839,6680,263320,279356.05476477364
12/03/2025,5.270983590637092e+07,22629,8972,266501,294376.10752334644
11/03/2025,5.953955419034257e+07,20575,7077,265245,218488.64449369477
10/03/2025,3.107993099717216e+07,19010,5194,238810,197391.44838595338
09/03/2025,2.795592395354881e+07,17794,5413,205923,189252.83306754954
08/03/2025,4.485270794025521e+07,19641,7496,236046,293627.49057172844
07/03/2025,8.648492657606712e+07,24233,6883,336763,514800.0025320491
06/03/2025,4.252740285571204e+07,26073,8377,258805,280568.0455866832
05/03/2025,6.604203478595195e+07,25822,7149,310332,345981.31970218546
04/03/2025,5.811985228355953e+07,26798,9927,248942,254989.4444172787
03/03/2025,6.628944232539996e+07,25302,10656,248178,265145.8491745611
02/03/2025,5.15534962164136e+07,25848,10720,236804,281194.4594863914
01/03/2025,3.055795408080701e+07,23240,11865,178112,127589.77889419977
28/02/2025,5.4559467072489895e+07,23451,6757,235261,190705.5211542926
27/02/2025,4.39807455532938e+07,22231,7284,255446,258822.00023342718
26/02/2025,4.0814473273240186e+07,24921,9144,226617,208178.5332900388
25/02/2025,3.929342265010914e+07,22183,4595,228111,234228.56369895377
24/02/2025,5.40469797174704e+07,26002,6189,275069,313230.10672766855
23/02/2025,8.090654083023103e+07,25033,6458,318387,355281.52894892276
22/02/2025,9.262611616303626e+07,29350,9592,309379,377883.2227476272
21/02/2025,6.042885648793392e+07,28138,8484,317320,456764.33480889845
20/02/2025,1.3929622752008978e+08,30179,9604,394754,678040.7245034922
19/02/2025,1.4091819068226174e+08,36656,12216,386369,598579.7597525585
18/02/2025,1.345915608434615e+08,36180,11231,384469,644426.7496571663
17/02/2025,1.5335684191974917e+08,37535,13654,412188,510660.77253926074
16/02/2025,1.2363929454729988e+08,33933,8608,384236,555519.1117660875
15/02/2025,2.2284317570041472e+08,39777,13316,465451,692855.0671564045
14/02/2025,1.98893854146834e+08,39846,9879,516880,1.4594106221254568e+06
13/02/2025,2.7489659398016393e+08,45115,13539,576296,1.2968477027202053e+06
12/02/2025,2.4468618491695878e+08,40686,10201,649399,1.5990268612784678e+06
11/02/2025,2.5909486586794662e+08,41486,12343,729528,1.9736544620252438e+06
10/02/2025,3.3654030316332275e+08,38970,8080,767407,2.747589793848328e+06
09/02/2025,2.5102223765539068e+08,35760,7890,628841,2.1459216030010516e+06
08/02/2025,1.182139512408516e+08,31149,6940,485514,931029.6010399291
07/02/2025,1.4660931119980708e+08,34960,8108,577796,1.2493289195749632e+06
06/02/2025,1.4634121283871472e+08,35109,8617,538015,1.060242533671888e+06
05/02/2025,2.0531308857904333e+08,37301,9088,632491,1.6849645942950773e+06
04/02/2025,1.8019957163959575e+08,39656,10926,634583,1.38787443540341e+06
03/02/2025,1.3766438490608734e+08,33513,7216,552063,1.157006897031708e+06
02/02/2025,1.192817098095247e+08,32188,6834,538444,898054.9994326709
01/02/2025,1.734844811921197e+08,36647,7591,626626,1.5378104689095125e+06
31/01/2025,3.106793392871806e+08,44757,11518,838508,2.851531919232639e+06
30/01/2025,5.827224183830527e+08,48513,13316,1.006252e+06,5.373195453555211e+06
29/01/2025,2.798224115341138e+08,39916,8887,722207,2.352568457784215e+06
28/01/2025,2.882888866117079e+08,41926,9659,765067,2.59666701911071e+06
27/01/2025,3.8455481143138987e+08,43311,11113,848817,3.3832204082365315e+06
26/01/2025,3.367337265074424e+08,43237,12000,814342,3.104533827395551e+06
25/01/2025,3.3886431839880884e+08,42795,11986,771408,3.1703034604299087e+06
24/01/2025,5.803876922899015e+08,45953,11122,962464,5.032728123963458e+06
23/01/2025,6.349447188021331e+08,48321,13267,1.021652e+06,5.963584581177632e+06
22/01/2025,3.6145402179124266e+08,41023,8609,766079,3.1332116198968855e+06
21/01/2025,5.017835471720602e+08,41612,8263,805372,4.40510337453935e+06
20/01/2025,6.24140308799722e+08,47494,8725,944796,5.648253476621166e+06
19/01/2025,5.349755710859067e+08,47525,11179,762508,5.068446704372628e+06
18/01/2025,3.568016094328493e+08,38731,9196,592979,3.4512762884561345e+06
17/01/2025,2.0534549629426682e+08,29834,7464,512180,1.9882822453323472e+06
16/01/2025,1.7476354508918566e+08,31531,8534,513609,1.6367981190287946e+06
15/01/2025,1.8196839707924366e+08,30276,7210,536973,1.6946686531377488e+06
14/01/2025,1.7102799497068316e+08,31234,8716,570717,1.5269166107630928e+06
13/01/2025,1.3771506772599855e+08,27919,6701,464041,1.237632500094372e+06
12/01/2025,1.572263113606091e+08,29465,7191,536166,1.4967641928900839e+06
11/01/2025,1.6383141060980025e+08,29996,7640,502118,1.5514498304696658e+06
10/01/2025,1.5726093440293986e+08,30783,8197,515566,1.5275684149405335e+06
09/01/2025,1.9327333433910286e+08,31368,6742,569888,1.8139686324730862e+06
08/01/2025,1.9667770599227837e+08,34427,9923,545926,1.7564389268625998e+06
07/01/2025,2.2339828649191967e+08,33249,8063,560004,1.9927108090908732e+06
06/01/2025,2.0118581488157615e+08,33574,8007,559408,1.8584348248466013e+06
05/01/2025,2.1296476446662048e+08,33846,8600,532269,1.860204156078729e+06
04/01/2025,1.9931253930854416e+08,31083,7203,502721,1.7467865522594922e+06
03/01/2025,2.5329251150459024e+08,34082,9647,620215,2.3840966335104154e+06
02/01/2025,1.9946808767174828e+08,33314,9538,561390,1.7748831767703097e+06
01/01/2025,1.444663689004315e+08,26453,5792,437842,1.2206012999985695e+06
31/12/2024,1.5398618778054363e+08,27666,6719,425887,1.334313086645978e+06
30/12/2024,1.200053164574141e+08,26597,4800,452498,1.1321457761434228e+06
29/12/2024,1.447970779262812e+08,24690,4112,456482,1.3391306678764226e+06
28/12/2024,1.0508450098502405e+08,22629,2494,442095,1.0006866392764064e+06
27/12/2024,1.1466061151829952e+08,23669,2558,505906,1.1013163261232665e+06
26/12/2024,1.474922454688648e+08,24395,3675,514487,1.368595857739498e+06
25/12/2024,7.305141168001354e+07,19836,1979,308896,695391.3693032704
24/12/2024,8.192880323370521e+07,23761,3773,370474,735611.6230840306
23/12/2024,1.1094303748609884e+08,25743,4509,463286,1.0153391811286657e+06
22/12/2024,1.1819768136228745e+08,24700,4172,477662,1.07681852184448e+06
21/12/2024,1.6189270414060324e+08,25914,4074,501008,1.5267272452853904e+06
20/12/2024,1.9977301077490252e+08,27304,3837,542515,1.9005911177630574e+06
19/12/2024,1.6653294773182103e+08,27869,4583,503449,1.6053651951388288e+06
18/12/2024,1.749311758793566e+08,28206,4555,495606,1.7105388137676013e+06
17/12/2024,1.999125349526288e+08,30397,5177,462318,1.9420962689218847e+06
16/12/2024,1.3946318685393324e+08,27342,4869,469982,1.3460777342716607e+06
15/12/2024,1.0050025365872657e+08,23596,3656,399397,980848.0822202091
14/12/2024,1.6399705145668828e+08,25980,3720,493874,1.617152160680102e+06
13/12/2024,2.0243410387960503e+08,29943,5305,594457,1.9632419098448034e+06
12/12/2024,1.9695364403215817e+08,30490,4791,593112,1.8968097615491848e+06
11/12/2024,1.9441706132255474e+08,30618,5049,600481,1.8891279476673312e+06
10/12/2024,1.7067853549651623e+08,29849,4557,544752,1.6782620077236996e+06
09/12/2024,1.4113950874349055e+08,27773,3819,469082,1.3501685645199746e+06
08/12/2024,1.0332523882652088e+08,24073,2822,392356,999130.348372521
07/12/2024,1.0518412149843465e+08,24248,3211,372459,1.0387960822766313e+06
06/12/2024,1.3068248414214039e+08,26371,3277,432070,1.2555322653461704e+06
05/12/2024,1.389764875693024e+08,28303,3834,467280,1.3307447833337644e+06
04/12/2024,1.4338805114373174e+08,28066,3571,445219,1.405312484503212e+06
03/12/2024,1.54414829753353e+08,28889,3391,504483,1.4968785351927674e+06
02/12/2024,1.644498226257277e+08,29094,3380,506450,1.6065966902199108e+06
01/12/2024,1.456267772989408e+08,27923,3457,489458,1.422370624537426e+06
30/11/2024,1.2523114964207721e+08,28632,3807,477755,1.1945675746759062e+06
29/11/2024,1.6599894506992927e+08,30202,3951,535010,1.629159871915867e+06
28/11/2024,1.9443664456242147e+08,32810,4463,608513,1.8994793187212634e+06
27/11/2024,2.3094538996456712e+08,34455,4766,671619,2.2692412120192396e+06
26/11/2024,2.051423383473136e+08,33610,5297,641620,2.0128542862793494e+06
25/11/2024,2.3140323166852608e+08,35321,5967,608771,2.2232465362740373e+06
24/11/2024,2.0886156892261147e+08,32735,4975,580179,2.0305054677940225e+06
23/11/2024,2.757541242036891e+08,35286,5430,648412,2.724048490013275e+06
22/11/2024,3.589520538821393e+08,40965,6922,821399,3.5745448364674347e+06
21/11/2024,3.871192348900879e+08,49665,14460,835302,3.867862230479822e+06
20/11/2024,4.440757539677226e+08,42078,10226,1.038866e+06,4.439065674456916e+06
19/11/2024,3.5767412870600957e+08,33316,4853,752815,3.5295179866873096e+06
18/11/2024,3.3569585685817844e+08,32727,4911,801450,3.351656579702764e+06
17/11/2024,3.324508659330457e+08,29425,4022,747047,3.312875107773716e+06
16/11/2024,2.1635807924270386e+08,27853,3934,586109,2.158283033124591e+06
15/11/2024,3.126977134615274e+08,30265,4405,749094,3.1313246582133286e+06
14/11/2024,3.2078187355706125e+08,30367,5086,724200,3.2054769902909626e+06
13/11/2024,2.6360266928212103e+08,25900,3232,604124,2.6422124655684847e+06
12/11/2024,2.053229589685117e+08,24358,3713,538742,2.048413947172392e+06
11/11/2024,2.248568823606522e+08,23141,3328,518430,2.228245069094598e+06
10/11/2024,1.4546645737032297e+08,18240,2348,419901,1.4331146421190535e+06
09/11/2024,1.0344254270967565e+08,16702,2100,349800,1.0308369572305909e+06
08/11/2024,1.6408189999561623e+08,19168,2491,461987,1.6383319803208883e+06
07/11/2024,1.4301437513382512e+08,19373,2785,430363,1.421485602344603e+06
06/11/2024,1.369988754768737e+08,19705,2229,462505,1.3563168506780332e+06
05/11/2024,7.978065088649641e+07,17046,2267,325699,777233.7422990812
04/11/2024,8.186430097846568e+07,15975,1769,345430,810559.2932488829
03/11/2024,9.75753456600445e+07,14668,1363,322329,975135.8832293205
02/11/2024,9.272441183156285e+07,15286,1861,302209,906496.9623895675
01/11/2024,7.957398668521477e+07,15351,1627,326954,779999.1481809795
31/10/2024,1.0394360064408834e+08,17834,3288,368415,1.0088635403728681e+06
30/10/2024,1.154222345951801e+08,17850,2294,402862,1.114099486959658e+06
29/10/2024,1.4740042226344886e+08,18973,2642,463744,1.4551744316100597e+06
28/10/2024,1.1839279530298968e+08,17117,2514,385965,1.16498742007559e+06
27/10/2024,1.0754878616080713e+08,16051,2628,352408,1.0377396127999331e+06
26/10/2024,8.912377805225168e+07,15272,1817,325870,862200.4145625817
25/10/2024,1.3013416609142083e+08,18531,3217,405341,1.268438015932013e+06
24/10/2024,2.4033729727074355e+08,19640,3108,540395,2.3920225590115897e+06
23/10/2024,1.9393517398828098e+08,17908,2437,492312,1.930767423846147e+06
22/10/2024,1.6880169344447318e+08,17592,2421,492466,1.6764947077633224e+06
21/10/2024,1.6484168516519633e+08,17147,2383,449782,1.6312061769677487e+06
20/10/2024,1.0559748922229926e+08,16118,2966,374035,1.0420672255642887e+06
19/10/2024,1.6502385264957035e+08,17685,3579,471850,1.636412055362407e+06
18/10/2024,1.0805901006041777e+08,15515,1957,385245,1.0810339705426726e+06
17/10/2024,1.0577744673768428e+08,15421,1757,380359,1.0621729255182021e+06
16/10/2024,1.1438578829241161e+08,15319,1476,406074,1.1493242311444923e+06
15/10/2024,9.253349114357825e+07,14585,1400,368233,929869.6886274719
14/10/2024,1.1366949706889729e+08,15085,1579,389185,1.1419586556944188e+06
13/10/2024,7.881183721959166e+07,12609,1137,306478,791779.8480613045
12/10/2024,5.470250796908502e+07,11799,1073,266228,548716.0175084983
11/10/2024,6.170381566596519e+07,12055,831,264528,619823.938762766
10/10/2024,4.766708104930966e+07,11346,820,246876,479747.4634972219
09/10/2024,6.6244006822410464e+07,12364,911,282674,666130.5970309763
08/10/2024,6.1585323000563644e+07,11390,745,251980,619387.9392804862
07/10/2024,5.875819947436345e+07,11421,828,271595,591371.6672682238
06/10/2024,4.555590399557363e+07,10048,729,252273,458293.78665971593
05/10/2024,7.033281970459996e+07,10750,804,294284,707307.0025530721
04/10/2024,5.610038494704683e+07,10802,728,272354,564598.5299553265
03/10/2024,5.296468465164426e+07,11028,861,296672,532245.839029652
02/10/2024,7.192608237340653e+07,11412,838,311680,722798.132508163
01/10/2024,4.8889695709258914e+07,10978,840,240596,490779.8154488277
30/09/2024,6.26671240049492e+07,11104,841,283288,628598.5625839971
29/09/2024,6.98975896614097e+07,10927,888,287797,701643.145565217
28/09/2024,6.598873495361364e+07,10653,761,289295,663587.783842028
27/09/2024,7.620938931009832e+07,11824,910,311097,765935.1557026745
26/09/2024,6.554128570220287e+07,10851,991,292812,658493.1163850208
25/09/2024,3.699037102305532e+07,9125,779,191751,371599.1447843328
24/09/2024,3.0978139591868885e+07,8186,738,176656,310752.7263620391
23/09/2024,2.206062171139289e+07,7742,829,162787,219780.13355583174
22/09/2024,1.9823933600641776e+07,6990,645,134795,198421.39714182305
21/09/2024,1.725713367639608e+07,6802,705,116208,171138.2676838836
20/09/2024,1.8547686080192532e+07,7078,594,115183,185955.69560097312
19/09/2024,2.098056440769195e+07,7266,619,131009,210532.2074489173
18/09/2024,1.736895048597932e+07,6430,475,116970,174287.09514476708
17/09/2024,1.6798705238063525e+07,6718,642,118973,167931.64964060186
16/09/2024,1.1841567079244817e+07,6371,801,96117,117238.17113721484
15/09/2024,1.7788377978838846e+07,6072,627,108280,177263.47741099488
14/09/2024,9.190966816674307e+06,5758,666,85362,89625.4906122104
13/09/2024,1.569468160623283e+07,6961,766,105806,156010.02651034508
12/09/2024,1.6959273778831154e+07,6788,653,127907,167574.33800234695
11/09/2024,1.3431983688340273e+07,6829,624,133661,132308.64051962658
10/09/2024,1.4422063495429121e+07,6998,810,173579,142328.70747171275
09/09/2024,1.4917280849712564e+07,6805,788,145135,147343.25977363964
08/09/2024,9.183658839322673e+06,5600,671,120986,90070.16664613505
07/09/2024,7.48535043607876e+06,5203,392,82894,73474.26651452914
06/09/2024,1.1894626957500145e+07,6364,706,121232,116791.49978756878
05/09/2024,1.4101261557160798e+07,6724,717,120636,137009.47444182512
04/09/2024,1.6382712776044749e+07,7034,781,134719,162938.53507540206
03/09/2024,1.8943917146471474e+07,7242,755,158179,189345.28236339064
02/09/2024,1.4841093295769885e+07,6553,706,146517,148167.12596085397
01/09/2024,1.3306601152623758e+07,5946,552,128593,133124.88898668738
31/08/2024,1.1256329195411345e+07,5924,653,120150,111980.13016688733
30/08/2024,1.3569092007396607e+07,6623,770,113129,134091.51011458485
29/08/2024,2.1526968330881663e+07,7675,908,142815,211783.8958336692
28/08/2024,1.853728946342474e+07,7249,663,133217,185164.19894116267
27/08/2024,2.1160293553587317e+07,7611,684,134249,210376.78720267117
26/08/2024,2.4605656548728924e+07,7597,785,137720,245849.9201647693
25/08/2024,1.5467205970132703e+07,6504,503,109979,154873.50836767448
24/08/2024,1.9982642283843737e+07,7154,571,129007,200219.37011293456
23/08/2024,2.418538777170173e+07,7554,536,147818,241720.025584128
22/08/2024,1.9108186875888404e+07,7063,448,121223,192363.39723780932
21/08/2024,2.383296945530948e+07,7419,431,125168,239796.5736757961
20/08/2024,2.1141450278964963e+07,7938,528,130820,212703.7495722749
19/08/2024,2.847998284482615e+07,8858,590,184530,286838.8004088256
18/08/2024,3.1896480424955886e+07,8245,574,189688,321149.7084977359
17/08/2024,2.1087387527786303e+07,7740,572,167525,212281.3123504445
16/08/2024,2.3687281161707934e+07,8722,606,168518,238162.3643675626
15/08/2024,3.348074378235921e+07,9878,942,207116,332578.36169863684
14/08/2024,4.06830950212969e+07,10235,809,238424,406549.5249650766
13/08/2024,4.977625475270784e+07,11330,915,265588,500086.0521695189
12/08/2024,4.5631809369763434e+07,10367,732,241703,460169.6460704874
11/08/2024,3.2981528504937403e+07,9051,595,193190,332204.95799352846
10/08/2024,4.86639477684829e+07,9804,636,237810,490226.63032643625
09/08/2024,6.148510613958104e+07,10672,727,250746,619217.653942932
08/08/2024,1.0486978473769452e+08,12009,951,298597,1.0573422939153702e+06
07/08/2024,6.441562417554617e+07,11615,863,312629,649278.43173202
06/08/2024,6.280169305629853e+07,11581,888,305510,632877.0791748245
05/08/2024,3.948227876906991e+07,10340,599,216537,397700.61234046763
04/08/2024,3.138823023889397e+07,9213,545,191993,316085.8887731743
03/08/2024,3.325301899595812e+07,9958,680,194301,334807.27528514003
02/08/2024,5.241578322261878e+07,11526,796,256799,527595.371381449
01/08/2024,6.61224214745765e+07,12467,949,259589,665568.0429654191
31/07/2024,9.726755643873963e+07,13881,1159,338994,979146.3752302293
30/07/2024,9.043677478546984e+07,13566,1136,310314,910436.5826523213
29/07/2024,8.345779607154606e+07,13261,1083,289591,840187.5231953391
28/07/2024,1.4592378028890097e+08,12804,1062,286782,1.4673419825528031e+06
27/07/2024,9.732612942098917e+07,12715,1058,268525,979000.110389871
26/07/2024,5.874631303583028e+07,12140,914,240105,591703.0595346938
25/07/2024,4.69712891385054e+07,11452,810,209485,473285.2499495571
24/07/2024,5.5131846135008305e+07,11875,850,227241,555393.7539377691
23/07/2024,6.787674931839117e+07,12240,879,243235,683087.4095389227
22/07/2024,5.714002061452124e+07,12140,941,231541,575420.5344941913
21/07/2024,6.001419651418009e+07,12021,860,242341,604400.8122185091
20/07/2024,3.956926497102157e+07,10207,785,192175,398850.33412544813
19/07/2024,4.7717560010136686e+07,11238,853,225404,480426.9332720479
18/07/2024,4.26454618213247e+07,11112,921,221570,429724.91235886415
17/07/2024,5.437399595052778e+07,11730,862,249711,548045.3556733932
16/07/2024,5.741766787271806e+07,11938,985,265171,578169.7065987485
15/07/2024,6.933008356201266e+07,12296,990,301310,697051.1591469244
14/07/2024,5.425188908980319e+07,11516,933,248647,545726.3685926896
13/07/2024,4.6517195655311376e+07,11305,918,250002,467454.2031539027
12/07/2024,4.222617782429747e+07,10961,848,241017,424265.1837843011
11/07/2024,3.950502212557316e+07,11148,877,225010,397026.2045634862
10/07/2024,3.845799176843482e+07,10749,905,210355,386520.4951908532
09/07/2024,3.9947387843004115e+07,11300,967,219053,401506.6790166187
08/07/2024,4.146310742280195e+07,11113,833,210948,416672.9390048624
07/07/2024,3.75329315878399e+07,10295,713,213413,376986.2959317035
06/07/2024,3.638792782990918e+07,10515,851,223111,365749.25754608156
05/07/2024,3.3544155113548145e+07,10191,667,217547,337089.86938848684
04/07/2024,3.401516567842489e+07,10774,790,204122,341888.47061110823
03/07/2024,4.265465120516065e+07,12232,882,220985,428391.99492692814
02/07/2024,4.682298337037912e+07,12681,1002,218553,470461.93882568215
01/07/2024,6.6865118522619404e+07,12633,961,256042,671261.2950329271
30/06/2024,3.810260483976789e+07,11199,881,209935,382863.0962459743
29/06/2024,3.5923698816306196e+07,11105,760,215317,360935.486571273
28/06/2024,6.260450836100928e+07,13373,1000,277621,628772.6310329514
27/06/2024,6.5221789057461284e+07,13810,1015,274925,654809.7150873151
26/06/2024,6.808569909625953e+07,13505,1138,269023,684028.1944343814
25/06/2024,4.30943860990969e+07,12282,881,233173,432742.96046236914
24/06/2024,5.168396266707714e+07,12399,886,229713,519231.1441294657
23/06/2024,3.466748899784164e+07,11403,896,209611,348545.0742226324
22/06/2024,3.549149791690798e+07,12080,972,235350,356701.21281364973
21/06/2024,5.209893754570825e+07,14112,1179,287414,523684.0422536455
20/06/2024,6.898156202471067e+07,15002,1272,320225,693347.580099562
19/06/2024,6.011704253850732e+07,15671,1401,334640,604287.906707348
18/06/2024,6.180203046086991e+07,16333,1327,307301,621173.4941773022
17/06/2024,8.071933453333704e+07,17207,1486,351206,811159.2573631284
16/06/2024,3.720816230376185e+07,13443,1233,232593,374257.4291826798
15/06/2024,3.362595475648168e+07,13491,1143,214252,338211.2286802365
14/06/2024,5.5461721340299815e+07,16405,1546,272219,557671.8306873097
