formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
10/06/2025,340573.11788743286,445,48,2429,3442.962736954129
09/06/2025,2.2366238534792988e+06,1807,463,16270,22649.416279085028
08/06/2025,1.5791708178904639e+06,1311,215,11965,15771.936576354894
07/06/2025,1.7255836140741801e+06,1326,137,13269,17192.37689155338
06/06/2025,2.4054233295473913e+06,1573,294,16657,23401.322713160196
05/06/2025,2.7344009282781654e+06,1873,411,19910,26891.460409459356
04/06/2025,2.236173244877955e+06,1817,444,16224,22102.619900436406
03/06/2025,2.483278703771108e+06,2023,545,17759,24167.962947227632
02/06/2025,2.1772925288611315e+06,1872,507,16846,21676.68420466103
01/06/2025,2.0257076299357037e+06,1547,250,15468,20384.616571296792
31/05/2025,2.119333609021768e+06,1689,347,15271,21428.659513848204
30/05/2025,2.107355797606886e+06,1746,284,14897,21419.705204491635
29/05/2025,2.143319177937418e+06,1765,397,13864,21438.327896050836
28/05/2025,2.245596883063064e+06,2003,474,14397,21903.883939241106
27/05/2025,2.714390981070613e+06,2208,693,16717,27006.690398809074
26/05/2025,2.7639575703103975e+06,1975,449,17145,27052.639896315974
25/05/2025,2.5671061684218487e+06,1606,302,14495,25127.259252914308
24/05/2025,2.4552573294382878e+06,1831,538,14541,23450.543551272527
23/05/2025,3.2513491404548716e+06,1996,507,18564,31824.285242810703
22/05/2025,3.079383527759298e+06,2366,612,18929,30106.95074493282
21/05/2025,3.2303446242193496e+06,2209,576,18091,32231.97576487785
20/05/2025,3.2812105379011375e+06,2275,570,19915,32563.68958265308
19/05/2025,3.263491163718276e+06,2149,533,19759,32048.440982490883
18/05/2025,3.196882205109412e+06,1848,473,17415,31367.02626995877
17/05/2025,3.653392772275063e+06,2080,427,19910,35050.11776336339
16/05/2025,3.964241825764593e+06,2403,648,20036,38685.81472192529
15/05/2025,4.331575103422742e+06,2404,673,20367,42304.25994995374
14/05/2025,5.533733275468237e+06,2530,651,24124,53476.042786622675
13/05/2025,5.269387138940893e+06,2605,581,23944,48306.305030835996
12/05/2025,3.807529778148377e+06,2588,661,21686,34228.68916051859
11/05/2025,2.900430365621807e+06,2023,511,17325,28261.4156953613
10/05/2025,2.605606243746635e+06,1861,399,17068,25687.126959862904
09/05/2025,3.6043712370428685e+06,2457,695,21255,35322.263152063446
08/05/2025,3.8853172774486956e+06,2511,677,22583,38847.473833454176
07/05/2025,3.3953828389839907e+06,2135,458,22051,32937.15043113661
06/05/2025,3.658884314161347e+06,2221,460,20708,33003.74631121906
05/05/2025,2.666265027519466e+06,2430,867,18871,25875.950371902818
04/05/2025,1.7283423569299178e+06,1594,207,10565,16879.949366981473
03/05/2025,2.3197704355302397e+06,2035,534,11338,23354.836287830207
02/05/2025,2.533121404473419e+06,1789,271,14592,22469.998818131262
01/05/2025,2.5211085475154095e+06,2247,744,16077,25175.910043458345
30/04/2025,2.0830200490879035e+06,1676,257,12771,19159.69652650669
29/04/2025,2.3829011972798193e+06,1703,387,13382,21504.596524922246
28/04/2025,2.6836189642603896e+06,2215,746,15645,24242.70876245965
27/04/2025,1.7214311302047914e+06,1451,313,10323,15663.294933910132
26/04/2025,1.9806406356855833e+06,1537,298,11228,19544.056957985416
25/04/2025,2.594633132234559e+06,1757,346,12841,25413.23844523379
24/04/2025,2.6379813958088085e+06,1691,319,11719,26206.337260778106
23/04/2025,2.9507951487309188e+06,2096,610,15979,29380.875677491396
22/04/2025,1.9780592500442641e+06,1530,314,10391,19302.6750544093
21/04/2025,2.0327884770980242e+06,1622,274,12133,20310.486955396824
20/04/2025,1.49867528088891e+06,1090,86,8664,14729.342051936506
19/04/2025,1.4849265712477714e+06,1260,189,9291,14704.574545463505
18/04/2025,1.694142988193395e+06,1464,398,10375,16545.777175121697
