formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
19/05/2025,5.344106988523774e+06,6806,1427,45183,43422.32067142064
18/05/2025,2.5047744544026338e+07,22677,6430,221324,213625.440759911
17/05/2025,2.9233122887758486e+07,27395,8466,248623,242325.20666556506
16/05/2025,3.697359813203661e+07,25441,6062,277707,272269.1921813588
15/05/2025,4.562079837282714e+07,28778,9315,290508,359491.93544833077
14/05/2025,5.784920649010988e+07,27602,7006,321053,460572.94244265265
13/05/2025,5.3262656885311805e+07,20188,3215,267802,463336.70814741956
12/05/2025,3.736830689759057e+07,22339,3275,243649,290574.32946394436
11/05/2025,3.756343034659484e+07,21849,5009,218957,193219.69565894172
10/05/2025,3.508690968944854e+07,24040,4261,229008,198940.27950574187
09/05/2025,4.36585951729127e+07,21645,4519,265143,224611.98538125827
08/05/2025,3.924354409765235e+07,28770,5676,292544,250261.31789307756
07/05/2025,3.26446142118704e+07,27275,6615,300812,201833.41034991675
06/05/2025,3.3109364941880126e+07,25648,9886,296426,233060.11378492083
05/05/2025,3.588237582013312e+07,25702,6836,297399,192728.51050412373
04/05/2025,3.953802067250304e+07,31123,9740,333265,200157.3925566567
03/05/2025,4.714827648404046e+07,28013,8600,366338,236956.5121348589
02/05/2025,3.3331766103162955e+07,28196,8242,298859,237697.22913736128
01/05/2025,3.9162947379706055e+07,31706,9148,301914,310550.1227986963
30/04/2025,3.836334507719773e+07,29343,9076,320752,253194.22499112797
29/04/2025,3.293107252077679e+07,28786,12396,270275,248212.21741218556
28/04/2025,2.9028960159193266e+07,26187,9405,244003,221258.97660103027
27/04/2025,2.4524707823817227e+07,21101,5262,216744,201592.8831961656
26/04/2025,2.9349726886810992e+07,20337,2320,229019,219164.72492515622
25/04/2025,3.388086360151082e+07,24075,4291,261701,252454.9332376768
24/04/2025,2.742416926665217e+07,22420,4017,232146,226228.16477687238
23/04/2025,3.712447459170291e+07,26684,3468,283419,236977.24203916965
22/04/2025,2.8522107295177225e+07,25562,4534,256685,195868.19207359842
21/04/2025,2.76088479919995e+07,22081,4269,255423,188107.70120959237
20/04/2025,2.4935794950672414e+07,20978,3115,219395,145590.87790603485
19/04/2025,2.648513622984224e+07,20704,3644,236554,158020.18406920377
18/04/2025,2.2459198066672664e+07,19606,2637,218810,162122.73743706167
17/04/2025,2.5600469963019155e+07,23005,4797,268702,195115.8655821349
16/04/2025,2.923651670817328e+07,23167,3403,285758,220118.67176495222
15/04/2025,3.0472834225276724e+07,24944,5666,297863,218092.2615989193
14/04/2025,2.334821799438996e+07,22231,4895,257713,199073.8338537766
13/04/2025,2.015219862917442e+07,21939,7561,241998,169348.95606283483
12/04/2025,2.3906920467565186e+07,22733,8172,264926,195570.40390025935
11/04/2025,2.531795864502753e+07,24896,4587,265518,174446.15798863894
10/04/2025,2.56884922664169e+07,25455,5362,273281,168864.42149428636
09/04/2025,3.0408988759244222e+07,28394,5477,323351,190814.99421147446
08/04/2025,2.889083396365545e+07,27728,7219,305691,157062.61721776595
07/04/2025,2.4688222398688696e+07,23901,5061,255752,137555.53522924063
06/04/2025,2.3609260074329127e+07,22430,4543,238649,129030.66227676996
05/04/2025,1.9077899659117326e+07,21342,3183,223390,138373.63853380005
04/04/2025,2.3943847957604863e+07,22045,2892,229386,137368.75598680833
03/04/2025,1.879182956907539e+07,21396,2483,221260,138625.17123081893
02/04/2025,2.5508002298727676e+07,25149,4253,266509,172147.25282352924
01/04/2025,2.5134591353977825e+07,28323,7094,265856,176725.5921799477
31/03/2025,2.4086096204849046e+07,26708,6260,247776,157105.62435989326
30/03/2025,1.8343863907217287e+07,23663,6370,228721,125118.43177231144
29/03/2025,2.0783050718040243e+07,26020,7510,247874,158496.02141151138
28/03/2025,2.6185597776310842e+07,26630,4583,270926,192237.96753327327
27/03/2025,2.5175535304718792e+07,24998,3753,270843,180603.95669885588
26/03/2025,2.5275567631130967e+07,23614,4131,262635,198811.97294368636
25/03/2025,3.6619983879247904e+07,29759,10108,319926,193634.23287599187
24/03/2025,3.474017162827776e+07,28755,5247,317110,204704.29211037254
23/03/2025,2.1806718135984413e+07,24878,4237,258042,142958.5904914772
22/03/2025,1.1680353024692409e+07,18569,4251,162139,95161.41014291419
21/03/2025,1.0063930387117825e+07,15928,3595,136517,87220.0669408366
20/03/2025,3.368442017840351e+07,25327,2701,224392,114506.1417397239
19/03/2025,3.445938969445289e+07,26316,2616,220190,123469.57390946918
18/03/2025,3.903180155077462e+07,27310,4211,260695,114998.45136530841
17/03/2025,2.596627235083824e+07,28535,6105,240709,148978.095648852
16/03/2025,1.9061326261886284e+07,20881,4562,197781,116694.74725992575
15/03/2025,2.6176881423532423e+07,21907,4878,231882,163493.84670780657
14/03/2025,2.785106637435108e+07,21184,2174,228720,138978.48531243968
13/03/2025,3.031273232011757e+07,19667,1660,223405,137850.1569132536
12/03/2025,3.7212489279011205e+07,22251,4338,226824,133402.3754005286
11/03/2025,5.084427433004956e+07,20078,3013,235844,113563.34433759886
