formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
21/05/2025,180074.0008087982,437,4,3783,1819.0872043424688
20/05/2025,1.6124918043910316e+06,1370,32,28754,16246.202625881951
19/05/2025,1.352848240066484e+06,1300,35,25552,13624.194330128528
18/05/2025,1.1958511207846953e+06,1281,34,23217,12065.493519624224
17/05/2025,1.5590721167760184e+06,1369,57,26201,15755.610194654026
16/05/2025,1.7526144807269992e+06,1448,43,29233,17736.307210410338
15/05/2025,1.6913710958837352e+06,1540,53,27251,17034.093627611164
14/05/2025,2.0739773016257966e+06,1695,67,30588,21078.77442422826
13/05/2025,2.264222520473225e+06,1753,64,29049,22798.95129626475
12/05/2025,2.594545900578396e+06,1776,74,33295,26155.94756789465
11/05/2025,1.6038630462833277e+06,1662,81,26561,16574.154673279107
10/05/2025,1.499417002862263e+06,1527,32,25323,15137.12572719608
09/05/2025,1.8966488083368277e+06,1686,44,35223,19209.50407684824
08/05/2025,1.737859172779598e+06,1526,35,33723,17542.821989496806
07/05/2025,1.7545977939486788e+06,1426,48,30888,17677.064271249026
06/05/2025,2.018120239654693e+06,1437,56,30456,20462.22197585995
05/05/2025,1.6694626174718125e+06,1419,51,29255,16930.322921206043
04/05/2025,1.5232570064501183e+06,1346,49,26363,15376.396600504335
03/05/2025,1.6986763308842282e+06,1331,37,26769,17335.705828673592
02/05/2025,1.7941027351387714e+06,1376,44,29668,18440.344598081843
01/05/2025,2.3458542910688566e+06,1492,53,32691,23660.754341564683
30/04/2025,2.0217061004136994e+06,1386,47,29083,20464.621753411964
29/04/2025,1.65126464960384e+06,1238,40,25112,17201.5445595037
28/04/2025,1.5284276629967268e+06,1295,48,22558,16157.150401549547
27/04/2025,1.264047873545963e+06,1154,41,23808,12856.025532805352
26/04/2025,1.428212566378892e+06,1214,47,24006,14619.255923718454
25/04/2025,1.2841257586393924e+06,1174,34,21436,12951.225702187443
24/04/2025,1.1886544854377743e+06,1191,33,21034,12044.28622284338
23/04/2025,1.4510685235011305e+06,1234,40,25745,14616.743157784204
22/04/2025,1.2344506313638173e+06,1208,46,23814,12447.583207580294
21/04/2025,1.2116291593954267e+06,1219,64,24224,12206.354746440833
20/04/2025,1.2730747157280452e+06,1075,43,20387,12821.63882885493
19/04/2025,1.1575915669684964e+06,1072,29,22070,11672.00930734055
18/04/2025,1.3026205845329675e+06,1095,36,25664,13131.21832808027
17/04/2025,1.399236863346381e+06,1168,39,29495,14162.475311331153
16/04/2025,1.5285227375191525e+06,1185,26,28789,15447.394915167557
15/04/2025,1.8725103844718982e+06,1221,30,33923,18947.87732165046
14/04/2025,1.6367234815852656e+06,1139,39,27344,16584.510554901743
13/04/2025,1.445229210457072e+06,1086,44,26566,14574.009191501847
12/04/2025,1.6942960664061636e+06,1111,29,28752,17083.802589652027
11/04/2025,1.5778609333510057e+06,1173,45,31373,15905.435938933004
10/04/2025,1.3197204439045587e+06,1159,48,28894,13324.623087629936
09/04/2025,1.3757128415681915e+06,1130,38,28766,13835.629587651174
08/04/2025,1.413016386437436e+06,1046,25,27113,14242.122442340245
07/04/2025,1.2724013621857087e+06,1005,31,25654,12816.769257704704
06/04/2025,1.199483191916951e+06,979,19,23945,12057.377011395041
05/04/2025,1.104721927678196e+06,945,17,21364,11151.316506742081
