formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
19/06/2025,5.9438197548638545e+06,6460,248,54679,60627.99047655793
18/06/2025,1.06052390195855e+08,37717,7682,1.138962e+06,1.0621442265368318e+06
17/06/2025,9.856745767147155e+07,38854,8147,1.135357e+06,977483.3176421068
16/06/2025,1.4403143046462512e+08,43115,9811,1.379963e+06,1.4326286433936318e+06
15/06/2025,8.172749724534714e+07,33157,5591,967514,813324.5915600103
14/06/2025,8.04555573090339e+07,34673,6788,972122,802946.9772869113
13/06/2025,1.0026834229997581e+08,37735,6997,1.060624e+06,998511.5782507668
12/06/2025,1.107272365348953e+08,40304,8173,1.124246e+06,1.096870850175669e+06
11/06/2025,1.1431768003742881e+08,39979,7138,1.119519e+06,1.138665619639789e+06
10/06/2025,1.2444730276857494e+08,41661,8600,1.254643e+06,1.2382186987565279e+06
09/06/2025,1.272694868694781e+08,39774,7099,1.17719e+06,1.2732099159341566e+06
08/06/2025,8.334265174062335e+07,33566,5796,969159,831078.2332114573
07/06/2025,8.777844376607828e+07,34228,5626,976042,875003.402388012
06/06/2025,1.2608050942100108e+08,39837,7857,1.276748e+06,1.2546633423729762e+06
05/06/2025,1.661717107689386e+08,42451,6988,1.716011e+06,1.667682484881727e+06
04/06/2025,1.0275482981240365e+08,39073,6759,1.377553e+06,1.0241007060401317e+06
03/06/2025,1.2312965816141713e+08,43303,9223,1.439977e+06,1.2286954285805267e+06
02/06/2025,1.2266724410176918e+08,39812,6846,1.490447e+06,1.2259210799623237e+06
01/06/2025,9.789001375550777e+07,35705,6137,1.214739e+06,977398.6024956922
31/05/2025,9.02859080661973e+07,33747,4603,1.049691e+06,902509.298527559
30/05/2025,1.020176661334779e+08,38224,6944,1.146657e+06,1.0136738383403466e+06
29/05/2025,1.1865152569233462e+08,39989,7040,1.183759e+06,1.1815365913831044e+06
28/05/2025,1.2644177901812947e+08,41720,8045,1.230541e+06,1.2597797948160993e+06
27/05/2025,1.5134325290084082e+08,41972,7336,1.299941e+06,1.5108946280092027e+06
26/05/2025,1.4321253876942328e+08,41637,7679,1.284859e+06,1.426276114705379e+06
25/05/2025,1.1130051422369005e+08,36233,5836,1.092076e+06,1.1089185034050515e+06
24/05/2025,1.0875951610862064e+08,35970,5527,1.00245e+06,1.0847961984871058e+06
23/05/2025,1.88116088299728e+08,41940,6688,1.354477e+06,1.8816782422722336e+06
22/05/2025,2.1357362626651514e+08,44523,7573,1.448196e+06,2.135573424256998e+06
21/05/2025,1.925069404775497e+08,43445,6929,1.377724e+06,1.9256363003400478e+06
20/05/2025,2.0536567470814863e+08,43844,7331,1.524607e+06,2.0514856329872136e+06
19/05/2025,1.7906879988597247e+08,43330,7854,1.425582e+06,1.779437218835458e+06
18/05/2025,1.732209005777977e+08,39413,6306,1.39537e+06,1.7290584594940906e+06
17/05/2025,1.93604406228356e+08,42216,8392,1.523187e+06,1.9055868067655766e+06
16/05/2025,2.2448064300848627e+08,42859,6705,1.468438e+06,2.238733506325907e+06
15/05/2025,3.0288656825789374e+08,45870,7897,1.557381e+06,3.032333291491027e+06
14/05/2025,4.233624406081005e+08,48163,8448,1.991814e+06,4.222913161061028e+06
13/05/2025,3.8706168299803025e+08,46539,7734,1.979796e+06,3.9292310305424905e+06
12/05/2025,2.4962872958145466e+08,42756,6476,1.766144e+06,2.3951107068621833e+06
11/05/2025,1.5576231963534313e+08,36682,5148,1.313588e+06,1.5196611125925514e+06
10/05/2025,1.4286861624560058e+08,35099,4256,1.228323e+06,1.4166867691768294e+06
09/05/2025,1.7153976028279516e+08,38767,5301,1.509902e+06,1.7237778794555077e+06
08/05/2025,2.0716642765455356e+08,41719,5969,1.723981e+06,2.0854317663850565e+06
07/05/2025,1.746576538878134e+08,39211,5799,1.612693e+06,1.7596066725385739e+06
06/05/2025,1.726483299508379e+08,38704,5337,1.521054e+06,1.73582219381308e+06
05/05/2025,1.4502974567280927e+08,36683,5300,1.40771e+06,1.457342704232035e+06
04/05/2025,1.4691763239304826e+08,33619,3670,1.302634e+06,1.4799853272185067e+06
03/05/2025,1.6298523269820783e+08,34144,4252,1.391733e+06,1.6414676862211474e+06
02/05/2025,1.852105718500082e+08,36090,4775,1.625573e+06,1.8669532703615269e+06
01/05/2025,2.318090888963829e+08,37633,5455,1.684989e+06,2.331796044685087e+06
30/04/2025,1.7180266149426672e+08,35373,5005,1.550146e+06,1.730236780418768e+06
29/04/2025,1.9159000376675525e+08,35418,5117,1.544258e+06,1.93837037718289e+06
