formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
09/04/2024,1.7946943655971088e+06,1582,1582,8456,18130.10646947869
10/04/2024,4.398713435985491e+06,2493,1394,22688,44431.446520028454
11/04/2024,4.668174801288234e+06,2462,770,21130,47153.312076237715
12/04/2024,3.7050120506856535e+06,2206,460,18918,37422.40427558331
13/04/2024,2.966317862462369e+06,1926,323,16570,30092.031203633214
14/04/2024,2.1315874403893054e+06,1730,252,15062,21531.155468165784
15/04/2024,2.925560434882868e+06,2113,381,18296,29551.038631955922
16/04/2024,2.6515196274123685e+06,2070,359,18095,26863.628978212382
17/04/2024,2.3665444814434918e+06,1874,238,17924,23970.969341717366
18/04/2024,1.9848648185040122e+06,1969,301,16684,20048.691691944034
19/04/2024,2.1200539022786627e+06,1961,282,15556,21414.78504605522
20/04/2024,2.115445394832525e+06,1791,223,14659,21368.116232103584
21/04/2024,2.22593091003585e+06,1749,231,14845,22484.171879188296
22/04/2024,5.1667610167949805e+06,2153,311,17407,52189.51343135321
23/04/2024,5.254687941077188e+06,2360,311,18666,53077.77681738153
24/04/2024,5.552645267796439e+06,2417,332,21186,56087.3347239406
25/04/2024,3.9715939781327792e+06,2181,287,17314,40117.15322260834
26/04/2024,3.2889759221898275e+06,2017,213,14452,33221.97706495716
27/04/2024,1.8916928863743101e+06,1664,144,12181,19108.0501615694
28/04/2024,2.5183923541682265e+06,1676,162,12978,25438.524924500198
29/04/2024,3.7995786460747323e+06,1944,196,15006,38379.64860407865
30/04/2024,2.3657032769759507e+06,1666,138,11348,23895.992569266644
01/05/2024,2.1060018443444693e+06,1521,124,12313,21272.707219704058
02/05/2024,2.6227874467418767e+06,1841,175,13970,26492.984644632856
03/05/2024,3.513984634375773e+06,1945,190,16792,35494.779100658285
04/05/2024,2.929830636038912e+06,1864,145,16343,29594.24865823091
05/05/2024,3.291268893188461e+06,1761,167,14298,33245.146463223464
06/05/2024,3.9940848386221137e+06,2143,221,18978,40344.29713666322
07/05/2024,5.6496477173684165e+06,2311,277,22342,57067.16549156618
08/05/2024,3.307871242394808e+06,2017,195,16845,33412.82230799121
09/05/2024,4.896402964008336e+06,2132,205,20415,49480.01446138034
10/05/2024,3.3169383424576116e+06,1973,160,17564,33504.43926897701
11/05/2024,2.3213405941733113e+06,1681,107,14294,23447.881552497907
12/05/2024,3.054531086497419e+06,1788,159,16481,30853.84916280265
13/05/2024,6.236205439048389e+06,2396,267,24792,62992.0474823424
14/05/2024,5.109916384166718e+06,2440,283,23457,51615.24710050345
15/05/2024,5.042334653070912e+06,2375,309,21740,50932.71344330985
16/05/2024,5.094150803815589e+06,2213,199,20630,51456.079984318494
17/05/2024,3.5289428995663957e+06,2014,159,18308,35645.88801080421
18/05/2024,3.642041216188326e+06,1892,211,16644,36804.125017060935
19/05/2024,3.5342180571492226e+06,1717,121,15738,35741.15607552518
20/05/2024,4.2034551906578075e+06,1995,167,19682,42459.06097043088
21/05/2024,3.0374278451552605e+06,1956,189,15947,30681.098347430987
22/05/2024,2.9570136366576552e+06,1953,173,16559,29868.823025816622
23/05/2024,3.1603574920222955e+06,1871,152,16858,31922.73432162955
24/05/2024,4.173900318362313e+06,1905,165,15856,42160.60024086246
25/05/2024,3.7041542387999767e+06,1574,89,13099,37415.53041017809
26/05/2024,4.275761372145571e+06,1780,131,15200,43189.424502899834
27/05/2024,5.4876205425156485e+06,2153,189,19694,55430.51009773969
28/05/2024,4.132261750850555e+06,2068,180,18014,41739.76379425914
29/05/2024,4.797044367260201e+06,2095,197,17206,48454.99333389505
30/05/2024,3.38105922871661e+06,1903,136,16099,34152.113132646424
31/05/2024,3.197859732896171e+06,1603,113,11663,32301.612757044266
01/06/2024,2.170575200389381e+06,1445,97,11592,21925.001821652557
02/06/2024,2.53621130051849e+06,1498,97,11969,25618.295756484837
03/06/2024,4.637890267388444e+06,1750,110,14146,46847.38358025152
04/06/2024,2.285854503464624e+06,1445,110,10949,23089.21823275795
05/06/2024,2.347193781171991e+06,1562,134,11937,23708.885466673302
06/06/2024,6.26439916450537e+06,1761,155,15545,63276.71652792985
07/06/2024,6.584026403408818e+06,1921,171,17770,66505.55903519102
08/06/2024,4.235053760464627e+06,1626,134,15082,42777.92527697282
09/06/2024,1.95729801127348e+06,1322,82,11354,19770.19792165198
10/06/2024,3.0176581826544427e+06,1573,186,13563,30479.905594528627
11/06/2024,2.201276599058148e+06,1459,105,14356,22232.891446279267
12/06/2024,3.245866925630745e+06,1567,124,15009,32783.9339953528
13/06/2024,3.3488650572388484e+06,1465,106,12700,33824.95053586713
14/06/2024,2.293733547459116e+06,1307,93,12277,23168.760225523325
15/06/2024,1.125158266725524e+06,987,70,9317,11364.841430413537
16/06/2024,1.169651906542666e+06,927,57,8584,11814.671178395816
17/06/2024,3.2208667289883564e+06,1306,96,13457,32532.96558844553
18/06/2024,2.2221553276741654e+06,1254,99,10368,22445.862543483952
19/06/2024,2.1405754673065706e+06,1282,114,12529,21621.21297770447
20/06/2024,2.835101732140462e+06,1231,67,12859,28635.05314134742
21/06/2024,1.6569296023805211e+06,1140,71,10688,16736.588657291635
22/06/2024,2.666939159094216e+06,1085,108,17066,26670.40382824688
23/06/2024,3.9095272027722322e+06,1100,118,18147,39096.21071316108
24/06/2024,5.600011683416716e+06,1294,103,21606,56000.731097927695
25/06/2024,3.8795288531424114e+06,1327,171,19758,38796.8449339633
26/06/2024,6.271310514699968e+06,1442,140,22265,62714.60140227386
27/06/2024,4.821278948308338e+06,1419,110,20113,48214.50372839208
28/06/2024,4.1302525495809307e+06,1403,127,20583,41303.58672879346
