formattedDay,totalVolumeUSD,numberOfUsers,numberOfNewUsers,ethereumVolumeUSD,solanaVolumeUSD,baseVolumeUSD,blastVolumeUSD,avalancheVolumeUSD,bscVolumeUSD,ethereumNumberOfUsers,solanaNumberOfUsers,baseNumberOfUsers,blastNumberOfUsers,avalancheNumberOfUsers,bscNumberOfUsers,feesUSD,feesETH,feesSOL,feesAVAX,feesBNB,numberOfReturningUsers,numberOfTrades,numberOfPairs,buyVolumeUSD,sellVolumeUSD,cumulative_numberOfNewUsers
20/07/2025,2.3452579577308786e+06,1139,74,2.3146327465776675e+06,0,15441.315198766282,0,0,15183.89595444515,1130,0,6,0,0,6,3656.7968949674228,0.9714893531549861,0,0,0.20469335030829283,1065,1838,128,1.9961514266621796e+06,349106.53106869955,533071
19/07/2025,1.9054878930372827e+07,5405,1069,1.8094373262685217e+07,786794.9160328354,146988.1908727651,0,0,26722.560782004584,4821,523,61,0,0,15,22762.26884626533,4.1356824840480275,43.94945797500001,0,0.3656533441143735,4336,14749,1292,1.729007390727272e+07,1.7648050231000937e+06,532997
18/07/2025,1.3418134740829345e+07,4503,554,1.0672305255534582e+07,1.9188547734260494e+06,271509.001081684,0,0,555465.7107870337,3693,728,88,0,0,51,60530.282115975344,9.969771143651597,107.14196704800005,0,7.497682090411348,3949,18157,1975,8.794534894486181e+06,4.623599846343161e+06,531928
17/07/2025,1.6395351978893684e+07,5564,1127,1.3411456780524563e+07,2.1675799144503353e+06,693615.78490345,0,0,122699.4990153365,4583,871,149,0,0,53,67022.26544875542,12.923784218310777,123.53907225800005,0,1.7167439598687313,4437,21287,2248,1.0551704914111506e+07,5.843647064782185e+06,531374
16/07/2025,1.618346358647e+07,5531,527,1.285868981098022e+07,2.2640911078259195e+06,866625.3424668211,0,0,194057.32519705262,4572,840,193,0,0,55,74518.15429126192,15.377492737426003,132.14480613300012,0,2.7917257779228275,5004,25383,2382,1.0514757500538958e+07,5.668706085931056e+06,530247
15/07/2025,1.8249981118573517e+07,6926,872,1.610535545952295e+07,1.676785674364599e+06,399756.02794888266,0,0,68083.95673709395,6023,802,149,0,0,30,56309.76759257838,12.854411468585331,102.76855148000007,0,0.9974125494128234,6054,24442,2023,1.3795928752243964e+07,4.454052366329568e+06,529720
14/07/2025,1.8515477100441117e+07,6230,1359,1.6334649056571681e+07,1.6495956764372496e+06,441565.6747687521,0,0,89666.69266342609,5327,752,226,0,0,34,61357.63270818401,14.569319381009752,95.75386514300003,0,1.286795088684206,4871,26106,2198,1.3576139194364993e+07,4.93933790607612e+06,528848
13/07/2025,2.0030500962414358e+07,6859,1649,1.88648071785105e+07,874960.0686961829,198181.08129699196,0,0,92552.63391068799,6291,518,76,0,0,12,28934.637682901088,6.4942149451987605,53.034396107000035,0,1.3434285450942445,5210,21970,1685,1.7741402223952487e+07,2.2890987384618702e+06,527489
12/07/2025,1.6882632717473075e+07,6419,669,1.5901630899232434e+07,798118.6283054642,169784.04604039874,0,0,13099.143894768196,5757,561,108,0,0,34,27323.233304198708,6.550360559519648,49.10278445400003,0,0.19004064143148938,5750,20491,1637,1.4767676392490868e+07,2.114956324982196e+06,525840
11/07/2025,1.0975372302728973e+07,4951,526,9.090483205390459e+06,932390.1729898991,899184.1169861853,0,0,53314.80736243099,4063,698,289,0,0,29,44817.53746541355,11.774093230431234,56.420185539,0,0.7711189218370065,4425,18334,1937,7.4719603601360535e+06,3.503411942592922e+06,525171
10/07/2025,1.8057258733829595e+07,7812,1492,1.573153905213236e+07,1.2925975012944953e+06,1.018234419877057e+06,0,0,14887.760525680334,6873,739,263,0,0,22,52751.69929925366,14.027453944504536,80.96477044900001,0,0.2206816080847748,6320,26269,2337,1.420622318162739e+07,3.8510355522022042e+06,524645
09/07/2025,1.6475589930896683e+07,6774,879,1.4860202514570795e+07,1.1382746289797707e+06,438158.05388472154,0,0,38954.733461405514,5963,683,201,0,0,27,45229.10274416544,12.519486756781689,73.34742910800004,0,0.5889110320202522,5895,23971,1950,1.2822192426785247e+07,3.6533975041114404e+06,523153
08/07/2025,2.048311212939187e+07,8124,1730,1.822404933898768e+07,1.3001872492068612e+06,881417.9850700889,0,0,77457.55612723534,7222,684,317,0,0,24,47607.14985544742,13.136890536431668,86.12422554799997,0,1.1735215257985154,6394,29603,2282,1.6618090047564534e+07,3.8650220818273374e+06,522274
07/07/2025,1.7819060485250585e+07,6423,1059,1.5959530899701303e+07,1.388911932200223e+06,435115.41867416614,0,0,35502.23467488296,5600,633,244,0,0,30,54860.32822049523,15.910560883230861,91.66533057700009,0,0.5366977804559593,5364,25664,2138,1.3165568846631015e+07,4.653491638619556e+06,520544
06/07/2025,2.3196070596833963e+07,6868,1002,2.152460504267843e+07,1.282820389743095e+06,316260.9130067711,0,0,72384.25140566965,6144,634,104,0,0,35,40222.6343721029,10.52416644458347,85.30242811599999,0,1.0964001119903242,5866,25965,1729,1.9946793145437207e+07,3.249277451396758e+06,519485
05/07/2025,2.1082367943244115e+07,6748,1018,1.8929790115545705e+07,1.7749329877809314e+06,371252.8430529037,0,0,6391.996864576216,6102,535,160,0,0,11,52815.75004874229,13.916451963434938,120.33230653300001,0,0.09763822113729953,5730,22950,1504,1.6901162470831476e+07,4.181205472412639e+06,518483
04/07/2025,1.6116788894863062e+07,6191,557,1.449959200023426e+07,1.0312561761464818e+06,538472.8100868216,0,0,47467.908395498336,5527,503,207,0,0,31,32387.208671622986,8.545516126211474,69.13256005399998,0,0.7209544259978966,5634,19804,1474,1.3659638030280935e+07,2.4571508645821176e+06,517465
03/07/2025,1.3409655795958985e+07,5517,587,1.1549003342512673e+07,1.1259921902191315e+06,716825.9530647576,0,0,17834.31016242075,4851,540,186,0,0,10,36459.48964518529,9.673052884581262,73.48872189199997,0,0.2698623997548081,4930,19608,1610,1.0641883776694084e+07,2.767772019264907e+06,516908
02/07/2025,1.1219924817547949e+07,5470,645,8.728156304947944e+06,1.2784427815054534e+06,1.2133257310945496e+06,0,0,0,4675,583,277,0,0,0,42860.13183442525,12.00522413090284,84.04528304400002,0,0,4825,18256,1729,8.28184546990319e+06,2.938079347644755e+06,516321
01/07/2025,1.6332726180777926e+07,5594,821,1.4761226224425407e+07,1.0422650605450326e+06,529234.8958074903,0,0,0,4873,564,223,0,0,0,55595.53745980435,18.527917781123968,69.57948793900003,0,0,4773,23271,1717,1.203718920559502e+07,4.295536975182911e+06,515676
30/06/2025,1.3178268165376822e+07,5018,727,1.154888176895423e+07,1.1879825202245126e+06,423972.03876562684,0,0,17399.888620574053,4300,579,188,0,0,16,49885.88338935646,15.228413522916158,76.540541651,0,0.26582932090770056,4291,21729,1975,9.129716034955684e+06,4.0485521304211398e+06,514855
29/06/2025,1.190674230123101e+07,4463,552,1.0747343071977837e+07,675460.6525528126,429304.19336799247,0,0,54634.38333237772,3942,416,141,0,0,35,22548.413885773054,6.245078136132957,44.43824593600001,0,0.8399305093089765,3911,16130,1427,1.0171907645321466e+07,1.7348346559095497e+06,514128
28/06/2025,1.124934765641881e+07,4556,408,1.0248160028697465e+07,571530.7376883972,306255.9897623352,0,0,123400.90027061487,4023,431,118,0,0,44,22949.368656240873,6.580425993098081,38.757668523,0,1.9080817121336384,4148,16214,1459,9.469337843685325e+06,1.780009812733486e+06,513576
27/06/2025,1.1956628795861991e+07,5053,344,1.0339481171154987e+07,836271.8213716933,570229.210704152,0,0,210646.59263115868,4255,571,250,0,0,86,39427.77023158171,11.942527674459503,58.48074115300001,0,3.261751780664174,4709,20536,1832,8.710694847113742e+06,3.245933948748245e+06,513168
26/06/2025,1.3459374460869558e+07,5699,603,1.1282503321902907e+07,850240.5812735121,1.1453338057933445e+06,0,0,181296.7518997927,4835,582,350,0,0,79,48080.50783213799,15.527530453461312,58.959111837000016,0,2.801746014099833,5096,22991,2013,1.0061785539783025e+07,3.397588921086532e+06,512824
25/06/2025,6.218391831640788e+06,3364,518,4.307503936753868e+06,1.3181121147036245e+06,522772.6905403938,0,0,68915.4788508235,2496,669,250,0,0,54,38808.92369551737,10.28757009283251,90.22908070800004,0,1.0667795696237992,2846,16499,2134,3.2903855966079314e+06,2.9280062350328593e+06,512221
24/06/2025,1.131440114193084e+07,5994,1168,9.38081863964295e+06,948460.5138828967,683744.5431222793,0,0,301377.4452827161,5185,653,183,0,0,120,43513.923695874364,12.83640404259795,64.39976287300003,0,4.710245924029306,4826,22583,1983,7.870056128800609e+06,3.444345013130235e+06,511703
23/06/2025,1.1794681057624446e+07,5162,747,9.542815042690752e+06,979434.5115261915,997834.2650712052,0,0,274597.23833629704,4462,569,185,0,0,88,50324.19361735772,16.60014881194224,70.71668646699999,0,4.394785410068624,4415,22202,2263,7.780546755854153e+06,4.0141343017702918e+06,510535
22/06/2025,1.2122686634906616e+07,5099,541,1.0211891449443704e+07,647371.4414852198,1.1710499271507843e+06,0,0,91894.08502179262,4462,529,135,0,0,25,47207.49082536263,17.89868496705905,48.264302968,0,1.464308664365939,4558,21823,1860,8.39700233292257e+06,3.7256843019840512e+06,509788
21/06/2025,1.7069374561724674e+07,6352,539,1.5011466249144977e+07,960728.9036824206,966082.8384269213,0,0,131096.5704703495,5724,500,150,0,0,44,37476.51556228377,11.172042606014458,68.30278183099998,0,1.9971002784246705,5813,21651,1720,1.4363460076913796e+07,2.7059144848108664e+06,509247
20/06/2025,1.3203908081131108e+07,5643,904,1.0106841177736424e+07,1.0929833737784966e+06,1.929642103900365e+06,0,0,74441.42571581113,4895,565,270,0,0,39,48556.18750822551,14.922360842585757,75.35781309799998,0,1.1542231306314141,4739,19021,1639,9.8903079838985e+06,3.313600097232605e+06,508708
19/06/2025,1.906165871128328e+07,6556,1410,1.5712837492227368e+07,1.3778983546969923e+06,1.887518712205116e+06,0,0,82710.23546064972,5815,573,281,0,0,31,72239.89031665112,22.90265178139752,94.35747365199995,0,1.2855018851893691,5146,26317,1991,1.3496367005862234e+07,5.56529170542104e+06,507804
18/06/2025,1.3626536434744572e+07,5729,1225,1.1301866831546256e+07,999672.709653333,1.1370022106141325e+06,0,0,187994.68293084897,4847,640,325,0,0,41,44703.89131783974,13.109091239272274,67.33597130099999,0,2.901238450137119,4504,19434,1795,1.0405452319359353e+07,3.221084115385217e+06,506394
17/06/2025,1.3903367727476558e+07,6362,1208,1.1164511541930985e+07,1.1734862557871977e+06,1.4606054150859832e+06,0,0,104764.51467239269,5510,618,323,0,0,40,42538.236214931516,11.728068671852268,77.948489185,0,1.6122907707252372,5154,19791,1848,1.070967147211798e+07,3.1936962553585805e+06,505169
16/06/2025,1.8216077033730626e+07,6548,1294,1.2741735404796008e+07,1.7636531135784413e+06,3.653633813076955e+06,0,0,55660.32208119914,5615,723,316,0,0,20,80767.66713098796,23.826376876896806,112.04490566100002,0,0.8544015868845084,5254,24272,2141,1.169395354596688e+07,6.5221234877637355e+06,503961
15/06/2025,1.6549094628644293e+07,6167,1120,1.4306920237559339e+07,1.3379952072855565e+06,827416.3186599794,0,0,76762.86513941728,5512,510,177,0,0,43,32533.740102727344,7.273811713181821,89.59490604100003,0,1.1840607560295198,5047,19808,1635,1.4310122379084408e+07,2.238972249559896e+06,502667
14/06/2025,1.4998670087034568e+07,5251,636,1.223039507843166e+07,977488.2238623333,1.7611323616383942e+06,0,0,29476.143252723625,4556,505,227,0,0,23,38059.90266243036,11.058918480100745,66.891743452,0,0.4565510482667281,4615,15930,1407,1.2223800100733388e+07,2.7748699863011893e+06,501547
13/06/2025,1.7555443376810532e+07,5551,462,1.2369833582628407e+07,1.0365323097335764e+06,4.082000163569823e+06,0,0,67077.32087874049,4684,636,327,0,0,31,69922.33916720464,23.256412048712665,70.704408089,0,1.0299033299398777,5089,20273,1860,1.1524913059374629e+07,6.030530317435914e+06,500911
12/06/2025,1.8028310713271286e+07,5351,746,1.444042622108239e+07,1.314503670300401e+06,2.159354761013796e+06,0,0,114026.06087469387,4416,733,293,0,0,51,90869.7286399104,28.107753265352805,82.378171811,0,1.713436479676323,4605,21224,2114,9.724239374208687e+06,8.304071339062597e+06,500449
11/06/2025,1.7296698692036774e+07,5671,996,1.3604399392689722e+07,1.6523853792177544e+06,1.7361240668564653e+06,0,0,303789.85327285004,4747,736,269,0,0,105,83196.51569598378,22.76267916676186,97.39523532200002,0,4.541438751763092,4675,23709,2287,1.0523267721392827e+07,6.773430970643953e+06,499703
10/06/2025,1.6709476935309993e+07,5265,624,1.302202510848845e+07,1.8689647553443417e+06,1.6389112607528737e+06,0,0,179575.81072432894,4402,692,280,0,0,57,84670.40611775799,23.413801427262694,115.42090103500006,0,2.701143573303182,4641,22363,2106,1.0565054587836845e+07,6.144422347473151e+06,498707
09/06/2025,1.2999159667039813e+07,5543,1188,8.48172561675825e+06,2.0863073326184857e+06,2.3071468099754136e+06,0,0,123908.15284428268,4603,699,332,0,0,50,71460.87060477478,19.35272528455964,133.07584916000005,0,1.8921077283487517,4355,19555,1874,8.426787684881667e+06,4.57237198215815e+06,498083
08/06/2025,1.5538009482870461e+07,5027,582,1.2646864383589916e+07,836844.7423591268,1.9672623281472027e+06,0,0,87038.02877422025,4333,513,291,0,0,44,53529.20447887288,17.58936576820459,54.674033884000025,0,1.336022708555214,4445,21293,1638,1.1682585764110778e+07,3.855423718759694e+06,496895
07/06/2025,1.0484777679193828e+07,4874,900,8.35861523555304e+06,1.110313928993099e+06,763691.705113382,0,0,252156.80953430847,4047,651,195,0,0,90,41912.64323932334,11.402316742311742,71.99014280800004,0,3.9002577358825303,3974,18638,1703,7.340370098922349e+06,3.144407580271481e+06,496313
06/06/2025,1.4603719805039492e+07,5169,769,1.1049431699343726e+07,1.9505005243014162e+06,903224.122432355,0,0,700358.8754966559,4324,684,173,0,0,122,73223.80746407564,18.810340489835617,130.68426528200007,0,10.888252578631786,4400,25983,2115,9.071760903868807e+06,5.531958901170689e+06,495413
05/06/2025,1.2647579459523572e+07,4702,588,8.945639725196622e+06,2.214094334874177e+06,1.3488433539383556e+06,0,0,138965.1596923919,3847,704,220,0,0,58,70168.92371578065,18.214589946826603,142.16001248999999,0,2.1153174920063167,4114,24298,2330,7.096949626544667e+06,5.550629832978903e+06,494644
04/06/2025,1.2865766243437136e+07,5240,895,9.605521592618644e+06,1.265581283444582e+06,1.8809307874211855e+06,0,0,113536.22868056565,4450,635,267,0,0,48,67889.93470102568,20.579735490053913,80.72507778100002,0,1.6973956959408159,4345,23637,2158,7.645855343078358e+06,5.219910900358775e+06,494056
03/06/2025,1.5810664884408465e+07,5598,1198,1.0655648477496307e+07,1.5072049281914388e+06,3.484595782362977e+06,0,0,163134.3939815098,4632,789,262,0,0,65,86931.41727186815,26.83805335719553,93.69612122199996,0,2.4506281863262345,4400,24235,2381,8.311974186421836e+06,7.4986906979866335e+06,493161
