formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
18/10/2024,12375.393066547102,9,9,83,61.98849225749001
19/10/2024,79360.66120095932,19,13,443,397.94746745162007
20/10/2024,118526.47437504164,42,28,619,593.8078392438997
21/10/2024,434844.91978758486,86,51,1714,2179.34078299398
22/10/2024,414892.9909204793,81,28,1496,2078.6745959681894
23/10/2024,667311.7653365372,97,39,2300,3343.374187593212
24/10/2024,1116843.1281752307,124,41,4046,5595.512001963017
25/10/2024,712227.2351184747,103,18,3074,3568.647955991455
26/10/2024,550065.6065750071,96,18,2516,2755.27227909362
27/10/2024,673881.9955263507,102,21,2775,3376.7643360548923
28/10/2024,721407.726592755,120,28,2868,3613.350693244451
29/10/2024,1018920.4015526903,175,55,3379,5104.853292761327
30/10/2024,821980.4889747443,198,76,3445,4117.221659433693
31/10/2024,770485.1392887334,214,67,4402,3859.1858255292673
01/11/2024,601376.077761359,220,55,3955,3012.8782840261906
02/11/2024,651768.8804948746,212,42,4106,3263.35459039049
03/11/2024,1042515.3606317029,237,56,5796,5222.18222182866
04/11/2024,1047885.5280939846,253,58,6608,5247.818472814415
05/11/2024,947656.1605596835,303,73,5693,4746.192393003366
06/11/2024,1840751.4636931722,376,90,9443,9219.836271294469
07/11/2024,2124011.382429778,464,165,8954,10635.282082275871
08/11/2024,3034272.5276814983,505,133,11090,15202.535500557073
09/11/2024,2810187.616996258,619,222,15267,14073.206591111308
10/11/2024,4629207.896552131,752,234,20614,23178.68407566076
11/11/2024,6574931.042986664,1046,385,26603,32930.9278526682
12/11/2024,6858328.800679598,1182,346,29283,34352.64203814423
13/11/2024,10024398.829578603,1443,431,32250,50217.94958611725
14/11/2024,13468780.613721248,1681,513,41736,67469.19532989395
15/11/2024,14064350.402559176,1842,500,46492,70428.6882214865
16/11/2024,10810863.44743942,1510,282,35949,59606.48930433651
17/11/2024,16214582.135170648,1838,448,49970,81214.99082945692
18/11/2024,18556917.371269826,2180,556,57324,102690.41238736373
19/11/2024,23063199.251115836,2479,664,62202,213849.02973802324
20/11/2024,25162647.397066776,2814,765,77172,232241.11943837508
21/11/2024,21982382.479787678,2844,667,59413,202623.42530802294
22/11/2024,20176805.2246398,2829,659,61314,186016.86398222894
23/11/2024,19389623.440352924,2627,624,50594,178765.2794106626
24/11/2024,13253987.633682333,2669,614,46568,122252.96660858502
25/11/2024,20350629.342625674,2959,671,59829,186929.63809405259
26/11/2024,14834141.590925315,2821,553,63290,136927.80842139968
27/11/2024,19712360.073060535,3024,664,65935,181593.512335021
28/11/2024,15139520.122553375,3017,598,59864,139525.52067321533
29/11/2024,15559094.683503304,2872,540,53429,143135.08618884665
30/11/2024,10094298.317958338,2540,419,41527,92873.92745835404
01/12/2024,11931097.012368545,2685,461,44173,110118.9645199033
02/12/2024,14256589.44792747,2947,492,45178,131258.4103451079
03/12/2024,13201560.332796209,2898,502,46942,121815.64546788795
04/12/2024,11703119.09755939,2723,477,37675,107686.427396017
05/12/2024,10180013.974579636,2540,397,37409,90834.76356640908
