formattedDay,totalVolumeUSD,numberOfUsers,numberOfNewUsers,solanaVolumeUSD,baseVolumeUSD,bscVolumeUSD,solanaNumberOfUsers,baseNumberOfUsers,bscNumberOfUsers,numberOfReturningUsers,feesUSD,feesSOL,feesETH,feesBNB,numberOfTrades,numberOfPairs,cumulative_numberOfNewUsers,total_volume_usd,daily_users,daily_trades,total_fees_usd
22/10/2024,414892.9909204795,81,81,414892.9909204795,0,0,81,0,0,0,2078.6745959681903,12.432462686000003,0,0,1496,513,81,0,0,0,0
23/10/2024,666389.4799365372,97,44,666389.4799365372,0,0,97,0,0,53,3338.7395875932098,19.797465712999987,0,0,2298,642,125,0,0,0,0
24/10/2024,1.11283962489218e+06,124,49,1.11283962489218e+06,0,0,124,0,0,75,5575.393895013023,31.742332377,0,0,4032,761,174,0,0,0,0
25/10/2024,712226.3672297245,103,21,712226.3672297245,0,0,103,0,0,82,3568.64359474146,20.740223633999985,0,0,3073,635,195,0,0,0,0
26/10/2024,550013.5175688071,96,18,550013.5175688071,0,0,96,0,0,78,2755.01052529362,16.311592025999992,0,0,2514,737,213,0,0,0,0
27/10/2024,670489.6548643506,101,21,670489.6548643506,0,0,101,0,0,80,3359.71739805489,19.205127538999978,0,0,2769,783,234,0,0,0,0
28/10/2024,721398.447035801,120,29,721398.447035801,0,0,120,0,0,91,3613.3040714890694,20.562985788999992,0,0,2866,666,263,0,0,0,0
29/10/2024,1.0185166653776898e+06,175,55,1.0185166653776898e+06,0,0,175,0,0,120,5102.82446776133,28.32372988899998,0,0,3377,874,318,0,0,0,0
30/10/2024,821783.6114092447,198,76,821783.6114092447,0,0,198,0,0,122,4116.2323249336905,23.29885881699999,0,0,3443,866,394,0,0,0,0
31/10/2024,770331.7264501469,214,68,770331.7264501469,0,0,214,0,0,146,3858.41490669961,22.51579382199999,0,0,4382,945,462,0,0,0,0
01/11/2024,601343.2348013588,220,55,601343.2348013588,0,0,220,0,0,165,3012.713244026194,18.005900708999988,0,0,3954,964,517,0,0,0,0
02/11/2024,649416.1521503748,212,42,649416.1521503748,0,0,212,0,0,170,3251.531834890489,19.624900857999997,0,0,4096,962,559,0,0,0,0
03/11/2024,1.0422926880184303e+06,237,56,1.0422926880184303e+06,0,0,237,0,0,181,5221.065809153702,32.032983343000005,0,0,5790,1098,615,0,0,0,0
04/11/2024,1.0408280996472077e+06,252,59,1.0408280996472077e+06,0,0,252,0,0,193,5212.362478688023,32.237328915000006,0,0,6585,1500,674,0,0,0,0
05/11/2024,924708.2242853348,302,72,924708.2242853348,0,0,302,0,0,230,4630.885700241192,28.280823007999984,0,0,5653,1339,746,0,0,0,0
06/11/2024,1.840468040437034e+06,376,93,1.840468040437034e+06,0,0,376,0,0,283,9218.412090712853,50.06609815100005,0,0,9433,2609,839,0,0,0,0
07/11/2024,2.123636736609591e+06,464,165,2.123636736609591e+06,0,0,464,0,0,299,10633.399439963374,55.403942828000005,0,0,8939,1810,1004,0,0,0,0
