formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
18/03/2025,1247.2146334210202,2,2,17,0
19/03/2025,5450.512214576109,2,1,61,0
20/03/2025,37.032607060480004,2,2,3,0
21/03/2025,10.532120215199997,2,0,2,0
22/03/2025,5235.448551851561,4,2,40,0
23/03/2025,8268.582599322099,4,1,68,0
24/03/2025,17197.157740666382,5,1,134,0
25/03/2025,11260.090686304951,2,0,85,0
26/03/2025,17360.70434382073,10,4,82,0
27/03/2025,18352.613751769062,6,2,63,0
28/03/2025,1404.25971055403,5,0,28,0
29/03/2025,4171.97970807161,1,0,8,0
30/03/2025,4.04961630463,1,0,4,0
31/03/2025,23390.726407994374,8,0,56,0
01/04/2025,28581.342351564355,6,2,58,0
02/04/2025,27133.969415906653,4,0,40,0
03/04/2025,8226.73321001617,5,0,45,0
04/04/2025,26305.387776135332,8,0,52,0
05/04/2025,20194.63661628168,2,0,6,0
06/04/2025,411.14092750203,2,0,9,0
07/04/2025,27826.684609425876,7,1,46,0
08/04/2025,25723.793151858623,5,0,38,0
09/04/2025,54675.24523082128,8,3,79,0
10/04/2025,51052.12397486523,6,2,50,0
11/04/2025,12882.384083363375,5,0,62,0
12/04/2025,74437.14596537667,6,0,117,0
13/04/2025,16773.6439436961,5,0,27,0
14/04/2025,26145.97817958739,10,0,84,0
15/04/2025,79120.85845792777,17,0,365,0
16/04/2025,226025.83470396558,23,8,808,0
17/04/2025,338200.50894449675,21,0,1119,0
18/04/2025,279955.9186412176,21,3,1148,0
19/04/2025,94828.09883383033,14,1,611,0
20/04/2025,78550.76959063103,8,0,413,0
21/04/2025,64223.016855892325,14,2,542,0
22/04/2025,63576.9195390332,16,2,317,0
23/04/2025,231484.90835074443,18,2,431,0
24/04/2025,95136.7514907192,17,2,443,0
25/04/2025,266759.12496065383,25,3,606,0
26/04/2025,266337.7737803931,17,3,483,0
27/04/2025,193886.07238837125,15,1,347,0
28/04/2025,214162.4213408171,23,2,663,0
29/04/2025,316822.9635398031,19,2,1019,0
30/04/2025,281267.59163024544,19,2,1038,0
01/05/2025,423994.8809192593,31,2,1042,0
02/05/2025,267164.92977259203,26,0,850,0
03/05/2025,140252.7892658393,16,0,536,0
04/05/2025,190224.3631440076,19,0,885,0
05/05/2025,227543.18213568014,19,1,759,0
06/05/2025,329763.0400999721,22,0,698,0
07/05/2025,138342.46490991113,18,2,540,0
08/05/2025,243367.12066442397,23,2,856,0
09/05/2025,131855.52332491995,17,2,572,0
10/05/2025,202014.01945130088,16,3,560,0
11/05/2025,211780.65428162733,15,1,780,0
12/05/2025,314865.75306863856,29,3,1053,0
13/05/2025,638848.3608574952,32,1,1525,0
14/05/2025,729105.8583488059,24,2,1819,0
15/05/2025,281450.7230352007,23,2,1062,0
16/05/2025,409061.00832522684,21,1,1198,0
17/05/2025,580192.2156655997,16,2,1835,0
18/05/2025,382878.46816278895,20,0,1302,0
