formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
06/05/2024,11.47538378377,1,1,8,0.1037716259
07/05/2024,14564.54976332919,6,6,45,129.34809603374998
08/05/2024,5251.1162279193395,4,2,31,46.39398963586001
09/05/2024,5315.18041486455,5,2,59,47.49277636007999
10/05/2024,1007.8698373280901,6,1,30,8.826197197740001
11/05/2024,736.76605131155,4,0,18,6.5215482924399995
12/05/2024,6703.988044050229,4,0,49,61.260003968789995
13/05/2024,6571.427516874289,10,5,68,57.577178285180004
14/05/2024,13459.168770187547,12,6,203,120.14237785617999
15/05/2024,18157.35347065714,11,3,160,167.0324648479201
16/05/2024,22988.764808125372,17,5,153,212.22558198623003
17/05/2024,34271.56749285056,21,8,185,315.2009594762301
18/05/2024,18193.913864228256,14,3,114,159.49040979611007
19/05/2024,29069.394836747193,17,2,134,260.59182712465997
20/05/2024,78077.58413641622,29,16,372,699.0200029542603
21/05/2024,127805.81566677388,52,25,1098,1124.816917607741
22/05/2024,184575.2345244628,76,34,912,1534.0512276544302
23/05/2024,110365.88898017912,57,12,1136,1000.0429782815394
24/05/2024,148298.52915577267,61,12,932,1360.787874871331
25/05/2024,122496.41243325145,50,9,581,1119.6639798435906
26/05/2024,129185.9029563428,50,9,803,1173.7866177605802
27/05/2024,163681.18495623337,62,10,919,1462.5716828556408
28/05/2024,117419.61960776262,56,7,823,1038.7317917080497
29/05/2024,172051.75042557868,65,9,1075,1510.8394084316103
30/05/2024,139150.29641845354,52,9,843,1156.5106884080496
31/05/2024,186859.0927423163,46,9,964,1803.7447994239901
01/06/2024,282065.8673831745,95,43,1164,2526.780542929652
02/06/2024,317826.3122024576,90,21,2029,2850.0490695162803
03/06/2024,317339.99277247034,117,31,1998,2845.1980185925286
04/06/2024,274347.12944215495,134,41,2030,2475.54720650999
05/06/2024,705607.9214796943,201,104,3710,6330.033898672869
06/06/2024,3833328.9262185376,680,511,11716,34545.27962369502
07/06/2024,10807415.62281543,1484,956,33028,97460.73764936409
08/06/2024,10979160.663873715,2256,1191,50795,99069.13969237906
09/06/2024,11592162.827851161,2919,1317,66893,104709.30955324312
10/06/2024,14557848.486787328,4011,1642,87741,131475.4050616386
11/06/2024,12822213.540643552,4103,1233,82312,116112.59260914156
12/06/2024,18363298.422527537,4466,1214,99366,166153.10548047707
13/06/2024,16456959.986256346,4608,1134,92981,148446.38975702145
14/06/2024,12867279.777952788,4888,1358,86734,116338.33365328501
15/06/2024,10162039.355700513,4315,907,75935,91889.53044408576
16/06/2024,11048215.01701999,4306,734,82605,100085.53830683224
17/06/2024,22649513.67925123,5877,1204,130054,204420.36690316725
18/06/2024,17711789.95553591,5623,931,124574,159993.09640924737
19/06/2024,21009429.1041217,6298,1280,150274,189808.3501646052
20/06/2024,22190236.559935693,6885,1559,150595,200442.40338623358
21/06/2024,20850910.721348695,7112,1466,158128,188090.9829968812
22/06/2024,16681584.707002018,6575,1258,137627,150704.2803918093
23/06/2024,15831355.084105346,6593,1165,133460,143081.98651907462
24/06/2024,17016107.730607335,6747,922,128216,153633.099283196
25/06/2024,17642310.00646356,7081,968,128865,159220.5153810046
26/06/2024,22506281.54958228,7585,1102,135670,203392.13923895132
27/06/2024,25605032.71923996,7788,1018,156815,231310.98099984904
28/06/2024,24425196.059773706,7852,1116,168527,220788.48036356134
29/06/2024,19047902.459294267,6912,851,150439,172259.090155825
30/06/2024,20304113.891343553,7195,976,153291,183597.09695958445
01/07/2024,29624990.04153601,8466,1219,174507,267195.90442737495
02/07/2024,23645565.96779044,8524,1314,160395,213447.68883544597
03/07/2024,22548893.60185999,8486,1231,165050,203845.82010207576
04/07/2024,19052149.89021255,7486,930,148773,172236.43508341117
05/07/2024,20326665.972916923,7225,795,154570,183798.37123326422
06/07/2024,23334143.25013168,8042,1186,181515,210925.22104322127
07/07/2024,23389135.5934065,8185,1134,172191,211404.88366146947
08/07/2024,23850369.801179696,8674,1169,174468,215492.40924234147
09/07/2024,24626031.59300026,8833,1127,181549,222632.82305194924
10/07/2024,23978880.35745887,8649,1095,177211,216827.57829240893
11/07/2024,27352651.256405067,9359,1306,205349,247374.2998444401
12/07/2024,27811688.465822764,9314,1268,211696,251555.0123626105
13/07/2024,27940936.17884376,9058,1151,207495,252417.24559479265
14/07/2024,30778378.844024487,9430,1412,214151,278483.3949560262
15/07/2024,40370659.627491504,10983,1766,264026,364873.93064787844
16/07/2024,33890941.44217574,10919,1615,243770,306206.88346688275
17/07/2024,32046954.58208394,10625,1453,230752,289873.0103177679
18/07/2024,27409834.475271888,10515,1565,209913,247895.44999520833
19/07/2024,29513110.581606463,10690,1524,220348,266631.4758250006
20/07/2024,28331488.25263921,10080,1420,207590,256209.5885330023
21/07/2024,35635789.39591694,11311,1501,241864,322208.86506135936
22/07/2024,35908213.425944746,11801,1570,236455,324537.5108340234
23/07/2024,39196381.97961782,12411,1760,253383,353955.6819744565
24/07/2024,37171861.47632272,12057,1535,239380,335842.06575653906
25/07/2024,32269988.708741378,11796,1456,219365,291522.8754693921
26/07/2024,37856219.53708093,12174,1586,234874,341952.31288274645
27/07/2024,50299162.23078904,12444,1622,233772,454007.3209645034
28/07/2024,77073227.63001196,12397,1637,245242,695019.4825065257
29/07/2024,50288945.96388254,13581,1840,265596,454152.8609153981
30/07/2024,52390249.781944096,14402,2068,292565,473043.17663953826
31/07/2024,53807828.424977824,14332,2047,300051,483534.4096292382
01/08/2024,37369517.459983654,12963,1496,232758,335346.3859386078
02/08/2024,33596382.80728415,12382,1398,245216,302444.09420922166
03/08/2024,23569730.628401224,10752,1107,189197,212451.17099921795
04/08/2024,22344205.680663183,10197,1070,190846,201970.72093644395
05/08/2024,25548074.204265047,10836,988,203390,230596.6370124167
06/08/2024,36232200.86180713,12513,1674,278065,327000.68335697183
07/08/2024,36937986.84991507,12639,1435,279522,333883.1028779651
08/08/2024,38539561.567039914,12738,1424,269984,347088.3763390718
09/08/2024,31712424.89025731,11791,1275,248726,286660.35158595914
10/08/2024,30195137.25786262,11119,1155,228683,272661.06222837965
11/08/2024,22366833.95427608,10107,945,181132,202159.72135363022
12/08/2024,26458737.123732038,11210,1059,213755,239078.02384585887
13/08/2024,24798193.824342042,11454,1278,204036,223047.2962878746
14/08/2024,23826196.558411155,10422,1016,195709,212245.4821054739
15/08/2024,21482130.11689296,10272,1302,179810,190237.35762423716
16/08/2024,16423954.776643133,9148,883,143581,148029.66745377405
17/08/2024,15778143.025010066,8301,665,146860,142694.2581632326
18/08/2024,21215831.70983545,8462,710,168176,192202.37485662385
19/08/2024,18508008.147469945,9159,855,161213,167343.6588049403
20/08/2024,12667125.644832546,7799,627,105815,114181.14675856767
21/08/2024,11716094.916363843,7190,580,93679,105753.43512704586
22/08/2024,11298687.706333727,7009,707,102132,102110.14057568999
23/08/2024,14708803.044419156,7733,909,122042,131373.17438713028
24/08/2024,13902940.86522895,7379,809,110823,124791.18617565732
25/08/2024,12241083.608529372,6787,740,96062,109878.19974896683
26/08/2024,14194129.24718286,7716,995,111932,126960.32076000755
27/08/2024,15303236.344535248,7968,1026,123995,136275.3590255738
28/08/2024,14147323.271118559,7709,1005,121297,126755.57704676142
29/08/2024,15493299.575638618,8196,1184,131556,136772.2767906388
30/08/2024,11339320.720799677,7446,1111,107963,100654.22761148223
31/08/2024,10562467.4377146,6705,960,104340,94514.62785985705
01/09/2024,11542939.067631355,6807,797,115680,103884.15513600702
02/09/2024,12264647.00214287,7474,1002,121539,110117.98818128488
