formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
25/06/2025,8878.4068,21,1,76,44.392034
24/06/2025,205699.0674,116,20,1253,1028.495337
23/06/2025,280185.73500000004,121,8,1395,1400.928675
22/06/2025,269493.0562,99,3,1164,1347.465281
21/06/2025,425191.8472,118,9,1439,2125.959236
20/06/2025,400580.49820000003,172,15,1974,2002.902491
19/06/2025,298840.8724,127,8,1467,1494.204362
18/06/2025,168832.1458,129,12,974,844.160729
17/06/2025,348585.53579999995,151,10,1723,1742.927679
16/06/2025,288550.306,151,18,1744,1442.75153
15/06/2025,277978.7436,118,6,1486,1389.893718
14/06/2025,265662.9828,112,6,861,1328.314914
13/06/2025,275365.04839999997,112,7,876,1376.825242
12/06/2025,252035.9724,122,9,905,1260.179862
11/06/2025,314505.1232,159,11,1456,1572.525616
10/06/2025,368483.4654,181,21,1777,1842.417327
09/06/2025,608395.534,233,18,2409,3041.97767
08/06/2025,334563.7636,132,13,1441,1672.818818
07/06/2025,240703.0106,106,11,1114,1203.515053
06/06/2025,232567.9992,101,13,1055,1162.839996
05/06/2025,220031.4186,111,8,1211,1100.157093
04/06/2025,223513.5996,119,12,1199,1117.567998
03/06/2025,208795.5716,111,12,1178,1043.977858
02/06/2025,155910.1032,110,8,968,779.550516
01/06/2025,206484.8304,100,8,1061,1032.424152
31/05/2025,322827.8436,120,9,1403,1614.139218
30/05/2025,327963.3584,113,11,1281,1639.816792
29/05/2025,423056.399,125,9,1713,2115.281995
28/05/2025,335080.2058,130,9,1314,1675.401029
27/05/2025,408419.3726,137,13,1409,2042.096863
26/05/2025,390507.2448,139,15,1300,1952.536224
25/05/2025,234591.08339999997,104,13,879,1172.955417
24/05/2025,170911.29260000002,106,4,763,854.556463
23/05/2025,382263.3354,135,7,1258,1911.316677
22/05/2025,466715.2228,151,4,1230,2333.576114
21/05/2025,262723.631,130,10,934,1313.618155
20/05/2025,319672.561,155,15,1369,1598.362805
19/05/2025,223384.56160000002,130,9,899,1116.922808
18/05/2025,302987.0292,121,8,916,1514.935146
17/05/2025,330049.9842,131,10,1159,1650.249921
16/05/2025,353553.6726,171,15,1634,1767.768363
15/05/2025,635934.4619999999,213,22,2431,3179.67231
14/05/2025,793062.4952,205,30,2615,3965.312476
13/05/2025,837253.5744,241,41,3203,4186.267872
12/05/2025,369396.8592,205,20,1759,1846.984296
11/05/2025,280045.2598,160,19,1090,1400.226299
10/05/2025,181425.9534,141,18,825,907.129767
09/05/2025,169546.4132,143,9,771,847.732066
08/05/2025,220300.0026,176,11,1217,1101.500013
07/05/2025,272078.1754,194,42,1419,1360.390877
06/05/2025,200749.7034,239,81,1705,1003.748517
05/05/2025,50518.3822,139,8,957,252.591911
04/05/2025,51640.63280000001,114,9,1052,258.203164
03/05/2025,92203.003,155,29,1316,461.015015
02/05/2025,55895.677599999995,138,27,1346,279.478388
01/05/2025,161572.544,131,31,1762,807.86272
30/04/2025,93801.3106,122,38,1280,469.006553
29/04/2025,49631.3942,97,29,737,248.156971
28/04/2025,65972.6116,67,15,457,329.863058
27/04/2025,70039.5548,69,19,777,350.197774
26/04/2025,87404.0174,66,24,706,437.020087
25/04/2025,86010.63339999999,56,15,556,430.053167
24/04/2025,47843.502,39,9,224,239.21751
23/04/2025,42899.269,37,9,344,214.496345
22/04/2025,46946.5274,35,8,377,234.732637
21/04/2025,62099.987199999996,25,2,288,310.499936
20/04/2025,81832.3578,20,0,176,409.161789
19/04/2025,65418.805799999995,24,1,200,327.094029
18/04/2025,30484.865400000002,33,3,163,152.424327
17/04/2025,9669.7648,25,2,87,48.348824
16/04/2025,30067.8734,28,3,160,150.339367
15/04/2025,25712.294200000004,32,3,185,128.561471
14/04/2025,25798.227400000003,37,1,386,128.991137
13/04/2025,14241.5954,26,3,192,71.207977
12/04/2025,6135.3306,26,0,118,30.676653
11/04/2025,10773.3644,36,8,217,53.866822
10/04/2025,45105.609,31,6,200,225.528045
09/04/2025,320265.97959999996,29,7,178,1601.329898
08/04/2025,24039.7964,22,4,78,120.198982
07/04/2025,23263.454400000002,18,0,117,116.317272
06/04/2025,200.85299999999998,7,0,9,1.004265
05/04/2025,4510.2462000000005,7,0,15,22.551231
04/04/2025,29755.198200000003,18,1,139,148.775991
03/04/2025,2639.3958000000002,19,0,48,13.196979
02/04/2025,19164.8568,12,0,33,95.824284
01/04/2025,28305.185999999998,15,0,59,141.52593
31/03/2025,7450.9788,12,0,31,37.254894
