formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
20/03/2024,816.70910402627,11,11,47,8.247442385490002
21/03/2024,132835.39723203622,145,137,777,1329.8913289138693
22/03/2024,101170.71196781969,135,84,918,1016.65958506316
23/03/2024,80811.76390721937,115,59,1058,829.0476265969801
24/03/2024,48305.67333339218,76,22,965,488.4029128958803
25/03/2024,53334.336023505835,97,32,711,653.0346410306
26/03/2024,297227.99246925645,132,60,901,3008.221872529471
27/03/2024,127086.30708111859,125,48,1014,1278.06325704848
28/03/2024,172084.75083095755,136,60,1245,1718.60553363342
29/03/2024,163012.54112402684,170,82,1421,1693.0737767035307
30/03/2024,268547.95691243536,212,92,2512,2975.5827828742113
31/03/2024,365045.3732798419,248,103,2689,3662.3212006062117
01/04/2024,362416.2818529682,326,148,3170,3702.2943534743404
02/04/2024,338972.38840979524,298,98,3039,3416.737327729472
03/04/2024,252603.46614893596,320,103,2937,2557.544475854527
04/04/2024,265024.43101963494,301,104,2531,2659.525646208183
05/04/2024,179672.79658261492,297,104,2332,1796.9432459471898
06/04/2024,227089.85385348092,353,148,2389,2263.222754247549
07/04/2024,270187.92592952773,433,158,3087,2712.9297442030957
08/04/2024,248039.36098535822,407,126,2793,2475.647201355847
09/04/2024,223544.332186752,387,121,2415,2262.4893945968497
10/04/2024,90542.27606403267,237,46,1163,922.3948491120099
11/04/2024,303718.39182633406,346,153,2157,3044.2295022679714
12/04/2024,169424.78058771664,288,81,1956,1692.9323946201814
13/04/2024,100930.65809991513,219,57,1439,1014.4747329502995
14/04/2024,77941.2396795523,226,86,1296,779.5115248640004
15/04/2024,100849.63136771579,260,78,1571,1007.5683180844396
16/04/2024,114078.9387187374,284,106,1725,1142.243889146651
17/04/2024,88396.41622805188,222,61,1416,874.4358000386698
18/04/2024,155067.49462277547,234,58,2285,1549.3953394183304
19/04/2024,109750.56121575195,260,82,1822,1148.1501251742009
20/04/2024,125499.97370942424,203,51,2164,1253.7696817314102
21/04/2024,125937.71983179067,243,80,2103,1259.1969901556413
22/04/2024,383246.7978643041,375,122,2752,3859.647003029449
23/04/2024,316656.9872442278,415,137,3304,3190.78012577246
24/04/2024,247652.69469429096,409,104,2931,2478.3064717761595
25/04/2024,358723.7149127977,458,174,2985,3587.6548161445025
26/04/2024,493663.39200988604,688,279,4329,5042.949229074623
27/04/2024,480374.969310052,612,190,5275,4772.684933573729
28/04/2024,643105.4993780378,682,228,6727,6400.643400031312
29/04/2024,648937.3258353202,724,206,7398,6436.982831098725
30/04/2024,526263.6201230638,644,176,6798,5176.685622704286
01/05/2024,317598.7859428492,543,153,5092,3085.187114882115
02/05/2024,480492.6725420202,613,170,6245,4648.031357274913
03/05/2024,731467.0158131925,701,192,7440,7181.148587876515
04/05/2024,901139.9005418967,695,171,9673,8820.363818405016
05/05/2024,680712.2919992853,661,133,8452,6662.77961063405
06/05/2024,1027158.0064613839,797,200,8577,10626.11099037592
07/05/2024,709991.6363501172,789,203,7945,6969.251638238125
08/05/2024,602843.1465976429,749,170,8074,5880.829215798609
09/05/2024,834022.5722116231,891,252,9790,8182.663256574818
10/05/2024,672620.1678980489,811,186,8555,6635.435390457984
11/05/2024,646395.819542464,806,188,9418,6300.324769974206
12/05/2024,1110225.3912342305,1030,309,13687,10933.13843809645
13/05/2024,1519350.7979288073,1214,330,14455,15004.060926494485
14/05/2024,1068671.539125691,1170,254,10333,10660.933436087173
15/05/2024,1185063.1871756508,1180,282,11397,11743.400004186786
16/05/2024,902303.9983327081,1159,267,9941,9178.790984592151
17/05/2024,817793.4340320186,953,199,7753,8190.72478165778
18/05/2024,931998.5535941322,1000,221,8998,9247.570354196887
19/05/2024,1043845.5939046209,1079,252,10153,10334.080725832924
20/05/2024,1137761.499146665,1101,251,10054,11268.88780538015
21/05/2024,776998.9280119648,1000,182,8842,7655.352197743518
22/05/2024,809771.7425625898,954,190,8188,8042.384429586834
23/05/2024,888056.2425909546,951,171,8680,8778.230360566817
24/05/2024,1379556.2097107884,1053,218,11971,13717.941997111428
25/05/2024,1114938.9761548867,973,199,10327,11126.152273576115
26/05/2024,1440603.6990024715,1081,246,11283,14273.950266624275
27/05/2024,2444149.8810066376,1475,403,15360,24540.184936462523
28/05/2024,1615492.8851420959,1410,348,15260,15907.764606017878
29/05/2024,2273249.86826958,1484,350,16692,22579.60022047066
30/05/2024,1579964.435621868,1315,291,14771,15659.925902805831
31/05/2024,1323089.2857823807,1227,250,13400,13060.781558334857
01/06/2024,1611580.3650114522,1213,257,12779,15946.598263864253
02/06/2024,1744177.1638311406,1256,239,13019,17261.1378833158
03/06/2024,1378891.354453555,1232,205,12171,13646.003611363809
04/06/2024,1130645.5244336438,1096,191,10507,11158.289638087248
05/06/2024,1215454.7645060427,1101,205,9315,12034.029540258603
06/06/2024,1695848.1881814413,1141,209,10562,16806.083869229653
07/06/2024,2315329.756072688,1309,260,13652,23052.089094824478
08/06/2024,2047576.2144161745,1404,405,16801,20259.46592051271
09/06/2024,1547502.4627356513,1471,445,17619,15185.723184857663
10/06/2024,1484526.7533612119,1453,386,16332,14561.792167572177
11/06/2024,1330580.4693959015,1465,377,14839,13493.278933811243
12/06/2024,2062047.5385375607,1564,397,20935,20249.95190292128
13/06/2024,1633644.5093600429,1472,443,19005,16191.568369873434
14/06/2024,1304549.1729924574,1329,261,14687,12817.531680199667
15/06/2024,883401.8793599934,1017,196,12235,8579.748047655998
