block_date,token_launches,token_migrations
2025-04-15 00:00:00.000 UTC,18,6
2025-04-16 00:00:00.000 UTC,1742,32
2025-04-17 00:00:00.000 UTC,943,23
2025-04-18 00:00:00.000 UTC,445,12
2025-04-19 00:00:00.000 UTC,375,3
2025-04-20 00:00:00.000 UTC,237,4
2025-04-21 00:00:00.000 UTC,371,6
2025-04-22 00:00:00.000 UTC,284,11
2025-04-23 00:00:00.000 UTC,275,9
2025-04-24 00:00:00.000 UTC,387,7
2025-04-25 00:00:00.000 UTC,4083,76
2025-04-26 00:00:00.000 UTC,3639,73
2025-04-27 00:00:00.000 UTC,7596,108
2025-04-28 00:00:00.000 UTC,4407,104
2025-04-29 00:00:00.000 UTC,2384,35
2025-04-30 00:00:00.000 UTC,1948,42
2025-05-01 00:00:00.000 UTC,1734,17
2025-05-02 00:00:00.000 UTC,2077,10
2025-05-03 00:00:00.000 UTC,2148,9
2025-05-04 00:00:00.000 UTC,3742,5
2025-05-05 00:00:00.000 UTC,3910,13
2025-05-06 00:00:00.000 UTC,4059,9
2025-05-07 00:00:00.000 UTC,2781,9
2025-05-08 00:00:00.000 UTC,2673,7
2025-05-09 00:00:00.000 UTC,2765,10
2025-05-10 00:00:00.000 UTC,5041,37
2025-05-11 00:00:00.000 UTC,7788,64
2025-05-12 00:00:00.000 UTC,14853,188
2025-05-13 00:00:00.000 UTC,8507,101
2025-05-14 00:00:00.000 UTC,8591,139
2025-05-15 00:00:00.000 UTC,5717,62
2025-05-16 00:00:00.000 UTC,6447,52
2025-05-17 00:00:00.000 UTC,5607,52
2025-05-18 00:00:00.000 UTC,3931,19
2025-05-19 00:00:00.000 UTC,4599,34
2025-05-20 00:00:00.000 UTC,4734,44
2025-05-21 00:00:00.000 UTC,4051,26
2025-05-22 00:00:00.000 UTC,4353,31
2025-05-23 00:00:00.000 UTC,3855,24
2025-05-24 00:00:00.000 UTC,3527,12
2025-05-25 00:00:00.000 UTC,3862,16
2025-05-26 00:00:00.000 UTC,4359,23
2025-05-27 00:00:00.000 UTC,4235,15
2025-05-28 00:00:00.000 UTC,4576,41
2025-05-29 00:00:00.000 UTC,4017,16
2025-05-30 00:00:00.000 UTC,2847,8
2025-05-31 00:00:00.000 UTC,2674,8
2025-06-01 00:00:00.000 UTC,2764,11
2025-06-02 00:00:00.000 UTC,3468,14
2025-06-03 00:00:00.000 UTC,2969,13
2025-06-04 00:00:00.000 UTC,2190,8
2025-06-05 00:00:00.000 UTC,2318,9
2025-06-06 00:00:00.000 UTC,3144,1
2025-06-07 00:00:00.000 UTC,2274,4
2025-06-08 00:00:00.000 UTC,2258,1
2025-06-09 00:00:00.000 UTC,2647,16
2025-06-10 00:00:00.000 UTC,2942,22
2025-06-11 00:00:00.000 UTC,2675,13
2025-06-12 00:00:00.000 UTC,2923,7
2025-06-13 00:00:00.000 UTC,2458,10
2025-06-14 00:00:00.000 UTC,2146,4
2025-06-15 00:00:00.000 UTC,2558,5
2025-06-16 00:00:00.000 UTC,2469,14
2025-06-17 00:00:00.000 UTC,2193,7
2025-06-18 00:00:00.000 UTC,2549,10
2025-06-19 00:00:00.000 UTC,2484,16
2025-06-20 00:00:00.000 UTC,2332,18
2025-06-21 00:00:00.000 UTC,2204,6
2025-06-22 00:00:00.000 UTC,1786,4
2025-06-23 00:00:00.000 UTC,2511,10
2025-06-24 00:00:00.000 UTC,2518,20
2025-06-25 00:00:00.000 UTC,2126,14
2025-06-26 00:00:00.000 UTC,3308,27
2025-06-27 00:00:00.000 UTC,1051,5
2025-06-28 00:00:00.000 UTC,1168,5
2025-06-29 00:00:00.000 UTC,1053,5
2025-06-30 00:00:00.000 UTC,4587,38
2025-07-01 00:00:00.000 UTC,2217,16
2025-07-02 00:00:00.000 UTC,4051,48
2025-07-03 00:00:00.000 UTC,4686,49
2025-07-04 00:00:00.000 UTC,8409,71
2025-07-05 00:00:00.000 UTC,12239,132
2025-07-06 00:00:00.000 UTC,17191,170
2025-07-07 00:00:00.000 UTC,22852,230
2025-07-08 00:00:00.000 UTC,22703,200
2025-07-09 00:00:00.000 UTC,19074,172
2025-07-10 00:00:00.000 UTC,21009,198
2025-07-11 00:00:00.000 UTC,20892,165
2025-07-12 00:00:00.000 UTC,12960,100
2025-07-13 00:00:00.000 UTC,14997,110
2025-07-14 00:00:00.000 UTC,18728,190
2025-07-15 00:00:00.000 UTC,19525,200
2025-07-16 00:00:00.000 UTC,23130,276
2025-07-17 00:00:00.000 UTC,24232,255
2025-07-18 00:00:00.000 UTC,26754,256
2025-07-19 00:00:00.000 UTC,18218,137
2025-07-20 00:00:00.000 UTC,20414,151
2025-07-21 00:00:00.000 UTC,29051,233
2025-07-22 00:00:00.000 UTC,26959,264
2025-07-23 00:00:00.000 UTC,24080,240
2025-07-24 00:00:00.000 UTC,22446,196
2025-07-25 00:00:00.000 UTC,20376,221
2025-07-26 00:00:00.000 UTC,18666,178
2025-07-27 00:00:00.000 UTC,15768,136
2025-07-28 00:00:00.000 UTC,22686,241
2025-07-29 00:00:00.000 UTC,19786,230
2025-07-30 00:00:00.000 UTC,20922,218
2025-07-31 00:00:00.000 UTC,758,12
