block_date,token_launches,token_migrations
2025-04-25 00:00:00.000 UTC,2201,57
2025-04-26 00:00:00.000 UTC,2136,56
2025-04-27 00:00:00.000 UTC,4717,94
2025-04-28 00:00:00.000 UTC,2877,88
2025-04-29 00:00:00.000 UTC,1465,28
2025-04-30 00:00:00.000 UTC,1267,20
2025-05-01 00:00:00.000 UTC,573,7
2025-05-02 00:00:00.000 UTC,863,3
2025-05-03 00:00:00.000 UTC,558,3
2025-05-04 00:00:00.000 UTC,674,4
2025-05-05 00:00:00.000 UTC,825,3
2025-05-06 00:00:00.000 UTC,846,7
2025-05-07 00:00:00.000 UTC,252,5
2025-05-08 00:00:00.000 UTC,301,2
2025-05-09 00:00:00.000 UTC,286,7
2025-05-10 00:00:00.000 UTC,2666,37
2025-05-11 00:00:00.000 UTC,5201,60
2025-05-12 00:00:00.000 UTC,12232,182
2025-05-13 00:00:00.000 UTC,6889,98
2025-05-14 00:00:00.000 UTC,7869,138
2025-05-15 00:00:00.000 UTC,5032,61
2025-05-16 00:00:00.000 UTC,5549,52
2025-05-17 00:00:00.000 UTC,5038,49
2025-05-18 00:00:00.000 UTC,3325,18
2025-05-19 00:00:00.000 UTC,3752,31
2025-05-20 00:00:00.000 UTC,3850,39
2025-05-21 00:00:00.000 UTC,3075,17
2025-05-22 00:00:00.000 UTC,3124,31
2025-05-23 00:00:00.000 UTC,2500,21
2025-05-24 00:00:00.000 UTC,1727,12
2025-05-25 00:00:00.000 UTC,1988,15
2025-05-26 00:00:00.000 UTC,2348,16
2025-05-27 00:00:00.000 UTC,2155,13
2025-05-28 00:00:00.000 UTC,2186,36
2025-05-29 00:00:00.000 UTC,1735,11
2025-05-30 00:00:00.000 UTC,1088,5
2025-05-31 00:00:00.000 UTC,1040,3
2025-06-01 00:00:00.000 UTC,852,3
2025-06-02 00:00:00.000 UTC,1373,9
2025-06-03 00:00:00.000 UTC,1430,11
2025-06-04 00:00:00.000 UTC,1544,8
2025-06-05 00:00:00.000 UTC,922,7
2025-06-06 00:00:00.000 UTC,1501,7
2025-06-07 00:00:00.000 UTC,680,3
2025-06-08 00:00:00.000 UTC,640,4
2025-06-09 00:00:00.000 UTC,1210,17
2025-06-10 00:00:00.000 UTC,1473,27
2025-06-11 00:00:00.000 UTC,1069,17
2025-06-12 00:00:00.000 UTC,1105,11
2025-06-13 00:00:00.000 UTC,757,11
2025-06-14 00:00:00.000 UTC,569,7
2025-06-15 00:00:00.000 UTC,803,7
2025-06-16 00:00:00.000 UTC,1137,23
2025-06-17 00:00:00.000 UTC,820,9
2025-06-18 00:00:00.000 UTC,1547,16
2025-06-19 00:00:00.000 UTC,1442,23
2025-06-20 00:00:00.000 UTC,1376,18
2025-06-21 00:00:00.000 UTC,1198,12
2025-06-22 00:00:00.000 UTC,504,5
2025-06-23 00:00:00.000 UTC,1530,25
2025-06-24 00:00:00.000 UTC,1707,37
2025-06-25 00:00:00.000 UTC,1875,56
2025-06-26 00:00:00.000 UTC,3070,67
2025-06-27 00:00:00.000 UTC,915,9
2025-06-28 00:00:00.000 UTC,969,6
2025-06-29 00:00:00.000 UTC,882,6
2025-06-30 00:00:00.000 UTC,4418,40
2025-07-01 00:00:00.000 UTC,2048,21
2025-07-02 00:00:00.000 UTC,3875,55
2025-07-03 00:00:00.000 UTC,4533,53
2025-07-04 00:00:00.000 UTC,8225,72
2025-07-05 00:00:00.000 UTC,11953,135
2025-07-06 00:00:00.000 UTC,16797,179
2025-07-07 00:00:00.000 UTC,22062,235
2025-07-08 00:00:00.000 UTC,22309,215
2025-07-09 00:00:00.000 UTC,18582,179
2025-07-10 00:00:00.000 UTC,20696,219
2025-07-11 00:00:00.000 UTC,20550,178
2025-07-12 00:00:00.000 UTC,12709,106
2025-07-13 00:00:00.000 UTC,14804,115
2025-07-14 00:00:00.000 UTC,18571,194
2025-07-15 00:00:00.000 UTC,19344,210
2025-07-16 00:00:00.000 UTC,22966,298
2025-07-17 00:00:00.000 UTC,24008,263
2025-07-18 00:00:00.000 UTC,26601,276
2025-07-19 00:00:00.000 UTC,18061,147
2025-07-20 00:00:00.000 UTC,20266,156
2025-07-21 00:00:00.000 UTC,28872,243
2025-07-22 00:00:00.000 UTC,26860,284
2025-07-23 00:00:00.000 UTC,23926,257
2025-07-24 00:00:00.000 UTC,22233,216
2025-07-25 00:00:00.000 UTC,20232,238
2025-07-26 00:00:00.000 UTC,18495,183
2025-07-27 00:00:00.000 UTC,15626,139
2025-07-28 00:00:00.000 UTC,22554,265
2025-07-29 00:00:00.000 UTC,19593,246
2025-07-30 00:00:00.000 UTC,3066,48
