block_date,token_launches,token_graduations,token_migrations
2025-06-25 00:00:00.000 UTC,1,0,0
2025-06-27 00:00:00.000 UTC,6666,8,0
2025-06-28 00:00:00.000 UTC,8846,3,0
2025-06-29 00:00:00.000 UTC,4185,0,0
2025-06-30 00:00:00.000 UTC,2381,0,0
2025-07-01 00:00:00.000 UTC,2359,0,0
2025-07-02 00:00:00.000 UTC,1973,0,0
2025-07-03 00:00:00.000 UTC,895,0,0
2025-07-04 00:00:00.000 UTC,693,0,0
2025-07-05 00:00:00.000 UTC,482,0,0
2025-07-06 00:00:00.000 UTC,476,0,0
2025-07-07 00:00:00.000 UTC,2165,0,0
2025-07-08 00:00:00.000 UTC,1136,0,0
2025-07-09 00:00:00.000 UTC,1230,0,0
2025-07-10 00:00:00.000 UTC,1138,0,0
2025-07-11 00:00:00.000 UTC,1872,0,0
2025-07-12 00:00:00.000 UTC,2071,0,0
2025-07-13 00:00:00.000 UTC,2247,0,0
2025-07-14 00:00:00.000 UTC,2196,0,0
2025-07-15 00:00:00.000 UTC,2582,0,0
2025-07-16 00:00:00.000 UTC,3021,0,0
2025-07-17 00:00:00.000 UTC,2644,0,0
2025-07-18 00:00:00.000 UTC,3207,0,0
2025-07-19 00:00:00.000 UTC,3498,0,0
2025-07-20 00:00:00.000 UTC,4062,0,0
2025-07-21 00:00:00.000 UTC,3836,0,0
2025-07-22 00:00:00.000 UTC,3893,0,0
2025-07-23 00:00:00.000 UTC,3004,0,0
2025-07-24 00:00:00.000 UTC,2345,0,0
2025-07-25 00:00:00.000 UTC,2030,0,0
2025-07-26 00:00:00.000 UTC,1940,0,0
2025-07-27 00:00:00.000 UTC,1886,0,0
2025-07-28 00:00:00.000 UTC,1580,0,0
2025-07-29 00:00:00.000 UTC,1223,0,0
