block_date,token_launches,token_migrations
2024-03-01 00:00:00.000 UTC,22,0
2024-03-02 00:00:00.000 UTC,26,0
2024-03-03 00:00:00.000 UTC,14,1
2024-03-04 00:00:00.000 UTC,35,1
2024-03-05 00:00:00.000 UTC,10,0
2024-03-06 00:00:00.000 UTC,44,1
2024-03-07 00:00:00.000 UTC,36,1
2024-03-08 00:00:00.000 UTC,29,2
2024-03-09 00:00:00.000 UTC,48,2
2024-03-10 00:00:00.000 UTC,72,1
2024-03-11 00:00:00.000 UTC,437,7
2024-03-12 00:00:00.000 UTC,1237,13
2024-03-13 00:00:00.000 UTC,1942,23
2024-03-14 00:00:00.000 UTC,2959,17
2024-03-15 00:00:00.000 UTC,2825,21
2024-03-16 00:00:00.000 UTC,2388,6
2024-03-17 00:00:00.000 UTC,1749,10
2024-03-18 00:00:00.000 UTC,1383,8
2024-03-19 00:00:00.000 UTC,1289,10
2024-03-20 00:00:00.000 UTC,1267,11
2024-03-21 00:00:00.000 UTC,1960,17
2024-03-22 00:00:00.000 UTC,3048,34
2024-03-23 00:00:00.000 UTC,3367,28
2024-03-24 00:00:00.000 UTC,4099,25
2024-03-25 00:00:00.000 UTC,4400,32
2024-03-26 00:00:00.000 UTC,5257,40
2024-03-27 00:00:00.000 UTC,5523,35
2024-03-28 00:00:00.000 UTC,5964,54
2024-03-29 00:00:00.000 UTC,6224,45
2024-03-30 00:00:00.000 UTC,8428,74
2024-03-31 00:00:00.000 UTC,8609,73
2024-04-01 00:00:00.000 UTC,10903,109
2024-04-02 00:00:00.000 UTC,9481,98
2024-04-03 00:00:00.000 UTC,10697,106
2024-04-04 00:00:00.000 UTC,10036,89
2024-04-05 00:00:00.000 UTC,6651,71
2024-04-06 00:00:00.000 UTC,10321,82
2024-04-07 00:00:00.000 UTC,10394,88
2024-04-08 00:00:00.000 UTC,9662,85
2024-04-09 00:00:00.000 UTC,8975,122
2024-04-10 00:00:00.000 UTC,10827,103
2024-04-11 00:00:00.000 UTC,11944,126
2024-04-12 00:00:00.000 UTC,12485,86
2024-04-13 00:00:00.000 UTC,13125,89
2024-04-14 00:00:00.000 UTC,11907,73
2024-04-15 00:00:00.000 UTC,11970,83
2024-04-16 00:00:00.000 UTC,12232,89
2024-04-17 00:00:00.000 UTC,10603,63
2024-04-18 00:00:00.000 UTC,8042,56
2024-04-19 00:00:00.000 UTC,8649,61
2024-04-20 00:00:00.000 UTC,9196,57
2024-04-21 00:00:00.000 UTC,7580,51
2024-04-22 00:00:00.000 UTC,8295,64
2024-04-23 00:00:00.000 UTC,8565,83
2024-04-24 00:00:00.000 UTC,8383,55
2024-04-25 00:00:00.000 UTC,8313,65
2024-04-26 00:00:00.000 UTC,7025,62
2024-04-27 00:00:00.000 UTC,8007,79
