formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
09/10/2024,6221080.1718143625,2740,2740,36529,64801.686674321434
10/10/2024,5291222.424702545,2654,885,34288,56068.59245151146
11/10/2024,6062918.545765874,2596,578,34252,65827.99619478249
12/10/2024,6027038.37544849,2562,482,35454,66837.4162310064
13/10/2024,8100557.865280657,2656,456,37931,88112.53183352273
14/10/2024,10054270.357993234,3165,624,45527,106133.86581072524
15/10/2024,9150554.966364559,3210,564,45607,95907.78679475907
16/10/2024,10433226.983005881,3404,626,52120,111222.95459437599
17/10/2024,10319570.279077116,3298,514,49236,109447.68415042094
18/10/2024,10372655.832489971,3384,596,51131,108162.46946122525
19/10/2024,16475186.355047718,3553,574,65486,173082.4275446074
20/10/2024,9257595.603708046,3167,389,46224,100737.04462333463
21/10/2024,15327346.01651144,3616,501,59727,161770.7080496434
22/10/2024,14487651.922329722,3808,603,61782,156029.19626206293
23/10/2024,17848933.347149316,3733,489,62738,189513.4378933226
24/10/2024,22495757.42665757,3920,557,66571,235925.26201846584
25/10/2024,13508133.482033826,3641,475,55724,151577.78041966312
26/10/2024,9582830.513757829,3107,316,46314,106765.68380882044
27/10/2024,11054278.743810853,3187,330,49962,122264.61039116778
28/10/2024,10474736.566492416,3496,391,52850,111563.58184869167
29/10/2024,13652691.14934653,3756,454,58334,145240.50680011295
30/10/2024,11166859.089409785,3590,472,51065,118732.53591723189
31/10/2024,10756460.78326612,3583,424,51117,116171.83452507059
01/11/2024,8667697.205545131,3262,354,44965,96093.64467808939
02/11/2024,11455727.353087008,3227,384,45717,128997.02782394883
03/11/2024,13352445.407093141,3383,373,54853,155701.8602279307
04/11/2024,9768620.071546815,3532,363,52583,110019.35046913705
05/11/2024,8799097.355180966,3604,372,47377,95705.99764516854
06/11/2024,12501528.212163078,4046,446,57653,139053.7224165407
07/11/2024,12695137.936311694,3756,428,52208,136149.1544209236
08/11/2024,14007176.467157874,3908,503,54851,151393.34961423845
09/11/2024,9901512.414738942,3382,287,45117,106975.73906063077
10/11/2024,11969454.161846042,3572,346,44202,129496.07102994435
11/11/2024,20769119.548902825,4398,592,64281,232620.3064420582
12/11/2024,19695902.69711501,4358,523,63377,217166.72002520948
13/11/2024,26541970.192739442,5231,695,78740,300908.5738698365
14/11/2024,30851538.324750308,5735,882,91526,333489.0907496162
15/11/2024,30669114.681130145,5822,772,93767,342155.31621447625
16/11/2024,24477932.024712976,5215,585,82232,276071.2877191754
17/11/2024,39511037.488294266,5843,769,111416,442885.75193124864
18/11/2024,39828931.21699293,6471,975,121488,431243.51458035153
19/11/2024,42550239.13239163,6355,833,114131,472683.6618635
20/11/2024,43806996.16602268,6963,1074,137332,487890.71773108596
21/11/2024,36646006.90881798,6309,764,101113,410128.5217801716
22/11/2024,37453522.69480441,6024,700,105916,409372.36494265805
23/11/2024,26693522.713700913,5407,561,78701,303541.4538338197
24/11/2024,23116613.922507465,5019,453,76042,261035.74496656118
25/11/2024,25565766.275647875,5437,562,81108,286188.0315060203
26/11/2024,21361044.78799614,5153,539,80274,233093.03192330652
27/11/2024,24941958.399440635,5259,547,84663,281943.1660470251
28/11/2024,23214847.02175389,5346,579,77311,262809.5286915095
29/11/2024,19047368.561078466,4862,528,65723,208803.09153176582
30/11/2024,15133208.586226206,4336,411,58187,162042.5373779495
01/12/2024,14880530.408702767,4231,350,53672,163275.05975821635
02/12/2024,15909625.942456614,4492,426,58245,180929.53006347638
03/12/2024,15760168.9030482,4482,441,54104,176076.3405383382
04/12/2024,13625940.371948794,4326,416,47502,151009.78696009042
05/12/2024,13531722.994079137,4143,339,49380,147996.2993363538
06/12/2024,12253617.023712726,3826,373,43505,136251.43917590997
07/12/2024,13272099.514708653,3565,257,41298,156257.9824054938
08/12/2024,11444196.527178943,3512,288,38872,131499.9228271002
09/12/2024,14934024.263140405,4070,364,51734,164291.49840056524
10/12/2024,16816001.574396633,4069,346,55617,185015.68131759987
11/12/2024,19206921.889127407,4227,372,58913,218020.0001158499
12/12/2024,21365983.133184027,4194,353,61694,243311.28649606596
13/12/2024,21060694.578016467,3991,332,59890,246540.23333644826
14/12/2024,16579153.267485486,3679,286,50246,191493.27586530542
15/12/2024,12608735.233445873,3579,266,47100,140038.4216012087
16/12/2024,15368606.985926043,3983,328,54649,174204.87060676902
17/12/2024,14061815.446423186,4374,488,48973,159745.5665386015
18/12/2024,16667788.375816671,3943,344,51381,202909.57934746673
19/12/2024,15599150.807247225,3940,411,54184,188526.91945187873
20/12/2024,16305752.780534146,3543,245,53722,193410.22353303633
21/12/2024,14912168.393830204,3319,265,51546,180903.58079202563
22/12/2024,10661763.825391028,3224,249,46827,117862.96789577248
23/12/2024,10094815.132918635,3389,275,45596,113141.00966839478
24/12/2024,8185919.34836455,3113,281,40661,90815.13168986642
25/12/2024,8416316.755247086,3021,258,36617,99054.81091834714
26/12/2024,12051040.888830753,3525,330,50888,140787.23046832636
27/12/2024,10965964.726798669,3238,226,51685,121792.63234309533
28/12/2024,10241823.251587998,3205,244,45990,118398.72534145117
29/12/2024,12303506.231410079,3285,248,44918,153585.96112632606
30/12/2024,12418295.599981826,3369,309,46802,148062.28249264843
31/12/2024,13372492.448630773,3268,230,44159,159987.9982767927
01/01/2025,12111547.037539525,3364,259,46144,139397.1625185999
02/01/2025,16706022.653998548,3901,297,60119,196379.7497232128
03/01/2025,19427402.08641627,4053,400,65535,222890.5779625111
04/01/2025,14375205.899903711,3827,344,55123,159523.59692742565
05/01/2025,17543167.837543275,3881,331,57280,210563.4448047695
06/01/2025,18984215.655722357,4042,275,59443,233174.0465920473
07/01/2025,17197761.032613948,3909,341,57512,204594.40409813984
08/01/2025,16549733.625468666,3903,312,58366,202166.53091565616
09/01/2025,14883506.31480295,3811,290,55999,179739.51683037222
10/01/2025,13760920.836078864,3745,312,53589,159342.93685653602
11/01/2025,13509248.82341932,3685,411,48916,162937.8845693136
12/01/2025,13516089.652520742,3584,271,50967,161780.6045901578
13/01/2025,11421712.915428678,3648,312,47634,136294.5288797228
14/01/2025,14546537.984865677,3953,476,59502,168263.7305611972
15/01/2025,13454367.950029079,3886,476,52807,155244.5727759091
16/01/2025,15637194.768172767,3728,383,51356,183356.52685514488
17/01/2025,15725988.385673594,3705,415,47228,188892.13216585957
18/01/2025,39798278.89596412,5131,642,62123,460848.53021328535
19/01/2025,54331536.44404384,6095,929,87416,641211.949686269
20/01/2025,63758009.794581994,5998,847,94974,776850.354669196
21/01/2025,47339869.957762286,4723,505,77562,589084.2157830464
22/01/2025,24723274.869831245,4526,478,68696,273338.02471185144
23/01/2025,50984579.49354281,5265,527,103992,575598.301401609
24/01/2025,42315301.49268559,4937,478,93758,499600.690127211
25/01/2025,25691034.75454321,4321,346,71091,301464.12358224165
26/01/2025,26480420.406493664,4221,309,71495,309548.4665745887
27/01/2025,29131990.977853082,4516,442,79126,352190.8575929382
28/01/2025,22883343.35713989,4504,537,69164,265099.90893475694
29/01/2025,19990836.068491876,4148,363,62964,230494.102170575
30/01/2025,38524939.896470614,4432,435,84833,462370.3441682336
31/01/2025,25844491.6361858,4174,383,68885,319702.495087003
01/02/2025,14805880.249153987,3537,294,49090,180432.62628208363
02/02/2025,9124054.423520567,2974,222,39083,107487.4495642668
03/02/2025,11786076.174391376,3300,281,42476,137424.43054150735
04/02/2025,10967536.790458126,3432,304,42306,122296.79580178506
05/02/2025,13770704.781695612,3570,352,47819,166915.81721344712
06/02/2025,9611333.884773592,3387,346,41905,106043.30128059855
07/02/2025,11755103.155469544,3517,421,46938,129680.58388792168
08/02/2025,8226766.317962473,3008,271,34899,95175.8619512305
09/02/2025,16403237.673383549,3331,223,47187,198517.26321055164
10/02/2025,20272238.0319027,3882,375,58540,248545.4360063078
11/02/2025,16030712.395646472,3836,330,56918,177709.40422094887
12/02/2025,10026908.924223484,3497,296,46939,109454.25439646326
13/02/2025,7515198.197289453,3218,268,33244,88435.75754664832
14/02/2025,10964907.264425818,3167,295,34257,116975.60614627754
15/02/2025,8613304.367384199,2756,228,29478,92837.24055055705
16/02/2025,5409331.506600068,2526,199,26824,57591.20383897379
17/02/2025,5342488.857791553,2620,197,27940,55449.214854502774
18/02/2025,4538604.880173623,2598,209,26180,48457.23020130822
19/02/2025,4779226.742066167,2603,222,27325,51139.25745004884
20/02/2025,5755246.782907183,2710,233,27272,66287.1005631022
21/02/2025,5131726.223649735,2555,230,26042,54011.8625861669
22/02/2025,3873653.8981967787,2306,214,21786,41753.10959678876
23/02/2025,4532081.3821184905,2354,215,21971,50959.51893804803
24/02/2025,4448495.45804069,2331,155,21922,48531.24844233604
25/02/2025,4032199.606452196,2325,204,21218,43609.4765625687
26/02/2025,3201677.7645572247,2173,144,20763,34114.43156820291
27/02/2025,3247895.7846873375,2354,269,23073,34657.495266705606
28/02/2025,2580148.765545425,2066,164,19618,26930.151635772832
01/03/2025,2004417.363724764,1862,146,17141,20776.924229401204
02/03/2025,3561506.113181006,2355,265,22208,38076.72129833121
03/03/2025,3538609.227413377,2393,249,22837,37049.30348883753
04/03/2025,3242605.241428495,2140,219,21220,35311.55184564894
05/03/2025,4336449.765860037,2542,314,28383,45282.5849397902
06/03/2025,3710096.0111771654,2473,289,26481,38225.82800408053
07/03/2025,7376896.121539556,2724,271,33075,79467.05654933008
08/03/2025,4085127.5647951625,2876,773,23870,42568.72296765769
09/03/2025,3148908.216062934,2462,379,20792,32060.810227200956
10/03/2025,3131806.5142978863,1978,148,22952,34336.26538635813
11/03/2025,2812775.000376442,1919,134,21042,29608.239254193475
12/03/2025,3810758.814051894,2605,434,25473,40863.96570050749
13/03/2025,3813199.6271650675,2268,219,25262,42398.09402321501
14/03/2025,3137497.8738205596,2585,379,24358,33240.30725784792
15/03/2025,4256115.0108436635,2432,216,24445,48913.07238463071
16/03/2025,2639307.324183574,1808,130,19162,28941.502903165594
17/03/2025,3107348.3864444415,2175,187,24252,32767.9907924268
18/03/2025,2381348.1099460083,2462,240,19548,24227.495257386585
19/03/2025,2370509.828053178,2165,181,19405,24907.184700604448
20/03/2025,2642597.251485479,2641,271,18728,24340.48738697815
21/03/2025,1454490.1413047751,1551,131,12773,15226.122540040198
22/03/2025,1790418.2169518478,2622,264,15722,18367.02709153225
23/03/2025,2887459.378565377,2535,223,20162,33070.391355367676
24/03/2025,5345286.917720081,3590,312,31999,57554.775740991085
25/03/2025,4612613.954648566,2235,186,25166,50913.5056445238
26/03/2025,4876166.035725404,3471,213,28339,49298.81674087382
27/03/2025,4462579.937913746,2134,184,26220,54799.99088745354
28/03/2025,5097991.105309298,2723,215,33640,56289.69518087827
29/03/2025,4365759.11398827,3127,203,28220,42847.50463049123
30/03/2025,3218063.596903549,2180,154,22865,31993.00811011545
31/03/2025,4749420.701588638,3381,153,29157,46068.61168567826
01/04/2025,4493533.483647655,2109,156,29926,48247.65454208425
02/04/2025,4021428.7602565023,2052,159,25661,42901.159191386985
03/04/2025,3335655.0381110627,2023,172,23715,36828.92612959417
04/04/2025,2947887.924411199,1966,174,22622,31633.104844428988
05/04/2025,3344267.982104932,1968,157,24477,35544.210539204265
06/04/2025,3317712.349672532,1880,155,22348,37111.36838135728
07/04/2025,4521490.525033453,2034,170,27721,53157.98066796576
08/04/2025,4295310.501400636,2247,204,32440,46180.9004106211
09/04/2025,4885372.911422434,3690,266,35911,48468.219248455214
10/04/2025,3906612.1029900126,3292,196,30878,40658.301272685814
11/04/2025,3822452.838834996,2930,180,28909,38831.37804445732
12/04/2025,4350898.773245665,3164,217,29782,44247.75686446216
13/04/2025,4000289.377830928,3095,174,26738,42453.43652315781
14/04/2025,4702590.801010741,2369,218,29754,51008.80595978644
15/04/2025,5766077.986530145,2858,239,33247,64771.310440838715
16/04/2025,6096773.840211867,3701,264,35353,60048.08605769737
17/04/2025,4946170.6631326,2359,252,31229,52989.45024359394
18/04/2025,5165475.1029488025,3665,258,30362,50070.000517693894
19/04/2025,3690249.7020328166,2187,173,23417,40888.30340586815
20/04/2025,3270893.5877191545,2577,137,21041,34640.90250818949
21/04/2025,4962399.42767393,3046,264,31340,52557.62464016358
22/04/2025,5372901.798666913,3716,263,31418,54229.00464465029
23/04/2025,6462163.583908348,4050,242,36145,60348.238234374
24/04/2025,5996719.25370492,2682,280,29185,66983.07836729365
25/04/2025,8171315.23466396,2629,308,34713,97965.27762665252
26/04/2025,6721794.254292629,2284,190,31059,88799.58173960277
27/04/2025,4706200.513593352,2214,189,27732,51879.60039688379
28/04/2025,7181930.655631718,2593,268,34419,99035.08568377556
29/04/2025,5996181.680677084,2547,237,30837,71511.69050034191
30/04/2025,6304346.968588964,2476,173,34690,71183.47491336064
01/05/2025,9104361.503080234,2736,276,38448,114317.77672588549
02/05/2025,5992366.490771218,2654,247,32796,70867.44235916715
03/05/2025,8253410.291238532,2566,160,27061,146601.86495397927
04/05/2025,5001818.555435148,2199,140,27099,61182.69056696807
05/05/2025,4321997.539281585,2246,218,26920,51299.064578172685
06/05/2025,5997397.747178776,2345,221,29246,76726.36064829775
07/05/2025,4856964.506048012,2257,192,28626,58258.64691664469
08/05/2025,5471804.227367348,2659,355,33070,57544.23258661653
09/05/2025,4317669.380879329,2277,220,25707,45510.17513563619
10/05/2025,4037471.656380677,2104,213,23139,42784.08812519115
11/05/2025,3748859.44222775,2003,134,22047,39025.997256610135
12/05/2025,6204012.737105766,2574,341,33464,66869.89612786908
13/05/2025,11898962.854400558,2808,334,37888,158540.93398504984
14/05/2025,11010966.801427588,2637,262,35903,143968.29094384142
15/05/2025,8491660.303174615,2734,418,30969,105263.38150608409
16/05/2025,6281917.119837159,2592,507,28850,78724.71305192779
17/05/2025,5542518.137045667,2369,364,27979,58362.396899255844
18/05/2025,4989900.055317193,2349,493,25249,53730.41585529455
19/05/2025,5177127.874996099,2441,399,25365,59007.13152082051
20/05/2025,5583585.229590139,2674,528,28356,57530.38652793296
21/05/2025,5827948.841799078,2620,537,26799,72048.33695334461
22/05/2025,6215091.665876053,2693,512,29065,72279.44766279314
23/05/2025,4552484.673346015,2394,367,26870,50024.00966232779
24/05/2025,3523511.274453403,2150,414,21629,38188.45373136122
25/05/2025,4081466.5947274272,2032,291,21150,49706.369503276524
26/05/2025,4276001.253132661,2361,390,23600,47388.64480963717
27/05/2025,5730925.731054199,2275,342,22770,68311.76303992314
28/05/2025,3747455.0500150863,2154,331,21138,43513.81112768938
29/05/2025,3500984.455620813,2164,301,21108,40660.07686279549
30/05/2025,2768288.990365064,1948,275,18337,32187.77200379755
31/05/2025,2500667.4220234393,1861,231,18344,27341.15256771305
01/06/2025,3187812.399225482,2055,431,21807,36735.100170150086
02/06/2025,3231190.577966811,2095,388,24186,36371.923703791916
03/06/2025,3693266.0477445973,2351,377,23096,42731.13708465273
04/06/2025,2769270.105736432,2033,291,19032,31311.091051811927
05/06/2025,4253308.565563844,2261,243,26946,48681.82890804737
06/06/2025,3654944.798846355,1974,214,20610,42358.29614634899
07/06/2025,2352479.53402894,1619,141,16382,28183.741785303573
08/06/2025,2588073.2975415234,1636,156,16062,32146.163011487723
09/06/2025,4458116.517986089,2040,345,20531,59423.40280003104
10/06/2025,4269048.606907154,2061,246,20550,53047.267124832644
11/06/2025,3335676.4441855135,2171,430,19474,40391.190369133845
12/06/2025,3598152.191855776,2086,340,18245,49131.079291465605
13/06/2025,2554820.207515751,1852,200,16297,33460.92048367504
14/06/2025,2565316.692578189,2067,532,15827,29586.212417852745
15/06/2025,3627930.309894855,1823,307,17448,57571.67391369703
16/06/2025,4185122.0938354977,2254,399,22995,48306.63272865254
17/06/2025,3191286.821090691,1769,211,16957,45793.04011342706
18/06/2025,2555295.4535858734,1786,316,14590,30544.079559407382
19/06/2025,2629464.2327555926,1735,251,15622,31144.26323328744
20/06/2025,2346195.239133769,1751,288,16121,24445.20649579863
21/06/2025,2094179.6942641083,1563,151,14943,21871.145229683294
22/06/2025,1767590.3101599952,1558,202,16886,17844.140130405183
23/06/2025,1806175.944741263,1655,247,15475,18518.75020795501
24/06/2025,2290254.6561942557,1734,264,16486,24248.720856224652
25/06/2025,3406624.0140064126,1729,257,19181,38280.48954361381
26/06/2025,2424233.7669549803,1769,239,18596,25082.07034893264
27/06/2025,2676007.431077608,2086,501,17899,28497.61137192872
28/06/2025,2283282.708681128,1765,353,15997,24979.441583326097
