formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
26/07/2024,2788.2818887092085,7,7,54,5.58851560015
27/07/2024,101.18117537599,3,1,4,0.20192623185
28/07/2024,2621.0775702559304,16,13,36,5.267468306980001
29/07/2024,2618.83530725554,12,9,94,5.451246648099999
30/07/2024,4083.9032535671395,6,2,128,12.2937275765
31/07/2024,3578.5393892970205,27,20,171,9.1739153491
01/08/2024,145916.64812144203,275,266,2692,513.1096339506398
02/08/2024,273038.1711773751,372,230,4922,962.28330277446
03/08/2024,317637.27836789924,304,113,4462,1120.05662778465
04/08/2024,265621.23069791694,306,93,5333,948.15708677518
05/08/2024,268607.09608688526,397,159,5083,966.3831134279301
06/08/2024,454022.63985129277,513,205,8426,1615.556635658861
07/08/2024,550827.8257016141,446,156,7828,1931.9986536264003
08/08/2024,499334.2696089071,496,143,9538,1768.5660375118396
09/08/2024,564830.668375972,426,116,8564,1995.5881119575201
10/08/2024,443589.3871835041,455,113,8480,1559.2180590910993
11/08/2024,648346.4720467273,523,180,12756,2382.380933225721
12/08/2024,712373.8232347519,604,153,12622,2534.39499576428
13/08/2024,779975.9558509686,583,120,11330,2752.46145925883
14/08/2024,766249.0685693861,594,165,12793,2724.045407954429
15/08/2024,1014166.304615558,677,245,14747,3624.876155580119
16/08/2024,841658.6627474752,609,123,13170,3018.5654073947994
17/08/2024,827113.7209704383,480,82,11956,2877.75323048096
18/08/2024,975704.7820484827,522,94,15090,3421.3508096935507
19/08/2024,1107357.0746199908,690,185,14978,3890.6713714868683
20/08/2024,545782.8268095955,469,83,9049,1916.1660742523009
21/08/2024,523186.2818021016,439,66,7787,1828.6446776219705
22/08/2024,492511.716051496,395,53,7233,1578.4873627272898
23/08/2024,676375.1337401123,512,122,10536,5109.40849521332
24/08/2024,557213.7605216448,522,146,7646,4494.312597529762
25/08/2024,500702.80322429043,409,73,7340,4078.255228435309
26/08/2024,607914.425802336,500,110,7976,4938.135278734911
27/08/2024,541787.3220221605,454,97,8242,4366.811416761531
28/08/2024,606817.0091337,487,118,8230,4809.31337802942
29/08/2024,373741.304850905,446,92,6989,2986.235738539891
30/08/2024,278130.74705556326,439,103,5848,2269.2140335283502
31/08/2024,321449.7862651098,361,88,6340,2553.2210124147305
01/09/2024,280657.73895099235,326,47,7277,2251.94071740981
02/09/2024,313665.3083980606,362,52,6859,2527.5049122744376
03/09/2024,345734.57617399277,372,61,7213,2760.1430448765004
04/09/2024,336243.5220399507,339,47,7125,2682.67609418413
05/09/2024,415136.20768151677,394,66,7937,3304.51047562741
06/09/2024,362877.93164996593,380,86,7138,2898.0984428119095
07/09/2024,280880.79864322627,326,45,6656,2250.798599684821
08/09/2024,219708.68198469665,308,40,6320,1757.4880868581793
09/09/2024,304597.17155025736,373,42,7909,2438.9017335710596
10/09/2024,351563.3815502807,388,70,7128,2801.8859804671406
11/09/2024,328908.0673899523,360,78,5790,2629.499481415619
12/09/2024,302272.82764986664,345,45,5649,2418.6279880931893
13/09/2024,223192.01219435653,370,71,4562,1766.4853142641305
14/09/2024,167925.751792606,269,41,3646,1342.17536538596
15/09/2024,228303.98986459314,274,25,5327,1830.6157926252693
16/09/2024,244633.15150771968,316,53,4742,1954.7762805776
17/09/2024,361199.7983579489,319,66,4422,2857.7401003664795
18/09/2024,269482.2585043317,306,40,5039,2143.5466411154803
19/09/2024,282643.4036705744,383,82,4623,2271.8907419615216
20/09/2024,291361.5477832386,328,56,5037,2361.3015980140003
21/09/2024,427322.2423345119,365,72,5561,3675.8389989457705
22/09/2024,422284.0054184296,364,57,5769,3431.7364184732005
23/09/2024,564369.1262511658,423,109,6521,4610.65079328875
24/09/2024,503582.23286533426,388,54,5675,4241.3899721319785
25/09/2024,466528.57390074653,453,114,6704,3680.7439023277693
26/09/2024,779518.2559467646,505,128,8224,6226.29044848732
27/09/2024,1098837.4162286571,561,170,11239,8963.871127803179
28/09/2024,1129594.937061185,589,188,12374,9108.903782988975
29/09/2024,1058522.9742864005,567,128,12526,8451.494908731338
30/09/2024,1021893.5285587574,629,154,12601,8160.604749803479
01/10/2024,719899.7550813988,528,104,9672,5705.2432914314895
02/10/2024,1485815.6486777137,651,180,15583,11806.540790298044
03/10/2024,1415900.7108044042,687,172,15002,8333.23225334393
04/10/2024,1011021.2443381511,635,161,12169,8067.360196066373
05/10/2024,1053585.8101284797,591,124,14018,8244.222129691922
06/10/2024,984109.0412218762,634,174,13087,5614.094622836027
07/10/2024,1177943.9519230733,727,195,13011,9247.090655127344
08/10/2024,1115875.0582267165,610,138,11377,8741.135233625864
09/10/2024,1037045.6726234928,680,167,12280,8379.199765172742
10/10/2024,1044887.5132675195,724,222,11746,8208.347035763909
11/10/2024,1150273.6760825391,783,219,13074,9144.69898714936
12/10/2024,1101856.7853057687,758,280,13311,8810.016669197543
13/10/2024,1368690.8470792144,850,251,15998,10816.05404660717
14/10/2024,1870629.3888610222,881,183,18808,14787.08539884732
15/10/2024,3381647.056503321,1072,363,22109,19080.545519719086
