formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
16/07/2024,25780.653000000002,7,7,11,257.80653
17/07/2024,51541.5074,11,8,26,515.415074
18/07/2024,49601.5366,121,117,260,496.015366
19/07/2024,124949.0761,157,127,382,1249.490761
20/07/2024,555416.4142,155,76,458,5554.164142
21/07/2024,75777.8689,172,86,476,757.778689
22/07/2024,144651.20119999998,151,69,364,1446.512012
23/07/2024,55259.1728,150,63,436,552.591728
24/07/2024,78360.8154,138,55,376,783.608154
25/07/2024,48990.247299999995,123,28,321,489.902473
26/07/2024,130407.28059999998,140,52,376,1304.072806
27/07/2024,60203.523700000005,116,36,320,602.035237
28/07/2024,396596.8864,116,30,376,3965.968864
29/07/2024,418758.4079,160,74,470,4187.584079
30/07/2024,102747.9783,113,42,336,1027.479783
31/07/2024,30818.422399999996,131,51,257,308.184224
01/08/2024,46017.846300000005,118,40,234,460.178463
02/08/2024,30311.0101,102,35,183,303.110101
03/08/2024,11658.9377,66,13,132,116.589377
04/08/2024,33269.980800000005,63,13,133,332.699808
05/08/2024,33219.525499999996,88,33,212,332.195255
06/08/2024,53433.9777,116,40,322,534.339777
07/08/2024,46295.583699999996,91,24,312,462.955837
08/08/2024,287596.5804,183,61,781,2875.965804
09/08/2024,142839.9692,121,28,447,1428.399692
10/08/2024,63849.1728,76,13,231,638.491728
11/08/2024,19211.4268,51,11,135,192.114268
12/08/2024,20807.7673,70,22,193,208.077673
13/08/2024,63790.7416,106,29,305,637.907416
14/08/2024,36592.395,99,27,206,365.92395
15/08/2024,58439.95629999999,94,31,251,584.399563
16/08/2024,101531.4926,103,28,366,1015.314926
17/08/2024,97396.6937,77,23,201,973.966937
18/08/2024,48715.4783,70,10,181,487.154783
19/08/2024,64955.6372,120,29,353,649.556372
20/08/2024,59518.744900000005,98,15,316,595.187449
21/08/2024,38303.4162,64,7,181,383.034162
22/08/2024,59665.59099999999,84,20,229,596.65591
23/08/2024,82440.207,120,25,329,824.40207
24/08/2024,77434.4151,103,10,284,774.344151
25/08/2024,92439.7022,89,13,224,924.397022
26/08/2024,77276.19499999999,113,14,398,772.76195
27/08/2024,65123.682499999995,116,24,493,651.236825
28/08/2024,46963.1071,92,10,317,469.631071
29/08/2024,51446.744699999996,91,21,278,514.467447
30/08/2024,47642.7011,80,17,188,476.427011
31/08/2024,29573.4191,67,13,154,295.734191
01/09/2024,24377.564300000002,56,9,162,243.775643
02/09/2024,34834.885500000004,85,31,219,348.348855
03/09/2024,75328.25420000001,89,16,430,753.282542
04/09/2024,35172.8962,79,15,299,351.728962
05/09/2024,21915.426199999998,66,11,189,219.154262
06/09/2024,51564.8812,74,15,300,515.648812
07/09/2024,47217.670099999996,45,3,274,472.176701
08/09/2024,50857.187699999995,56,9,288,508.571877
09/09/2024,59575.1338,92,17,297,595.751338
10/09/2024,61319.478500000005,95,13,399,613.194785
11/09/2024,50816.7674,84,7,314,508.167674
12/09/2024,36030.1693,65,7,222,360.301693
13/09/2024,64614.667199999996,102,17,388,646.146672
14/09/2024,40286.354999999996,79,17,259,402.86355
15/09/2024,34443.087100000004,82,16,244,344.430871
16/09/2024,58641.4949,102,27,350,586.414949
17/09/2024,34057.1841,105,20,348,340.571841
18/09/2024,114201.9998,145,30,549,1142.019998
19/09/2024,267220.2127,2945,2778,5371,2672.202127
20/09/2024,245718.7973,563,315,2355,2457.187973
21/09/2024,252806.8642,270,56,1421,2528.068642
22/09/2024,312739.6538,293,102,1075,3127.396538
23/09/2024,373066.8005,325,87,2019,3730.668005
24/09/2024,368087.6595,396,97,1956,3680.876595
25/09/2024,671295.4032,604,211,2530,6712.954032
26/09/2024,749856.0643,1354,829,4845,7498.560643
27/09/2024,2.3803226639e+06,3458,2464,12682,23803.226639
