formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
21/05/2025,27092.273448861815,22,22,134,270.4453959080201
22/05/2025,235096.04492654334,72,57,1343,2347.2029827417105
23/05/2025,208951.80964659067,85,43,1305,2087.4588860006893
24/05/2025,220854.3874747873,89,30,1629,2204.21316740022
25/05/2025,113109.58254169536,60,15,1074,1128.8657612071702
26/05/2025,191017.76688520348,82,22,1587,1909.42441959769
27/05/2025,338256.8777659889,177,116,3011,3374.9370980651593
28/05/2025,714614.7591296083,325,209,6827,7127.466175386405
29/05/2025,675223.6148106823,349,174,7408,6739.54520959191
30/05/2025,752576.1905337323,345,132,8002,7505.779977062294
31/05/2025,727790.4248574036,352,143,8261,7263.559109021835
01/06/2025,919818.5341003627,391,145,9641,9175.876631824112
02/06/2025,1109894.5480152853,444,176,11383,11080.502506801186
03/06/2025,802335.31092976,647,324,12273,8006.08177044067
04/06/2025,1150318.3818620672,586,239,15970,11470.606380344556
05/06/2025,1467751.9438842884,683,260,20886,14657.157719601446
06/06/2025,948303.4980226094,597,174,15800,9459.367669434767
07/06/2025,524653.8232758365,465,152,10691,5233.000364533359
08/06/2025,610629.6325224114,496,145,12168,6090.9902616769305
09/06/2025,642309.4657972394,594,196,12463,6409.803060019578
10/06/2025,1252919.7308020454,682,210,17823,12499.498484132419
11/06/2025,948785.3059498392,601,165,14014,9465.733823801369
12/06/2025,1089493.7329498164,602,165,14445,10867.844456682134
13/06/2025,922444.2705538801,584,165,14639,9199.969160517263
14/06/2025,621928.2984008902,518,126,11525,6202.169153526798
15/06/2025,523871.33832453063,480,129,11631,5225.685268779232
16/06/2025,965648.5398486673,562,149,14841,9634.57791604149
17/06/2025,585983.1995988511,505,159,11123,5846.467341236367
18/06/2025,505893.8298218296,448,128,10314,5046.680628339838
19/06/2025,427813.56728137675,452,105,9365,4271.751362105228
20/06/2025,520363.9012231493,495,129,12613,5194.185686440441
21/06/2025,546789.3820411825,470,119,11472,5456.027375617277
22/06/2025,538611.2025086423,430,97,11079,5373.506011965376
23/06/2025,594269.923936937,474,124,11376,5928.281102526609
24/06/2025,511759.9590220755,477,122,11158,5106.323176008862
25/06/2025,714273.5887751684,504,160,13615,7127.450082099312
26/06/2025,674690.7014535875,464,108,12922,6731.460924938251
27/06/2025,415388.3392069659,381,93,7931,4144.098754281515
28/06/2025,303267.4433176545,326,76,6763,3025.749153797541
29/06/2025,311083.36239735066,320,86,7002,3104.207522776046
30/06/2025,449784.5686289893,346,95,7883,4488.928805726346
01/07/2025,425981.1134519366,349,95,8023,4250.9929927460325
02/07/2025,429062.98132911674,368,96,8767,4281.749907958718
03/07/2025,334377.4640463123,315,81,6383,3336.6345270993706
04/07/2025,395540.9590429712,344,88,8129,3949.36400486121
05/07/2025,306536.93432986847,328,97,5263,3062.920776506759
06/07/2025,171756.2181846169,322,72,5759,1716.6032240548593
07/07/2025,342646.06998724316,380,104,7854,3426.1784985701597
08/07/2025,256715.6232065748,397,123,8122,2567.091175632681
09/07/2025,305467.5066553526,435,145,8012,3051.9709266574705
10/07/2025,303536.6219192576,434,148,9674,3033.7718339240023
11/07/2025,197605.95210892093,372,120,7691,1974.90661263299
12/07/2025,145157.31007819087,286,87,5346,1449.7887396531003
13/07/2025,73160.48223030563,203,78,3383,731.1746128181493
14/07/2025,138016.75780028748,300,108,5339,1379.337259502299
15/07/2025,393395.6437567403,422,227,9083,3932.273271530997
16/07/2025,256325.7122081997,371,149,7745,2561.67201936216
17/07/2025,265822.02372629027,391,152,8482,2656.686680954009
18/07/2025,351955.5113423921,395,139,9378,3519.38236669104
19/07/2025,292152.58140888077,351,128,7584,2920.48669048822
20/07/2025,314049.8093510154,380,150,8394,3143.70398418086
21/07/2025,370147.6433299626,475,210,9594,3699.8077677795186
22/07/2025,360884.9780367305,500,175,9836,3610.743353679869
23/07/2025,351910.5691607082,427,151,9309,3518.5538246212714
24/07/2025,125465.7337641989,321,120,5298,1254.46190432208
25/07/2025,323363.3625304396,323,124,8011,3233.2949968359285
26/07/2025,286239.1540211283,306,111,7562,2861.9234506516204
27/07/2025,162864.88709557173,263,103,5378,1628.3866844984998
28/07/2025,199953.68963142094,300,111,5945,1999.1688590185615
29/07/2025,307032.32504940353,293,105,7796,3069.389113793581
30/07/2025,218697.25306342228,241,68,5453,2188.65926004049
31/07/2025,8714.560808940869,25,1,283,87.13046660057002
