formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
30/11/2024,6331.667744093319,6,6,29,63.25234060693999
01/12/2024,487531.7081208135,71,65,2197,4815.9743633693215
02/12/2024,508004.2872604875,212,167,4807,5045.363315001962
03/12/2024,1766710.904931198,563,431,12751,17569.723710772694
04/12/2024,2486781.663174237,749,408,15534,24679.832590861195
05/12/2024,2333508.02862653,836,332,16489,23192.28974892072
06/12/2024,2371186.432462172,815,247,15272,23562.29516774276
07/12/2024,2457752.5530755953,861,317,16888,24467.936504878435
08/12/2024,2843856.5993695846,917,274,18204,28285.396011130375
09/12/2024,3339628.090201315,1184,410,24270,33185.45056908382
10/12/2024,4559981.428602845,1345,426,29124,45277.99245768046
11/12/2024,4608952.553512754,1525,508,33423,45800.811738847486
12/12/2024,4458176.415629218,1403,404,31485,44366.88952490944
13/12/2024,5476571.048643559,1401,375,37031,54553.596401713105
14/12/2024,5216515.139605761,1600,527,41238,51943.8782490057
15/12/2024,3737734.6441311985,1540,425,31707,37223.41435371618
16/12/2024,4360678.787361933,1602,438,33168,43375.01142413808
17/12/2024,5096605.995130152,2096,716,40220,50660.18209434375
18/12/2024,5970388.462869172,1988,543,47059,59376.621884315246
19/12/2024,5456796.7973723095,2174,626,50649,54344.05587524108
20/12/2024,6993687.916530326,2115,555,52567,69821.29786646905
21/12/2024,5995224.244718069,2212,592,56383,59828.36677868178
22/12/2024,6506533.953511888,2306,580,64683,64792.33166319152
23/12/2024,7566816.728897048,2615,627,71344,75335.16607904057
24/12/2024,6571562.356738291,2557,565,66166,65410.52543386614
25/12/2024,6185829.507945385,2396,499,59976,61592.032769031335
26/12/2024,10944980.883080339,3190,832,98019,108980.56399313195
27/12/2024,10731552.549089829,3611,974,103054,106723.82665732603
28/12/2024,10114534.225434365,3577,846,99908,100716.32358603358
29/12/2024,9644540.42604065,3818,880,98228,96282.01835018954
30/12/2024,11611987.814878225,4074,934,112364,115734.729897008
31/12/2024,11500882.928493688,4153,852,107517,114697.59492121529
01/01/2025,11890217.915390383,4258,828,112349,118598.56601353126
02/01/2025,15970180.525976356,5087,1092,146551,159065.4789862137
03/01/2025,19165482.04322598,5765,1288,162944,191169.70738871215
04/01/2025,18388859.173585825,5782,1282,158033,183157.60920530025
05/01/2025,17463571.05529562,6122,1325,151051,174105.89868978236
06/01/2025,16193787.397796443,6128,1380,146055,161291.28024775066
07/01/2025,19178730.62193979,6649,1397,173076,190876.60496292336
08/01/2025,18907725.205290187,6947,1452,185610,188298.57278181805
09/01/2025,21869922.510118682,7247,1432,210553,217835.4674324865
10/01/2025,18942692.86388502,6923,1221,198149,188676.83693026294
11/01/2025,21502350.252851747,7596,1448,221935,213947.69771216827
12/01/2025,21896435.854456563,7254,1156,233396,218211.53721888975
13/01/2025,16974286.62721673,7110,1156,185223,168177.82924449095
14/01/2025,20852155.62932022,7654,1250,226219,207499.6463905553
15/01/2025,19633559.04986143,7748,1320,204535,195270.63450615807
16/01/2025,18602327.3891695,7744,1297,193602,185278.0264599057
17/01/2025,20788465.281905912,7764,1379,194031,207080.78276619592
18/01/2025,28774571.13042924,9080,1498,230225,286314.929337356
19/01/2025,36993215.9120874,10043,1758,236462,368605.268828054
20/01/2025,32682043.48003096,9963,1902,221359,326549.9676412511
21/01/2025,27401389.37998766,7743,1378,171797,273760.6131056653
22/01/2025,26352529.244087458,8643,1706,203377,263069.53223004326
23/01/2025,35916456.98906941,8893,1958,231365,359071.8183604399
24/01/2025,38072352.51758123,9452,1855,253649,380752.92785990494
25/01/2025,36583542.66981146,9596,1821,271290,365446.3675356774
26/01/2025,38794951.71781951,10360,2116,298993,387248.5718415647
27/01/2025,39315559.20988595,10975,2160,312563,392870.01978722046
28/01/2025,37011164.69429176,11331,2133,320745,368546.5383024227
29/01/2025,32068220.91826817,11155,2083,283217,319932.6214210304
30/01/2025,53076349.01961729,12936,2693,382460,530925.2248647932
31/01/2025,41237536.63608401,12899,2748,364055,413441.9623341189
01/02/2025,33784005.028507344,11897,2081,323615,339163.06577911624
02/02/2025,23078142.10125544,10418,1767,257847,231410.86145961864
03/02/2025,23180418.872165427,10316,1528,248024,232524.44780635307
04/02/2025,23070140.059362166,10960,1615,234842,231491.28672269091
05/02/2025,19353452.348165613,10977,1760,216447,194267.54916003573
06/02/2025,14862965.465184588,10441,1813,187246,149148.41512335927
07/02/2025,17101998.15825669,10569,1880,201372,171641.0408779975
08/02/2025,14103949.855647668,9065,1381,178403,141576.0577798331
09/02/2025,17200370.50203111,9593,1597,171777,172690.43696831027
10/02/2025,15071629.999068573,8382,1562,145601,151373.79797900072
11/02/2025,11536802.69320497,7095,1193,120986,115828.22718886287
12/02/2025,10173857.04525478,6725,1336,116162,102156.52596149515
13/02/2025,10564148.156744508,7238,1693,119228,106043.1063865958
14/02/2025,9440760.761603478,7108,1487,115132,94772.5189967045
15/02/2025,7583985.437564829,6028,1153,107082,76117.09322321814
16/02/2025,5745371.583325149,5878,1130,92661,57642.78052896378
17/02/2025,5420810.218931468,5651,991,88630,54389.31814884849
18/02/2025,5127889.293147119,5192,860,76098,51468.11103844406
19/02/2025,4815832.990610447,5135,801,75645,48324.75825222674
20/02/2025,5616563.563646777,5211,950,82189,56374.86545045223
21/02/2025,4869366.4761936795,4920,814,79359,48851.58059227516
22/02/2025,4677883.902445455,4827,923,80874,46931.78580398835
23/02/2025,4965872.349967858,4625,827,75113,49837.29986665684
24/02/2025,3886378.528127751,4335,716,71271,38967.43829569344
25/02/2025,3165760.9305852074,4175,707,62656,31757.6294177449
26/02/2025,2735189.782615319,4011,662,57118,27439.00076531924
27/02/2025,3002474.2419059104,3987,629,59729,30116.736421879563
28/02/2025,2605179.852322063,3467,530,52602,26139.14308308183
01/03/2025,2065751.032431266,2962,434,42379,20715.01452715976
02/03/2025,3564839.2642391413,3753,585,56855,35746.06335214583
03/03/2025,3294489.304603712,3903,581,56232,33045.400645450005
04/03/2025,2803344.210136206,3564,511,50607,28127.422916023424
05/03/2025,4088112.898907306,3853,584,66638,41043.084502068596
06/03/2025,3218507.5331207765,3530,484,57262,32291.930741409913
07/03/2025,3928606.0672566458,3699,466,63774,39432.608564789516
08/03/2025,3009933.603034257,3068,443,52763,30188.135931599554
09/03/2025,2994303.5392425135,2932,449,51646,30016.657895324915
10/03/2025,2881903.7544799913,2911,404,52552,28907.48772741981
11/03/2025,2706046.1264795377,2785,398,45684,27141.102460400056
12/03/2025,2821772.620386939,2720,349,46813,28296.106196841847
13/03/2025,2847260.820357467,2807,410,50619,28551.239537488706
14/03/2025,2671865.469843441,2867,415,45437,26788.23579074898
15/03/2025,2885453.520269596,2713,372,46236,28956.010497696556
16/03/2025,2080072.7827964579,2549,319,39874,20863.748047676927
17/03/2025,2587972.3080963576,2682,368,45608,25963.141666544187
18/03/2025,1983687.195645269,2444,313,35413,19900.084582999494
19/03/2025,2040710.878451592,2241,305,35243,20462.500391096633
20/03/2025,1559496.8139733511,2242,346,27265,15656.572686561864
21/03/2025,751967.5193464229,1537,229,13766,7531.264800658163
22/03/2025,801651.4959704098,1487,205,16553,8028.309231694106
23/03/2025,968837.4631492383,1756,389,16731,9696.664799619843
24/03/2025,1399353.1253829293,1974,440,22516,14020.61988570321
25/03/2025,1313848.6641081332,1702,258,22126,13153.53471546807
26/03/2025,1400979.8825394977,1701,268,20400,14032.57740041557
27/03/2025,1186387.5181827426,1549,210,17852,11877.627795362021
28/03/2025,985051.8880417017,1436,247,15923,9866.941514070873
29/03/2025,746978.3073123416,1295,200,14770,7482.977505752667
30/03/2025,688417.0955106562,1201,190,13970,6905.880105658918
31/03/2025,852609.3643773257,1315,184,14510,8554.447600480928
01/04/2025,942912.8884542233,1348,196,15466,9445.358525614802
02/04/2025,1117177.323806706,1397,180,17034,11185.796340406474
03/04/2025,740827.803140476,1190,186,13573,7420.361990857555
04/04/2025,683372.7806617294,1051,142,11833,6842.482435495574
05/04/2025,621504.0225420241,986,162,10123,6221.934743137219
06/04/2025,543233.8099866365,988,155,10556,5446.181552784332
07/04/2025,638648.0795292389,970,135,10828,6399.571761019394
08/04/2025,682836.9647193851,983,148,11323,6839.86724852244
09/04/2025,807355.2207772915,1101,182,12886,8092.680160489503
10/04/2025,1138354.3128150078,1356,222,19500,11393.247417169401
11/04/2025,1288900.2420220848,1345,166,19416,12901.899434485847
12/04/2025,1358638.0588534712,1245,159,20057,13603.293672876584
13/04/2025,1233619.1764610996,1200,169,17796,12344.452423288354
14/04/2025,1316914.577075745,1351,209,20035,13181.396996619156
15/04/2025,1402378.4729612796,1379,199,20743,14036.093730432536
16/04/2025,1493736.1229579735,1233,155,17310,14939.815144314774
17/04/2025,1080454.6538552546,1290,182,17827,10820.55503206504
18/04/2025,1028346.2631164156,1100,168,15542,10291.06377493473
19/04/2025,972715.8118302526,997,132,13752,9732.568766082451
20/04/2025,745298.183526864,954,152,10944,7457.048886717815
21/04/2025,1114277.1682868637,1151,183,15314,11156.348078279278
22/04/2025,1051052.3104884205,1063,161,12771,10533.87149934565
23/04/2025,1341744.5946136652,1154,220,14670,13423.14923220327
24/04/2025,646243.7893382311,924,187,9023,6470.39781951329
25/04/2025,687280.1077316754,871,148,8108,6884.758585119376
26/04/2025,546710.5608130305,705,95,6481,5477.067929187678
27/04/2025,409611.99841752363,609,78,5653,4101.11676152855
28/04/2025,441602.3025593713,648,102,6778,4422.706291644734
29/04/2025,525519.6440135174,754,157,6588,5263.077202998516
30/04/2025,542783.1353463702,699,136,7167,5434.616083662698
01/05/2025,523588.42780982755,665,145,6082,5242.644820328607
02/05/2025,557603.6709450232,622,114,7089,5580.785697400592
03/05/2025,461137.2699124934,585,106,6352,4621.128660644399
04/05/2025,495309.89302330476,580,103,6410,4963.038763609012
05/05/2025,593926.3105706035,704,167,6753,5944.5961667711545
06/05/2025,974336.9697225746,878,131,11919,9752.21991699835
07/05/2025,933318.615163196,904,172,13449,9359.99391468693
08/05/2025,1056848.9829735055,982,137,13438,10576.867995864575
09/05/2025,744175.504937781,854,113,9755,7445.842335385971
10/05/2025,703948.2791619779,791,130,8769,7049.487655915062
11/05/2025,595505.9865032475,709,81,8188,5959.659968718108
12/05/2025,199611.53237429183,421,34,2519,2005.2881941602586
13/05/2025,53537.558517180056,120,8,279,538.9620461338801
14/05/2025,30152.93425714259,86,15,178,303.0396754043399
15/05/2025,18005.070992252797,67,10,150,180.81421326296
16/05/2025,50709.67024301518,74,20,202,510.08678479232003
17/05/2025,154233.19528765176,87,35,746,1542.3491719609399
18/05/2025,184918.84190370055,95,33,1243,1848.7928997229005
19/05/2025,94418.80109759857,128,28,1039,936.97101784087
20/05/2025,121358.79991041642,127,25,961,1214.1450451089308
21/05/2025,165451.3341498317,128,26,1125,1651.6073352726398
22/05/2025,17452.635296570566,69,11,150,175.06482785276
23/05/2025,13020.175140751227,40,6,160,130.70806068920004
24/05/2025,3569.214830739528,23,4,145,35.806949643550034
25/05/2025,13152.925291902748,52,16,159,132.12539745541
26/05/2025,10057.644105811636,34,5,178,101.02001460603996
27/05/2025,6497.029308989042,38,5,102,65.17699507953002
28/05/2025,9694.286167171686,42,7,126,97.22303860415002
29/05/2025,5760.83380101422,39,9,177,57.849190124349995
30/05/2025,6121.594274965953,27,5,64,61.48101098383998
31/05/2025,3480.27073745251,29,6,76,35.09204045997999
01/06/2025,4740.234965727583,30,6,86,47.697157080690005
02/06/2025,7708.3552720101225,21,2,47,77.41227385613
