formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
10/10/2024,981.19348164795,5,5,15,0
11/10/2024,39000.68921062711,14,10,66,0
12/10/2024,3907.2063898166994,10,4,38,0
13/10/2024,29396.04787356036,13,4,78,0
14/10/2024,36435.50686176091,17,5,71,0
15/10/2024,10149.93036232387,15,6,58,0
16/10/2024,16352.643624427312,19,3,80,0
17/10/2024,22988.23852109106,24,9,276,0
18/10/2024,22226.325193518445,26,9,260,0
19/10/2024,25974.712522422968,29,5,215,0
20/10/2024,17498.043408376037,22,2,128,0
21/10/2024,21150.07653351324,37,9,307,0
22/10/2024,28178.86693709076,38,5,247,0
23/10/2024,31930.80518724041,45,8,244,0
24/10/2024,50042.783268815336,46,8,400,0
25/10/2024,41418.084274528395,45,11,258,0
26/10/2024,25847.86405993059,39,4,220,0
27/10/2024,61896.4742065191,50,6,406,0
28/10/2024,44456.13809862812,49,9,245,0
29/10/2024,25270.576597057574,48,8,285,0
30/10/2024,32911.59043248412,46,5,236,0
31/10/2024,47182.23183727385,41,4,275,0
01/11/2024,25607.77540383653,41,3,200,0
02/11/2024,29957.06295588133,36,2,192,0
03/11/2024,19849.7960734863,41,3,217,0
04/11/2024,15843.900321701198,29,1,154,0
05/11/2024,20091.915548919595,35,5,235,0
06/11/2024,20237.473615301824,43,4,231,0
07/11/2024,18980.029343656053,43,1,302,0
08/11/2024,17666.112563348936,53,7,259,0
09/11/2024,38015.321793505354,57,5,356,0
10/11/2024,42092.87140194722,78,21,450,0
11/11/2024,49884.835440956056,84,9,430,0
12/11/2024,58216.96132177644,84,7,486,0
13/11/2024,98794.34779689068,89,8,623,0
14/11/2024,131076.9952434662,109,14,1101,0
15/11/2024,156851.3370347418,122,15,1255,0
16/11/2024,116766.89175585766,124,25,880,0
17/11/2024,281021.53391603555,167,34,1893,0
18/11/2024,353278.66341635043,165,24,1638,0
19/11/2024,328262.6328745521,168,15,1512,0
20/11/2024,212529.85979762062,167,18,1469,0
21/11/2024,176871.7368589827,174,21,1075,0
22/11/2024,226405.04455799915,160,22,1176,0
23/11/2024,235347.20233081738,141,14,1069,0
24/11/2024,329166.5934329682,141,16,987,0
25/11/2024,217509.10189958644,151,21,876,0
26/11/2024,228785.7738844121,146,18,966,0
27/11/2024,203464.18647661307,155,19,1110,0
28/11/2024,177587.30110906548,142,17,1026,0
29/11/2024,181271.00011797808,131,8,1117,0
30/11/2024,265074.9373089775,152,24,1100,0
01/12/2024,339625.28639120155,137,22,1002,0
02/12/2024,240643.08992598052,146,9,977,0
03/12/2024,190698.02999588873,140,15,922,0
04/12/2024,138558.83880578046,106,8,718,0
05/12/2024,84512.02201375755,113,11,453,0
06/12/2024,284332.15798830264,116,9,449,0
07/12/2024,125207.41290379844,114,12,497,0
08/12/2024,109751.88400265724,95,11,560,0
09/12/2024,163882.74388870638,133,8,936,0
10/12/2024,156296.32971681672,122,5,721,0
11/12/2024,89812.25822055417,112,6,527,0
12/12/2024,122967.56711846452,113,14,650,0
13/12/2024,150689.6722131207,131,8,641,0
14/12/2024,116569.59107956302,111,8,581,0
15/12/2024,106600.38160619799,108,7,605,0
16/12/2024,107195.78314630431,146,16,792,0
17/12/2024,117220.47931085642,158,16,685,0
18/12/2024,114649.05343386065,134,8,672,0
19/12/2024,143905.3181909482,138,9,731,0
20/12/2024,340665.9302077748,104,20,1052,0
21/12/2024,249923.45659485707,188,82,1345,0
22/12/2024,257039.79198802277,278,118,2810,0
23/12/2024,491551.5683191232,302,86,4221,0
24/12/2024,459410.1030235335,281,57,2789,0
25/12/2024,397425.3381055208,229,34,1723,0
26/12/2024,591030.1051026637,252,19,3346,0
