formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
11/01/2024,0.91106711852,2,2,2,0.009143750800000001
12/01/2024,104.92616759714002,2,1,23,1.0584356838799998
13/01/2024,492.1867911697101,2,0,28,5.05836002559
15/01/2024,809.4158190298101,3,1,45,8.231048549230001
16/01/2024,740.3758480711899,3,0,31,7.50146603604
17/01/2024,2562.6535814982403,10,6,94,25.765643485620004
18/01/2024,241881.97488571244,115,108,2271,2522.661333864141
19/01/2024,431885.510003723,189,103,4719,4633.856258025419
20/01/2024,889831.518940193,281,121,8885,9198.98652293356
21/01/2024,1889562.666095578,470,238,14105,20109.622240032546
22/01/2024,1907111.0610344808,1643,1268,32923,20133.231963545008
23/01/2024,2887906.460039296,2423,1390,54737,30535.931518702844
24/01/2024,4265397.601169905,2538,907,68862,44197.997345675634
25/01/2024,3943666.401778218,2436,618,65169,41286.04973866181
26/01/2024,4486959.170615496,2478,533,62429,46667.02917678649
27/01/2024,4355749.016003917,2379,594,59621,46431.7960625906
28/01/2024,7230127.9306825735,2818,679,82711,77051.36632066197
29/01/2024,5928143.07024053,3066,675,78439,63067.01367503981
30/01/2024,6242428.570890422,3079,584,78087,65922.31401707442
31/01/2024,8450624.32374675,3466,735,79822,89487.80559071686
01/02/2024,11703218.953093069,3901,841,119847,123470.17636469248
02/02/2024,7062881.814209607,3456,549,87583,73543.86828463132
03/02/2024,5777447.556171667,3050,455,76214,59988.59023780847
04/02/2024,6661632.052676068,3445,695,80738,68964.42741046031
05/02/2024,4896606.844913249,3286,445,77463,50745.91341440518
06/02/2024,4759186.099076978,3207,427,76205,50763.08791561452
07/02/2024,5039574.970534362,3250,458,83452,52405.84610159775
08/02/2024,4020562.546767317,2916,316,61271,41888.407285124806
09/02/2024,2930362.17346896,2489,226,51361,30295.05697738641
10/02/2024,3767162.0576615594,2335,207,55744,39933.30713583963
11/02/2024,3975980.09396472,2411,179,56952,41163.62374611422
12/02/2024,4818786.584209816,2713,194,59128,49724.075067563885
13/02/2024,4000777.5580292973,2623,242,54131,41321.018923264266
14/02/2024,4004162.7045097454,2489,193,53455,41387.312898698525
15/02/2024,5615772.862560138,2832,285,67927,57954.990573862444
16/02/2024,4180646.879468954,2589,257,59396,43466.9820683864
17/02/2024,3675578.674952996,2341,235,51846,38117.565428661444
18/02/2024,3179986.417900561,2211,182,46869,33041.32976504883
19/02/2024,3771152.9548044493,2521,239,47084,39326.502929051996
20/02/2024,2797980.203852199,2263,189,44695,29515.917132281385
21/02/2024,2483791.486088996,2111,149,41866,26193.288299268923
22/02/2024,2127267.54785692,2112,177,37022,22346.98583176436
23/02/2024,2308412.3932580575,2040,177,36069,24019.400170826462
24/02/2024,2099871.756582501,1868,165,34373,21697.71002124554
25/02/2024,2086629.7165974383,1892,181,33853,22009.748556929368
26/02/2024,2303290.8520663898,1969,145,33887,24155.05301505282
27/02/2024,2692299.1252692235,2079,190,35035,28048.324028695002
28/02/2024,2903047.007355693,2262,205,39192,30960.5394972158
29/02/2024,2759432.3554438953,2184,220,35440,29282.61775621204
01/03/2024,3402112.8908217475,2321,237,35948,35616.668311619556
02/03/2024,5054435.449552396,2702,300,50343,52908.2809290507
03/03/2024,7081884.2222199375,3215,431,60476,76734.63420539597
04/03/2024,8043445.226491868,3727,494,69611,84280.41852479552
05/03/2024,8559787.919776414,3717,464,69914,89397.05303948736
06/03/2024,13537364.098694159,4952,980,112867,144870.0561902491
07/03/2024,15004689.647723624,5318,908,116308,156776.87336632464
08/03/2024,17026548.310186867,5574,924,124813,179020.16434326416
09/03/2024,19581263.312936474,6151,1157,143333,209048.63278877616
10/03/2024,25646948.693857614,7651,1655,189563,268335.61304736906
11/03/2024,28932839.565055102,8959,1880,201112,309883.7917209382
12/03/2024,31333441.41984184,9253,1591,195729,324598.3093540165
13/03/2024,36446536.54202518,9927,1710,209513,381105.4963810449
14/03/2024,78513108.18905765,13278,3466,271031,810501.0319445207
15/03/2024,109402096.29069309,16623,4778,285591,1127887.3608020868
16/03/2024,158788103.1221628,16323,3641,251111,1627479.6034724275
17/03/2024,247659399.3237713,17203,4210,240036,2533297.3791680275
18/03/2024,604767735.438991,20288,5070,250557,6130233.919757889
19/03/2024,220744256.84008187,18235,3418,191611,2266234.7099014367
20/03/2024,102329577.07758254,15771,2280,184198,1060855.0690787137
21/03/2024,178707312.8418804,18128,2923,238864,1844906.3467131667
22/03/2024,75218396.56266949,15480,1784,250606,776937.3203343862
23/03/2024,49290592.69101304,13424,1583,220360,510883.8359103594
24/03/2024,37195682.74529637,12497,1407,204345,389929.24563319946
25/03/2024,58877999.996188655,14875,1754,230030,619406.7741299749
26/03/2024,119461913.22408186,16408,2202,262651,1241783.959413533
27/03/2024,58089142.67741111,15333,1895,233860,604039.9553602628
28/03/2024,58680653.48653759,15743,1803,257526,609358.0947000583
