formattedDay,totalVolumeUSD,numberOfUsers,numberOfNewUsers,ethereumVolumeUSD,baseVolumeUSD,avalancheVolumeUSD,bscVolumeUSD,arbitrumVolumeUSD,ethereumNumberOfUsers,baseNumberOfUsers,avalancheNumberOfUsers,bscNumberOfUsers,arbitrumNumberOfUsers,numberOfReturningUsers,numberOfTrades,numberOfPairs,buyVolumeUSD,sellVolumeUSD,cumulative_numberOfNewUsers,total_volume_usd,daily_users,daily_trades,total_fees_usd
11/01/2024,0.3022272,1,1,0,0,0,0.3022272,0,0,0,0,1,0,0,1,1,0.3022272,0,1,0,0,0,0
12/01/2024,34064.99250264875,11,11,33649.314115572415,0,36.4914,379.18698707632774,0,9,0,2,1,0,0,51,15,20783.390849,13281.601653648744,12,0,0,0,0
13/01/2024,45890.459390471784,13,7,45574.88424809104,0,315.57514238073577,0,0,11,0,2,0,0,6,50,19,23442.152469999997,22448.306920471776,19,0,0,0,0
14/01/2024,72752.84216521503,20,8,72134.29837053239,0,618.5437946826368,0,0,19,0,1,0,0,12,74,32,35714.56052240011,37038.28164281491,27,0,0,0,0
15/01/2024,136236.27404289966,16,4,136236.27404289966,0,0,0,0,16,0,0,0,0,12,66,35,49104.57403617511,87131.70000672452,31,0,0,0,0
16/01/2024,208860.21923267678,55,37,208063.30808961595,0,499.850588324229,297.06055473660786,0,43,0,11,2,0,18,199,71,89359.10890496282,119501.11032771393,68,0,0,0,0
17/01/2024,178217.89875480442,47,20,177768.6632563285,0,449.235498475913,0,0,45,0,2,0,0,27,172,76,81653.99649992648,96563.90225487792,88,0,0,0,0
18/01/2024,225597.41963749498,47,18,225443.27164086056,0,0,154.14799663441966,0,44,0,0,3,0,29,152,71,105398.81703689131,120198.6026006037,106,0,0,0,0
19/01/2024,209971.13068745204,46,11,209807.31274398198,0,0,163.81794347006652,0,45,0,0,1,0,35,139,66,99517.28961204582,110453.84107540631,117,0,0,0,0
20/01/2024,59166.668285853826,25,8,59149.04142168992,0,0,17.626864163904393,0,24,0,0,1,0,17,63,34,27733.363492115208,31433.304793738604,125,0,0,0,0
21/01/2024,313607.1533492462,24,6,313087.1944434878,0,26.072640000000003,493.8862657583759,0,17,0,4,4,0,18,82,32,142777.18416701752,170829.96918222864,131,0,0,0,0
22/01/2024,152697.5783157967,41,10,144860.75165428908,0,7818.182585507619,18.644076000000005,0,29,0,9,3,0,31,112,42,57117.33499427637,95580.24332152032,141,0,0,0,0
23/01/2024,130482.52670644657,30,5,130482.52670644657,0,0,0,0,30,0,0,0,0,25,102,46,61756.33196109689,68726.19474534967,146,0,0,0,0
24/01/2024,58087.947125052604,22,0,58071.999523365674,0,0,15.94760168692936,0,20,0,0,2,0,22,52,29,32300.466311675205,25787.480813377388,146,0,0,0,0
25/01/2024,323012.2773321654,41,9,323012.2773321654,0,0,0,0,41,0,0,0,0,32,130,51,204716.13923640753,118296.13809575788,155,0,0,0,0
26/01/2024,166300.90804482388,37,6,166144.002970121,0,156.90507470288102,0,0,35,0,2,0,0,31,95,48,81663.26176611579,84637.64627870811,161,0,0,0,0
27/01/2024,148715.32490928544,51,19,84245.21402160538,0,64470.11088768007,0,0,26,0,25,0,0,32,169,39,48240.35475722844,100474.97015205704,180,0,0,0,0
28/01/2024,52973.695188086305,27,3,35383.5922355074,0,17590.102952578913,0,0,23,0,4,0,0,24,76,33,16297.853299146904,36675.8418889394,183,0,0,0,0
29/01/2024,62089.62771761766,37,8,60440.46232705497,0,1649.1653905626858,0,0,36,0,1,0,0,29,83,37,25526.782350887617,36562.84536673005,191,0,0,0,0
30/01/2024,237233.25019104997,64,16,234876.28441569372,0,2351.79843618287,5.167339173362309,0,58,0,6,1,0,48,203,66,102933.49322730825,134299.75696374165,207,0,0,0,0
31/01/2024,127700.54782208479,42,4,124842.18464753302,0,2344.5733336250923,513.789840926643,0,35,0,6,2,0,38,125,57,64722.54206885553,62978.00575322921,211,0,0,0,0
01/02/2024,195025.86132768466,67,19,192282.63374307362,0,2743.2275846110547,0,0,60,0,7,0,0,48,231,70,98062.15685903557,96963.70446864913,230,0,0,0,0
02/02/2024,105465.10925091367,43,5,105285.36256106211,0,179.74668985155432,0,0,41,0,2,0,0,38,93,44,54620.753606685605,50844.35564422803,235,0,0,0,0
03/02/2024,237066.47842170874,34,6,215173.57466366675,0,21892.903758042,0,0,32,0,2,0,0,28,84,38,135404.14874080848,101662.32968090026,241,0,0,0,0
04/02/2024,41822.139701658285,25,4,41718.42855286283,0,103.71114879545657,0,0,23,0,2,0,0,21,56,28,21577.908016199133,20244.231685459148,245,0,0,0,0
05/02/2024,147363.63984364548,45,3,97247.38873767316,0,49980.725886696004,135.52521927632586,0,38,0,6,1,0,42,123,51,65972.18895353015,81391.45089011537,248,0,0,0,0
06/02/2024,168523.96893215034,68,25,158507.32011459873,0,10016.648817551612,0,0,34,0,35,0,0,43,188,47,49773.00061918811,118750.96831296223,273,0,0,0,0
07/02/2024,359827.7761899668,59,17,350674.89297301474,0,8589.509357500612,563.3738594515125,0,47,0,10,8,0,42,245,67,162982.12821558697,196845.64797437983,290,0,0,0,0
08/02/2024,697761.1654579643,58,11,604664.0140603579,0,93097.15139760627,0,0,50,0,8,0,0,47,312,86,234319.16278641348,463442.0026715506,301,0,0,0,0
09/02/2024,1.210516678044131e+06,60,7,1.2050267188750433e+06,0,5489.959169087867,0,0,57,0,3,0,0,53,285,82,362748.43455552065,847768.2434886106,308,0,0,0,0
10/02/2024,456983.0377926082,99,53,310383.14549494203,136364.32602934004,6313.5586597026595,3922.007608623446,0,52,40,3,7,0,46,392,91,216605.62323076575,240377.41456184236,361,0,0,0,0
11/02/2024,761944.5738630207,237,146,450015.77050476044,295644.2523801531,16284.55097810716,0,0,54,189,3,0,0,91,836,94,300849.42396344716,461095.1498995734,507,0,0,0,0
12/02/2024,1.300125742096056e+06,426,275,1.0825219136501125e+06,216599.97392456015,0,0,1003.8545213828753,74,363,0,0,1,151,1296,122,473724.1345529176,826401.607543138,782,0,0,0,0
13/02/2024,997037.7507220845,194,44,695815.3521834891,301150.32419079484,72.07434780058017,0,0,81,119,3,0,0,150,596,109,399313.0827163807,597724.6680057036,826,0,0,0,0
14/02/2024,472819.7515452477,217,61,324839.9608899796,112608.27937379853,26045.633275151005,0,9325.878006318566,65,111,44,0,4,156,602,89,208694.62672414354,264125.1248211041,887,0,0,0,0
15/02/2024,1.1444905075620476e+06,192,35,1.0183437250724771e+06,123601.08183171815,2265.494027852699,0,280.20663,111,88,9,0,1,157,762,119,584159.4357605823,560331.0718014654,922,0,0,0,0
16/02/2024,782795.7149648287,215,53,480220.59943006583,178582.75704641963,123992.35848834306,0,0,78,121,45,0,0,162,818,120,404192.9835287296,378602.7314360989,975,0,0,0,0
17/02/2024,526404.456696597,138,26,449687.36000856763,54727.87712559327,21714.168852436036,0,275.05071,56,80,12,0,1,112,414,85,283144.27958175563,243260.17711484138,1001,0,0,0,0
18/02/2024,353408.6723971535,99,7,314828.98294186353,36122.00966204462,180.56596502009393,2277.1138282253796,0,63,39,3,1,0,92,306,102,207003.03926265825,146405.63313449532,1008,0,0,0,0
