formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
27/06/2025,6253.663242079676,0,0,0,0
26/06/2025,124849.8198463107,0,0,0,0
25/06/2025,117192.63358354731,0,0,0,0
24/06/2025,131957.76130108492,0,0,0,0
23/06/2025,167300.71533880776,0,0,0,0
22/06/2025,209881.58890919448,0,0,0,0
21/06/2025,117099.00957157089,0,0,0,0
20/06/2025,144025.3888969706,0,0,0,0
19/06/2025,209570.48745354416,0,0,0,0
18/06/2025,309957.8813399161,0,0,0,0
17/06/2025,181612.54195662637,0,0,0,0
16/06/2025,149970.97180541354,0,0,0,0
15/06/2025,100293.96722078483,0,0,0,0
14/06/2025,100753.93950125334,0,0,0,0
13/06/2025,267828.5901498335,0,0,0,0
12/06/2025,241371.12313580478,0,0,0,0
11/06/2025,344933.8219763215,0,0,0,0
10/06/2025,168642.49717995408,0,0,0,0
09/06/2025,118662.05010972779,0,0,0,0
08/06/2025,63538.077276221185,0,0,0,0
07/06/2025,64783.80199432268,0,0,0,0
06/06/2025,112607.79599097699,0,0,0,0
05/06/2025,175705.76200766405,0,0,0,0
04/06/2025,172503.57192032164,0,0,0,0
03/06/2025,241137.93305902308,0,0,0,0
02/06/2025,214379.6636761428,0,0,0,0
01/06/2025,284543.2136731634,0,0,0,0
31/05/2025,325462.32766348653,0,0,0,0
30/05/2025,335296.6535104174,0,0,0,0
29/05/2025,173915.27246386535,0,0,0,0
28/05/2025,143288.57102626492,0,0,0,0
27/05/2025,254020.33272426538,0,0,0,0
26/05/2025,282626.14701705694,0,0,0,0
25/05/2025,245913.88144376368,0,0,0,0
24/05/2025,206660.76025486225,0,0,0,0
23/05/2025,819101.4600295608,0,0,0,0
22/05/2025,413041.6292194149,0,0,0,0
21/05/2025,487946.2625346329,0,0,0,0
20/05/2025,293521.9507522206,0,0,0,0
19/05/2025,253463.35721489217,0,0,0,0
18/05/2025,199537.6030142896,0,0,0,0
17/05/2025,187850.76244524325,0,0,0,0
16/05/2025,266675.9731599751,0,0,0,0
15/05/2025,392293.88411421544,0,0,0,0
14/05/2025,521121.7670328399,0,0,0,0
13/05/2025,772317.2093865541,0,0,0,0
12/05/2025,562899.6639027911,0,0,0,0
11/05/2025,308124.24126454565,0,0,0,0
10/05/2025,290538.7658772114,0,0,0,0
09/05/2025,413852.96140661236,0,0,0,0
08/05/2025,261277.0829703609,0,0,0,0
07/05/2025,149119.63545850685,0,0,0,0
06/05/2025,166824.47650352595,0,0,0,0
05/05/2025,173679.53650042642,0,0,0,0
04/05/2025,135707.3873169869,0,0,0,0
03/05/2025,114283.47270376918,0,0,0,0
02/05/2025,166167.55039412947,0,0,0,0
01/05/2025,336016.2968223651,0,0,0,0
30/04/2025,240421.88297054628,0,0,0,0
29/04/2025,232587.88745572054,0,0,0,0
28/04/2025,377426.3027256171,0,0,0,0
27/04/2025,191578.48041325164,0,0,0,0
26/04/2025,198826.0355892457,0,0,0,0
25/04/2025,392033.292181145,0,0,0,0
24/04/2025,306905.8134698915,0,0,0,0
23/04/2025,390859.60730526684,0,0,0,0
22/04/2025,269711.94527327106,0,0,0,0
21/04/2025,215203.816875221,0,0,0,0
20/04/2025,113600.07973630319,0,0,0,0
19/04/2025,107298.81126907158,0,0,0,0
18/04/2025,127268.40145004407,0,0,0,0
17/04/2025,177763.25287943106,0,0,0,0
16/04/2025,180033.8722117598,0,0,0,0
15/04/2025,183431.35540826808,0,0,0,0
14/04/2025,317489.0940683768,0,0,0,0
13/04/2025,246809.46642617387,0,0,0,0
12/04/2025,248505.14160849722,0,0,0,0
11/04/2025,222629.26443295422,0,0,0,0
10/04/2025,223492.4189200658,0,0,0,0
09/04/2025,263807.4280350714,0,0,0,0
08/04/2025,181936.9117505324,0,0,0,0
07/04/2025,330135.6588320695,0,0,0,0
06/04/2025,151564.53995294194,0,0,0,0
05/04/2025,61611.02091777914,0,0,0,0
04/04/2025,147698.00562176044,0,0,0,0
03/04/2025,133205.10055016747,0,0,0,0
02/04/2025,161520.8353879618,0,0,0,0
01/04/2025,89606.78112366542,0,0,0,0
31/03/2025,107993.0912977093,0,0,0,0
30/03/2025,65520.39224561445,0,0,0,0
29/03/2025,83943.6146953731,0,0,0,0
28/03/2025,94414.11806362316,0,0,0,0
27/03/2025,79260.8763072998,0,0,0,0
26/03/2025,81935.77771335254,0,0,0,0
25/03/2025,97424.14858540054,0,0,0,0
24/03/2025,108891.69481717795,0,0,0,0
23/03/2025,46748.0818934428,0,0,0,0
22/03/2025,41051.11990478864,0,0,0,0
21/03/2025,65865.30175755033,0,0,0,0
20/03/2025,75747.25975513786,0,0,0,0
19/03/2025,99273.00894792935,0,0,0,0
18/03/2025,87518.21988131035,0,0,0,0
17/03/2025,81022.21845244817,0,0,0,0
16/03/2025,100536.21751099841,0,0,0,0
15/03/2025,51846.65128472063,0,0,0,0
14/03/2025,91850.81355341045,0,0,0,0
13/03/2025,105204.44824545443,0,0,0,0
