formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
01/03/2024,3776868.67300614,6449,6449,56337,38571.85632528662
02/03/2024,4482621.96667202,7223,4344,66744,45974.004655915516
03/03/2024,5405184.381805324,7749,4122,71408,56663.379737663774
04/03/2024,6381193.379437839,8946,4563,84052,66572.27076854398
05/03/2024,6691286.331128533,9359,4347,78772,68013.12664691753
06/03/2024,8907370.986247336,11060,5348,110581,92291.50988746497
07/03/2024,10483945.941724291,11449,5222,113434,107654.46739778621
08/03/2024,11102448.924562385,11423,4819,117836,114675.51275118726
09/03/2024,13058194.265453016,12742,5809,141919,135048.74976393985
10/03/2024,17011477.954400554,13473,5991,182998,176988.34301531804
11/03/2024,18512163.615657516,16565,7941,191620,194467.3192826731
12/03/2024,17118654.853143156,16591,7763,170442,179906.84312835484
13/03/2024,18390098.347712748,16443,7510,164442,192621.89147464273
14/03/2024,26661674.91542456,18205,8481,165628,280823.36359357514
15/03/2024,35106183.87372427,18929,8799,160227,362455.6130260937
16/03/2024,48915082.60735883,17636,7179,154977,501947.1313858833
17/03/2024,73619462.08276866,16825,6341,141012,746340.8894229821
18/03/2024,143259629.6827958,21715,9422,167910,1459859.5248968794
19/03/2024,65671310.605199076,17316,5729,127208,664169.9346693985
20/03/2024,44419469.782292254,16267,5310,139496,460152.7322791196
21/03/2024,71361064.98579869,18934,6545,157841,719333.0495500409
22/03/2024,37282887.30722498,17967,6489,159034,381538.8450948312
23/03/2024,23224232.39898089,16628,5880,152872,238840.90945598864
24/03/2024,19424681.554198146,15155,5191,141812,199700.84755868436
25/03/2024,25288045.112485085,17780,6946,156648,258482.50756033635
26/03/2024,57981666.036914535,18331,6519,145807,586631.6328207904
27/03/2024,29041952.9383248,17309,5944,148231,298208.24472516874
28/03/2024,30931170.370183386,17929,6023,142813,317487.03640417143
29/03/2024,34483190.377644904,18021,6149,154882,360147.32900108985
30/03/2024,36181742.439817004,18576,6109,172750,379838.5765999499
31/03/2024,35527103.832388975,18365,5931,177306,368385.88976467156
01/04/2024,35859557.8535907,20140,6626,190815,374176.0205969168
02/04/2024,31480791.256493732,19842,6374,163892,325031.7876179212
03/04/2024,31083672.888857495,18720,5466,141155,320253.11366193625
04/04/2024,26947634.489550952,17097,5127,137654,276850.99020261585
05/04/2024,18757306.06952754,12890,3429,102275,193663.0376219243
06/04/2024,19549593.68614925,12325,3333,107320,200711.14867683817
07/04/2024,22354051.740621578,12297,3022,99294,228588.97674365478
08/04/2024,20058736.5954687,14271,3929,100820,204959.83865768873
09/04/2024,22793551.479037702,14748,4085,99324,231505.8425313632
10/04/2024,16094939.223708233,13022,4094,84687,164973.48751079108
11/04/2024,15632873.429874502,12854,3765,80952,159289.6935505178
12/04/2024,15547143.521065272,12768,3919,72598,159554.7361147536
13/04/2024,8368339.295363336,8916,2364,56379,85105.78320040197
14/04/2024,7098235.11353308,7685,1672,54306,72232.49482921611
15/04/2024,8967317.71834479,9177,2378,58265,92016.58895271335
16/04/2024,8279400.402969445,8414,2377,50830,85758.43147298934
17/04/2024,7133448.363427401,8460,2981,51515,73455.18183917346
18/04/2024,6534929.571244478,8502,2655,54665,67433.90647057981
19/04/2024,6177008.498648099,7927,2664,43822,63341.32617964381
20/04/2024,6793693.915217386,7857,2388,46681,69829.48922747368
21/04/2024,6045385.616987154,6917,2207,40199,63147.11793092235
