formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
04/01/2024,231295.69165683043,708,708,2845,915.1488509172112
05/01/2024,950094.1995525657,1576,1204,12763,5718.1982245457075
06/01/2024,773725.1405088991,1323,561,12185,7453.572415724779
07/01/2024,663303.8886609984,1267,424,13284,6220.04683044753
08/01/2024,940202.9441507519,1233,348,15337,6892.559862019706
09/01/2024,1645568.5210629026,1464,523,16979,7810.809351900769
10/01/2024,2912253.899127818,1591,576,28771,10388.981041525738
11/01/2024,3427900.300713312,1769,519,36559,13206.751105409227
12/01/2024,2935854.359988476,1786,410,36421,15588.112069014165
13/01/2024,4179648.8703264715,1986,478,39900,18182.60475238975
14/01/2024,5959083.533041548,2395,577,50073,25987.24494380712
15/01/2024,6570085.098440669,2833,677,60069,39129.81182725449
16/01/2024,6712544.834994519,3263,861,64008,38032.65060043839
17/01/2024,7837187.436712044,3396,710,64834,39025.96367369206
18/01/2024,7570501.446234025,3688,704,69816,44002.279133034855
19/01/2024,7164471.372037394,3591,525,67904,43042.01900689427
20/01/2024,8655266.009006262,4266,787,77627,51886.215000739205
21/01/2024,9202096.021167472,4599,785,82048,60945.913858295266
22/01/2024,7570497.3765670555,4117,494,73280,39397.02875424266
23/01/2024,6715738.20140156,3790,422,68378,33232.52181682321
24/01/2024,7723119.8637179155,3974,473,74063,43535.422041259415
25/01/2024,5600837.300896425,4046,453,72750,39443.77670999159
26/01/2024,6364905.156619192,5030,887,75685,49929.61271280625
27/01/2024,5271421.716113638,6265,2301,75161,42718.72412889134
28/01/2024,7516183.265992787,6716,1964,96165,64592.833904480474
29/01/2024,6009200.412009766,7178,1996,93325,53190.18455557074
30/01/2024,6297923.224470304,7157,1962,95076,55449.55514642837
31/01/2024,11157302.325815076,7128,1522,92997,97765.08275746008
01/02/2024,11511496.269615823,7970,1828,124052,105019.60199891965
02/02/2024,7813381.539467695,6897,1207,94835,71505.52364758185
03/02/2024,5013891.2175204875,5746,803,77209,46181.76243449017
04/02/2024,5119400.939016475,5744,829,74270,47399.91322351098
05/02/2024,4522218.349787465,5700,762,74189,41145.53691129387
06/02/2024,4405887.440921619,5399,658,64602,40577.43298488094
07/02/2024,6473599.434174189,6256,999,84694,59005.4881418189
08/02/2024,5296357.141319278,5856,816,76597,48974.81699499935
09/02/2024,4397393.127256416,5326,603,67318,40376.59899109348
10/02/2024,4096416.1473270855,4837,435,62507,38173.2224014153
11/02/2024,4814332.603170149,5061,526,75204,44957.75051151953
12/02/2024,6390248.053185677,5638,527,82568,57659.835649663146
13/02/2024,5188558.865806206,5449,524,71755,45165.378327629696
