formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
26/06/2025,80077.64751073372,146,0,833,818.9300564031493
25/06/2025,1.277322503178805e+06,836,18,17112,12974.242203377742
24/06/2025,876881.1529981934,763,14,13690,9064.068163799617
23/06/2025,869776.9015936458,763,23,12792,8885.586348055756
22/06/2025,683451.4740628825,733,13,12187,6948.583410370491
21/06/2025,967451.9664727364,718,6,14644,9769.47542593265
20/06/2025,772860.2417990274,780,17,14640,7788.635294999971
19/06/2025,907012.9593357311,810,13,14546,9174.95702910755
18/06/2025,916091.4083682178,814,14,15454,9228.42464625377
17/06/2025,823261.0157411004,812,17,14838,8323.210822567611
16/06/2025,1.1987158797420196e+06,920,17,19671,12068.398469398693
15/06/2025,849212.008060603,824,14,15573,8553.084870478891
14/06/2025,1.1043459017849662e+06,872,10,19970,11125.009154524405
13/06/2025,1.0619964610316113e+06,887,18,18526,10692.166753965425
12/06/2025,1.0877224818104964e+06,962,17,17200,10948.165577219885
11/06/2025,1.1699437975076174e+06,1057,30,20892,11908.709776628693
10/06/2025,1.0979728849341613e+06,1024,28,21040,11065.152676650236
09/06/2025,1.3607925787782501e+06,993,28,21543,13700.217581784906
08/06/2025,1.2126980320695022e+06,928,23,19611,12215.365007860773
07/06/2025,895941.8798917711,888,21,18813,9011.730897557729
06/06/2025,1.2666395351340142e+06,1004,22,21905,12780.010998194995
05/06/2025,1.615700757859379e+06,1099,20,25920,16307.91805819744
04/06/2025,1.1285032015095514e+06,1020,26,20735,11358.958928111515
03/06/2025,1.3939319629731958e+06,1041,24,23324,14074.891907317062
02/06/2025,1.3627982275668583e+06,998,21,23352,13791.551468924401
01/06/2025,1.6614478119028213e+06,1043,24,28103,16710.13147773093
31/05/2025,1.5007920949158375e+06,1036,17,25296,15183.189879342734
30/05/2025,1.1834514358070062e+06,1040,18,20949,11933.905187188726
29/05/2025,1.2797600928702836e+06,1059,18,22850,12876.99260157396
28/05/2025,1.1968212862587695e+06,1124,28,23000,12054.302694409107
27/05/2025,1.328094160469951e+06,1246,33,23940,13368.353229853763
26/05/2025,1.617144188295886e+06,1266,47,26864,16290.50145619948
25/05/2025,1.6500192059931296e+06,1290,36,29429,16640.810043331632
24/05/2025,1.5716276765535516e+06,1254,34,25384,15825.577840270313
23/05/2025,1.5947588344320378e+06,1290,43,25718,16090.70046603469
22/05/2025,1.59762092140452e+06,1371,30,26283,16147.216400666617
21/05/2025,1.618155346920443e+06,1436,42,27719,16381.490809907198
20/05/2025,1.6300702955431147e+06,1377,32,29267,16423.040443477363
19/05/2025,1.3723468645703315e+06,1306,35,26085,13820.348624876668
18/05/2025,1.220743926977606e+06,1289,34,23921,12315.811550618784
17/05/2025,1.6202001917003728e+06,1379,58,27674,16370.483159904737
16/05/2025,1.8559371284604988e+06,1476,43,31855,18775.745323174153
15/05/2025,1.7246804728561658e+06,1555,52,28319,17369.117307494842
14/05/2025,2.2172630975665925e+06,1731,67,34215,22520.476611177575
13/05/2025,2.442694667542606e+06,1789,68,32930,24593.97533548214
12/05/2025,3.033183286105514e+06,1829,75,43166,30568.00594226639
11/05/2025,1.6922115880641772e+06,1679,81,28701,17463.57801471723
10/05/2025,1.508412245774577e+06,1533,33,25566,15227.765865714679
09/05/2025,1.9028899199834294e+06,1693,44,35433,19272.375475027664
08/05/2025,1.7494059948470597e+06,1533,36,33933,17659.046403764823
07/05/2025,1.7565009279139899e+06,1427,48,30940,17696.137329630576
06/05/2025,2.0223776704161796e+06,1444,56,30568,20505.199503237694
05/05/2025,1.674214804408232e+06,1422,51,29422,16978.186744143666
04/05/2025,1.5275859756779515e+06,1350,49,26486,15419.937068138604
03/05/2025,1.7055796420365178e+06,1339,36,26970,17405.215925221142
02/05/2025,1.8015167293274892e+06,1380,44,29949,18514.990375235004
01/05/2025,2.3545921765967594e+06,1500,53,32976,23748.586858145904
30/04/2025,2.041521886139951e+06,1395,47,29633,20663.856439385603
29/04/2025,1.700138017811247e+06,1255,40,26388,17692.86673972152
28/04/2025,1.6323744418337895e+06,1328,48,25041,17189.985843286202
27/04/2025,1.2856053049527288e+06,1160,41,24352,13072.948363514217
26/04/2025,1.4302608323233891e+06,1215,46,24078,14639.865501827666
25/04/2025,1.2873496466905626e+06,1182,35,21501,12983.701560444892
24/04/2025,1.195290038392413e+06,1199,33,21155,12113.097311875274
23/04/2025,1.4549875136316027e+06,1240,40,25855,14656.237720027051
22/04/2025,1.2386888076955937e+06,1215,45,23879,12490.32468675335
21/04/2025,1.216111587829035e+06,1221,63,24362,12251.539158797386
20/04/2025,1.2781897300009043e+06,1080,43,20559,12873.049777883132
19/04/2025,1.1606644024064103e+06,1078,29,22164,11702.9690424738
18/04/2025,1.3171262452872864e+06,1109,38,25880,13277.092418003052
17/04/2025,1.4050169934093133e+06,1175,40,29575,14220.480939850868
16/04/2025,1.536797138984406e+06,1192,26,28881,15532.033137146078
15/04/2025,1.8779290197414055e+06,1224,30,33960,19002.097242726482
14/04/2025,1.641461566747263e+06,1144,39,27394,16632.276308668203
13/04/2025,1.4491598688610396e+06,1090,44,26598,14613.676938131466
12/04/2025,1.6982486936445858e+06,1113,29,28807,17123.705705216016
11/04/2025,1.5839287784586027e+06,1175,45,31458,15966.640379833821
10/04/2025,1.3204884370078442e+06,1162,48,28933,13332.378788461398
09/04/2025,1.3783785271019484e+06,1136,38,28823,13862.500273844485
08/04/2025,1.4137818262071272e+06,1049,25,27136,14249.853832088269
07/04/2025,1.2724789944531904e+06,1006,31,25660,12817.553422316003
06/04/2025,1.1997780790515037e+06,981,19,23965,12060.352500304225
05/04/2025,1.1048483144475955e+06,945,17,21378,11152.586821012652
04/04/2025,921507.8150737913,1013,20,19833,9315.689314589406
03/04/2025,1.0303904319486386e+06,1110,30,21666,10419.723018821422
02/04/2025,1.0825593902003309e+06,1199,27,22677,10920.055310754246
01/04/2025,1.2318494850242222e+06,1122,25,24805,12434.59491342252
31/03/2025,972621.5468812819,1008,22,21104,9823.80840350332
30/03/2025,954858.0115626617,939,13,18261,9626.45892748308
29/03/2025,1.380224643097424e+06,1079,14,22285,13966.31117881007
28/03/2025,1.4669863882295298e+06,1217,25,26599,14782.143467137663
27/03/2025,1.4556660511978487e+06,1307,36,25801,14730.830569116555
26/03/2025,1.4094668935829129e+06,1288,34,25113,14366.26308426464
25/03/2025,1.443954786777153e+06,1324,40,25700,14823.830184398621
24/03/2025,1.9691981631449996e+06,1461,34,29334,19939.820767420526
23/03/2025,1.5922773658863143e+06,1315,33,28259,16090.454600791905
22/03/2025,1.2413275259994601e+06,1204,31,22269,12546.605359820313
21/03/2025,1.1316465541002606e+06,1264,30,23004,11434.861545217833
20/03/2025,1.3911783959052383e+06,1251,36,24440,14218.92641597859
19/03/2025,1.6325810300326159e+06,1245,36,28113,17417.046934106493
18/03/2025,1.5246588911136088e+06,1301,33,26973,15522.892643175695
17/03/2025,1.5022972377359616e+06,1335,30,28687,15170.595645721887
16/03/2025,1.341267084509574e+06,1251,35,25434,13727.046426353283
15/03/2025,1.8033806462272336e+06,1400,55,25986,18786.98543521856
14/03/2025,1.5206346338253045e+06,1310,53,27628,15941.125834148452
13/03/2025,1.5436720877436115e+06,1303,41,29372,16073.126160655485
12/03/2025,1.5578401894957914e+06,1342,45,28654,15873.41720365444
11/03/2025,1.2696290732566596e+06,1259,37,24874,12809.105538894135
10/03/2025,1.4642056769992902e+06,1290,39,28703,14798.52278017867
09/03/2025,1.1819564080590291e+06,1284,28,22932,12054.946574136433
